Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Energy Consumption,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41,Extra_Feature_42,Extra_Feature_43
16905.0,88.0,26.0,17.36,4158.47,10647.0,46.0,41.0,13.13,3796.71,4970.0,21.0,17.0,29.93,2648.85,2692.0,83.0,13.0,23.67,2656.26,981.0,3.0,12.0,28.85,2724.82,6683.0,39.0,41.0,15.77,4015.3,6776.0,84.0,29.0,17.2,3722.8,32153.0,75.0,24.0,33.11,4172.08,19287.0,77.0,34.0,33.56,4246.55,1399.0,32.0,15.0,26.19,2109.01
18949.0,64.0,42.0,23.14,3811.73,22254.0,10.0,17.0,24.49,2980.23,33421.0,41.0,1.0,26.97,3516.18,25262.0,66.0,1.0,29.74,3344.42,40325.0,86.0,31.0,18.88,4901.86,36897.0,30.0,32.0,20.36,4683.04,46417.0,82.0,20.0,23.44,5973.63,22515.0,60.0,30.0,13.61,4757.71,17459.0,3.0,37.0,27.75,3554.19,39714.0,82.0,41.0,16.32,5094.1
43501.0,83.0,31.0,26.67,6041.7,7787.0,73.0,35.0,19.29,3272.91,16958.0,2.0,49.0,30.66,3744.59,40211.0,75.0,21.0,28.17,5589.71,6484.0,19.0,36.0,22.89,3619.74,41496.0,73.0,2.0,14.29,4273.37,20672.0,46.0,10.0,18.4,3651.6,9101.0,15.0,4.0,12.87,2170.7,17827.0,35.0,4.0,24.93,3246.71,12061.0,40.0,4.0,14.57,3010.22
11862.0,5.0,36.0,33.46,3195.8,24863.0,50.0,40.0,25.81,4414.12,9019.0,60.0,48.0,31.53,3903.29,6224.0,15.0,39.0,28.75,3097.45,44013.0,15.0,49.0,10.43,5278.51,30515.0,93.0,3.0,32.87,3901.38,49646.0,12.0,12.0,18.68,4298.92,48903.0,70.0,22.0,23.91,5015.61,9517.0,82.0,46.0,13.2,4149.86,29878.0,16.0,41.0,31.63,4315.75
18771.0,66.0,4.0,14.36,3106.77,34072.0,12.0,13.0,29.68,3435.18,9095.0,5.0,34.0,29.59,3536.81,26792.0,86.0,10.0,15.01,4874.53,45580.0,68.0,4.0,33.33,4922.36,14525.0,58.0,24.0,27.49,3148.79,26529.0,54.0,47.0,32.58,5143.54,19563.0,65.0,27.0,22.5,3555.64,13525.0,21.0,25.0,32.25,3775.01,18086.0,21.0,8.0,17.75,2685.54
31407.0,2.0,39.0,23.03,4805.22,36454.0,72.0,40.0,10.71,5789.16,35207.0,16.0,44.0,32.34,4688.65,20395.0,42.0,27.0,15.63,3951.62,48382.0,95.0,1.0,31.98,4779.18,12200.0,95.0,8.0,29.74,3621.32,41131.0,12.0,14.0,13.25,4890.31,21177.0,69.0,7.0,32.54,4276.15,11182.0,13.0,45.0,12.11,3028.56,3208.0,68.0,29.0,14.07,2850.05
2853.0,81.0,37.0,23.68,3074.25,9496.0,85.0,21.0,28.01,4104.73,14653.0,47.0,4.0,13.55,3214.88,40829.0,52.0,4.0,32.3,4979.96,34508.0,98.0,24.0,10.55,5682.63,32396.0,23.0,43.0,28.56,4616.98,40185.0,73.0,23.0,34.62,5576.14,37765.0,92.0,35.0,25.8,5879.25,24321.0,78.0,17.0,34.79,4212.08,30366.0,21.0,28.0,28.96,4643.49
7991.0,13.0,18.0,21.04,2284.33,29041.0,10.0,10.0,21.71,3193.51,21170.0,89.0,8.0,27.28,4522.1,32098.0,4.0,13.0,27.18,4269.02,23911.0,93.0,48.0,31.37,4978.71,17529.0,43.0,44.0,19.34,3639.76,8507.0,36.0,28.0,19.36,3798.54,36159.0,79.0,30.0,34.31,5076.4,9002.0,99.0,41.0,19.66,4211.82,40415.0,8.0,48.0,12.44,4548.56
13761.0,3.0,28.0,31.36,3171.27,14007.0,91.0,34.0,17.79,3701.39,1468.0,21.0,10.0,33.58,2365.5,13308.0,16.0,41.0,27.82,4056.28,46148.0,30.0,39.0,33.84,5718.21,30469.0,55.0,26.0,28.11,5002.91,9442.0,25.0,31.0,15.3,3815.61,28571.0,25.0,21.0,26.8,3964.54,26672.0,8.0,1.0,19.76,3384.78,25291.0,83.0,17.0,17.14,4348.86
22616.0,31.0,47.0,17.91,4841.23,33726.0,70.0,34.0,10.13,5565.67,2896.0,51.0,27.0,11.96,2684.98,27876.0,52.0,26.0,10.39,4881.83,43374.0,64.0,15.0,11.73,5600.03,32487.0,95.0,49.0,16.69,5020.9,44085.0,10.0,30.0,10.68,4900.84,13721.0,8.0,10.0,20.28,2864.63,36559.0,73.0,28.0,14.86,5543.64,21453.0,58.0,6.0,19.1,4227.17
49810.0,65.0,33.0,24.63,5227.37,27245.0,90.0,44.0,33.51,5474.72,7283.0,88.0,44.0,19.54,4576.47,47827.0,44.0,23.0,30.84,5637.13,16922.0,57.0,19.0,20.07,4195.75,29206.0,41.0,31.0,24.01,3920.23,6616.0,1.0,21.0,17.83,2721.67,22010.0,83.0,21.0,21.77,3741.64,3593.0,88.0,41.0,22.27,3768.3,15874.0,89.0,14.0,28.98,4318.82
10416.0,33.0,14.0,23.74,2512.1,9205.0,93.0,49.0,16.33,4288.58,29902.0,15.0,34.0,16.79,4741.16,7714.0,51.0,7.0,13.32,3019.12,24854.0,60.0,27.0,34.51,4710.15,29269.0,35.0,19.0,18.63,4600.3,45055.0,82.0,22.0,17.47,5925.39,17843.0,15.0,1.0,33.38,2445.25,15817.0,85.0,47.0,25.14,3955.17,34768.0,63.0,47.0,33.23,4692.24
8625.0,70.0,46.0,22.83,3437.1,5609.0,81.0,2.0,33.21,2514.4,35942.0,87.0,11.0,30.09,4736.66,45047.0,13.0,45.0,16.46,5750.07,20316.0,42.0,24.0,16.95,4331.04,34497.0,34.0,35.0,18.11,4674.31,15858.0,30.0,2.0,29.99,2482.94,4262.0,4.0,38.0,31.41,2406.04,9146.0,42.0,44.0,30.72,4103.69,16077.0,58.0,19.0,16.61,4230.79
24660.0,32.0,5.0,23.67,4034.64,48338.0,2.0,18.0,20.62,4693.8,24577.0,86.0,24.0,24.53,4446.22,11803.0,32.0,1.0,27.57,2342.32,16146.0,22.0,30.0,25.81,3498.27,11671.0,63.0,8.0,34.74,3699.87,17775.0,90.0,1.0,21.06,3253.47,23411.0,98.0,23.0,20.5,4558.07,43380.0,31.0,33.0,34.69,5465.54,27088.0,43.0,34.0,20.96,3859.59
34433.0,58.0,48.0,29.34,5164.94,12798.0,80.0,4.0,11.3,3513.41,15843.0,36.0,37.0,22.53,3279.51,9946.0,35.0,40.0,16.32,3565.7,22542.0,58.0,47.0,32.58,3984.2,15096.0,16.0,11.0,10.88,2580.42,40911.0,97.0,46.0,28.14,5794.83,44981.0,81.0,20.0,27.82,5369.95,33897.0,55.0,30.0,32.48,4232.44,35935.0,55.0,37.0,23.7,5018.25
1314.0,51.0,46.0,29.12,3850.11,8283.0,34.0,30.0,19.68,2755.75,2613.0,11.0,2.0,29.34,1683.95,10957.0,86.0,49.0,22.06,4277.54,35301.0,28.0,45.0,15.43,5367.9,23765.0,12.0,3.0,33.13,2752.62,32085.0,38.0,31.0,16.0,5074.24,4238.0,22.0,20.0,25.08,3256.52,49090.0,70.0,17.0,20.78,5390.61,7237.0,62.0,34.0,19.48,4114.45
16376.0,7.0,7.0,27.65,3390.53,45920.0,54.0,34.0,34.66,5842.72,34242.0,32.0,16.0,20.35,3750.37,7065.0,4.0,14.0,30.62,2020.15,47328.0,12.0,3.0,32.59,3883.46,3880.0,45.0,3.0,24.75,2130.26,3868.0,75.0,24.0,33.81,3804.34,626.0,2.0,33.0,23.52,3093.71,23551.0,93.0,37.0,26.83,4263.39,605.0,16.0,36.0,16.95,2875.48
12164.0,82.0,41.0,23.04,4683.0,35698.0,91.0,29.0,32.83,5660.75,43694.0,45.0,46.0,20.91,4950.15,21109.0,15.0,33.0,13.98,3845.57,35867.0,76.0,12.0,10.29,5241.91,10861.0,14.0,36.0,18.67,3809.69,18271.0,23.0,28.0,23.38,4136.67,18174.0,68.0,14.0,21.53,4261.05,47557.0,98.0,30.0,24.87,6383.5,26010.0,7.0,36.0,31.06,3435.21
5799.0,37.0,23.0,34.76,3446.15,26111.0,26.0,49.0,15.85,4516.31,22276.0,71.0,22.0,11.22,3757.72,49374.0,13.0,28.0,29.4,4561.71,37930.0,36.0,19.0,25.7,5008.0,8573.0,86.0,19.0,27.88,3529.25,1507.0,58.0,17.0,17.56,3407.54,23736.0,47.0,12.0,17.29,4360.36,11316.0,60.0,47.0,29.42,3958.7,24252.0,36.0,45.0,22.91,4908.05
7424.0,25.0,47.0,14.83,3537.04,19074.0,82.0,39.0,17.25,5017.45,11116.0,64.0,17.0,30.65,3932.56,41306.0,46.0,41.0,19.34,5798.61,2242.0,9.0,37.0,11.08,3386.72,34520.0,96.0,27.0,29.12,5080.4,2943.0,13.0,29.0,17.8,2318.15,45123.0,5.0,47.0,13.18,4730.23,34657.0,21.0,47.0,20.15,5332.1,42255.0,78.0,47.0,27.14,5247.04
12701.0,64.0,45.0,13.45,4157.81,46507.0,41.0,30.0,22.6,5772.35,6650.0,87.0,33.0,19.31,4265.97,29421.0,16.0,21.0,34.73,3927.4,47563.0,41.0,8.0,18.18,4357.27,33782.0,71.0,40.0,29.61,5051.07,42474.0,62.0,45.0,18.51,5101.13,27416.0,25.0,37.0,15.11,4785.27,22091.0,44.0,30.0,11.25,4588.3,27920.0,28.0,1.0,20.84,4141.78
2969.0,92.0,32.0,25.47,3631.08,43506.0,12.0,34.0,11.1,4969.79,23361.0,26.0,26.0,29.05,4302.81,28452.0,10.0,43.0,26.04,4252.4,47914.0,47.0,12.0,33.71,5437.17,1226.0,58.0,3.0,22.79,2137.35,9166.0,15.0,3.0,11.8,3109.29,9283.0,41.0,40.0,12.19,3663.21,7140.0,65.0,11.0,13.97,3707.17,36721.0,66.0,46.0,15.58,5338.17
22092.0,4.0,1.0,12.19,3103.65,22026.0,70.0,12.0,21.58,3933.39,17161.0,46.0,27.0,17.59,3820.1,16741.0,19.0,27.0,23.89,3947.61,24150.0,46.0,21.0,28.41,3945.47,35388.0,13.0,49.0,15.09,5353.94,6599.0,27.0,28.0,12.39,3097.98,36322.0,8.0,25.0,27.52,4258.49,7319.0,21.0,37.0,31.57,3708.08,38501.0,84.0,3.0,32.04,5214.85
41589.0,50.0,34.0,33.2,4643.44,45850.0,49.0,44.0,24.36,5590.7,23390.0,50.0,23.0,23.8,3510.52,18273.0,37.0,38.0,33.06,3928.35,26885.0,94.0,23.0,16.63,4161.08,33839.0,64.0,11.0,27.67,4963.62,42373.0,18.0,38.0,27.13,5422.98,47682.0,20.0,37.0,26.45,5691.84,48820.0,51.0,35.0,30.75,6047.23,32732.0,60.0,19.0,31.74,5007.9
49969.0,32.0,14.0,26.06,4468.13,37009.0,79.0,18.0,20.41,4448.42,33056.0,3.0,11.0,32.92,3238.18,3483.0,79.0,5.0,10.37,3012.32,13357.0,83.0,31.0,10.63,4114.7,25326.0,33.0,41.0,21.22,4310.2,47178.0,27.0,16.0,24.14,4828.19,31695.0,99.0,35.0,28.5,5132.23,32321.0,58.0,45.0,32.79,5432.11,4994.0,79.0,38.0,29.59,3701.73
32390.0,37.0,7.0,25.09,4504.03,31178.0,68.0,8.0,32.25,4787.64,39563.0,16.0,38.0,28.7,4304.63,11041.0,68.0,41.0,20.88,3947.63,22859.0,24.0,22.0,32.87,3208.61,41309.0,55.0,45.0,15.4,4988.44,18655.0,13.0,11.0,23.22,2716.66,9212.0,77.0,37.0,25.66,3392.31,21195.0,18.0,21.0,16.16,3078.96,35332.0,23.0,29.0,25.76,4997.78
38641.0,9.0,3.0,19.52,3484.46,25074.0,41.0,18.0,26.37,3891.86,9077.0,26.0,12.0,18.34,2862.17,12222.0,80.0,35.0,20.16,3510.28,15849.0,37.0,15.0,18.92,3867.85,19629.0,21.0,39.0,12.37,3459.59,48424.0,49.0,28.0,11.94,5961.49,12682.0,62.0,32.0,34.54,4271.39,26431.0,91.0,14.0,25.79,3932.59,6126.0,49.0,13.0,18.44,3514.09
27411.0,41.0,13.0,13.43,4023.41,20475.0,79.0,28.0,13.9,4354.25,37708.0,91.0,23.0,29.54,5607.7,46786.0,17.0,49.0,29.5,4891.8,29787.0,77.0,38.0,30.67,5416.01,42286.0,50.0,35.0,11.13,4808.64,38404.0,21.0,30.0,24.39,4608.27,36272.0,93.0,6.0,32.04,4253.4,36296.0,35.0,40.0,32.11,4854.25,27458.0,99.0,6.0,23.09,4367.45
13484.0,42.0,23.0,25.92,2924.6,14129.0,50.0,29.0,18.54,4193.77,11206.0,72.0,24.0,14.25,3689.04,47266.0,14.0,39.0,14.13,5212.64,18278.0,7.0,44.0,32.44,3701.68,45641.0,41.0,21.0,15.87,5082.68,5471.0,24.0,34.0,28.34,3601.86,24942.0,35.0,38.0,20.76,4753.3,8064.0,90.0,12.0,20.83,2989.05,37480.0,45.0,20.0,20.29,4172.54
18797.0,94.0,25.0,20.37,4278.0,24589.0,48.0,7.0,33.17,3683.59,15782.0,39.0,18.0,16.16,3508.32,46243.0,58.0,3.0,12.25,4390.91,27806.0,28.0,21.0,25.4,3513.31,22973.0,75.0,45.0,17.0,4213.66,7811.0,57.0,39.0,21.27,4184.21,9630.0,25.0,11.0,27.42,2864.42,45465.0,3.0,25.0,10.42,4251.16,21107.0,70.0,3.0,24.76,3241.57
36987.0,22.0,26.0,15.34,4562.64,22919.0,55.0,15.0,29.27,4349.61,35384.0,21.0,30.0,18.62,4036.12,32389.0,91.0,31.0,21.16,4543.67,43582.0,92.0,4.0,18.9,4584.62,2122.0,68.0,36.0,31.82,3897.02,14169.0,52.0,5.0,18.39,3736.5,22374.0,14.0,37.0,22.23,3437.53,2490.0,91.0,8.0,25.03,2619.36,47554.0,72.0,8.0,25.75,5628.95
24374.0,89.0,31.0,33.73,4560.05,11331.0,47.0,43.0,21.1,3791.04,2060.0,69.0,41.0,12.68,4099.62,47537.0,34.0,17.0,16.6,5023.85,29577.0,82.0,28.0,13.04,4343.66,39999.0,24.0,16.0,17.95,4520.19,22066.0,98.0,40.0,25.77,4804.46,22451.0,93.0,30.0,20.4,5100.56,35136.0,87.0,42.0,30.03,5866.63,39065.0,75.0,24.0,10.17,4682.41
46393.0,19.0,43.0,15.6,5341.65,42449.0,48.0,20.0,14.3,4930.94,19046.0,46.0,29.0,28.51,4399.73,34219.0,92.0,49.0,27.39,5473.98,48780.0,1.0,16.0,10.14,4218.29,1026.0,90.0,49.0,11.14,3375.62,21952.0,22.0,34.0,25.98,3867.72,25451.0,60.0,9.0,28.7,3909.07,44379.0,15.0,28.0,15.33,4852.28,40863.0,47.0,1.0,17.61,4945.09
21889.0,44.0,18.0,18.87,3350.09,49648.0,49.0,12.0,30.18,5061.5,26643.0,49.0,12.0,25.27,3985.8,8473.0,9.0,22.0,12.1,2443.16,32588.0,75.0,10.0,13.13,5013.75,27089.0,69.0,25.0,29.33,4947.78,34036.0,35.0,43.0,16.24,4330.61,17834.0,66.0,19.0,23.56,4363.89,35060.0,39.0,45.0,26.93,4408.36,3842.0,45.0,12.0,34.26,2260.82
25078.0,95.0,9.0,24.24,3762.71,2425.0,70.0,8.0,34.79,2807.29,3930.0,1.0,28.0,30.59,2613.53,31086.0,52.0,32.0,13.34,4197.59,31610.0,15.0,36.0,14.78,3926.61,45141.0,36.0,46.0,31.53,4879.42,16085.0,95.0,45.0,23.87,5034.91,43034.0,23.0,12.0,14.2,4550.69,49189.0,51.0,22.0,24.03,4839.29,13850.0,45.0,26.0,20.98,3557.61
13095.0,76.0,41.0,29.41,4637.71,22020.0,43.0,4.0,28.28,3519.59,14237.0,45.0,28.0,28.96,3127.07,7583.0,16.0,9.0,30.84,2564.94,12503.0,59.0,3.0,12.89,3710.69,27924.0,85.0,7.0,17.39,3799.24,13151.0,58.0,19.0,26.56,3534.74,2250.0,11.0,4.0,22.11,2241.96,3217.0,11.0,8.0,23.83,2811.68,27227.0,89.0,23.0,15.01,4686.28
30356.0,25.0,30.0,27.82,3728.69,21695.0,53.0,29.0,11.12,4189.13,4256.0,44.0,9.0,21.22,2276.7,25057.0,21.0,29.0,24.97,3417.99,625.0,9.0,18.0,19.56,2433.47,28356.0,32.0,2.0,15.25,3201.55,14788.0,38.0,9.0,22.75,2735.63,45686.0,12.0,46.0,22.81,5260.26,42252.0,19.0,33.0,11.34,4905.91,42824.0,90.0,34.0,27.26,6084.9
32075.0,8.0,38.0,18.84,4849.54,47819.0,81.0,5.0,24.47,5228.59,14260.0,74.0,8.0,27.33,4026.33,36944.0,57.0,18.0,29.65,5178.97,15729.0,36.0,17.0,20.37,3384.58,12754.0,89.0,48.0,30.51,3885.13,39610.0,91.0,40.0,27.6,5102.49,39059.0,57.0,47.0,28.74,5319.27,21081.0,20.0,42.0,25.28,3967.63,17274.0,97.0,46.0,15.79,4724.76
11289.0,25.0,8.0,26.63,2841.31,35557.0,99.0,27.0,31.43,4650.7,35900.0,49.0,19.0,31.45,4507.73,2856.0,12.0,19.0,27.05,3057.53,48023.0,42.0,46.0,17.82,5152.04,4732.0,52.0,39.0,28.23,3395.45,34095.0,29.0,21.0,29.94,3765.06,10725.0,28.0,22.0,28.11,2665.72,25057.0,86.0,32.0,30.61,4649.81,5290.0,61.0,11.0,33.75,2475.76
2480.0,30.0,9.0,24.72,3030.38,19596.0,23.0,35.0,19.8,4310.82,2921.0,50.0,5.0,10.33,2744.38,29125.0,57.0,7.0,16.94,3631.54,20076.0,33.0,42.0,34.22,4002.72,2836.0,46.0,46.0,13.74,3953.1,10484.0,81.0,48.0,13.6,3776.21,24570.0,17.0,11.0,11.75,3609.75,4633.0,98.0,2.0,15.1,2726.13,47304.0,98.0,11.0,12.3,6053.68
36562.0,99.0,11.0,30.78,4884.18,19350.0,38.0,13.0,28.33,3965.87,1739.0,61.0,26.0,30.51,2614.4,32390.0,84.0,15.0,27.44,4172.29,45504.0,24.0,32.0,24.99,5580.25,48790.0,58.0,38.0,28.79,5185.54,37834.0,12.0,10.0,32.88,3547.29,23650.0,82.0,29.0,20.36,4030.72,46058.0,88.0,33.0,11.53,5335.23,9211.0,33.0,28.0,10.16,3299.75
21672.0,7.0,34.0,28.05,4243.36,39943.0,74.0,5.0,31.83,5228.01,1456.0,74.0,38.0,15.66,3494.52,20559.0,21.0,8.0,26.77,3314.12,42960.0,78.0,33.0,19.33,5041.34,42063.0,77.0,9.0,17.72,4464.55,49488.0,99.0,41.0,17.6,5746.4,41657.0,76.0,38.0,32.07,5492.51,2024.0,25.0,4.0,28.84,1787.0,10268.0,35.0,20.0,33.18,3647.48
11224.0,25.0,49.0,15.38,4214.3,40192.0,23.0,23.0,30.0,4549.59,25791.0,84.0,45.0,14.96,5454.74,22292.0,25.0,43.0,24.55,3601.83,1114.0,14.0,40.0,12.59,3432.74,42707.0,4.0,44.0,16.78,5471.43,23540.0,80.0,10.0,15.5,4149.49,16938.0,36.0,13.0,15.51,3439.34,17934.0,70.0,44.0,27.56,3888.89,37719.0,16.0,20.0,23.97,4876.08
4533.0,20.0,46.0,12.33,3835.0,34061.0,43.0,14.0,31.26,4306.74,47555.0,34.0,29.0,24.16,4726.97,34572.0,14.0,1.0,12.8,3324.61,29552.0,42.0,38.0,25.04,4082.39,9874.0,5.0,19.0,20.65,2870.44,19597.0,89.0,6.0,23.69,4371.38,44665.0,36.0,2.0,13.93,4563.58,18811.0,19.0,25.0,14.33,3108.88,5795.0,17.0,42.0,33.72,2631.16
29035.0,5.0,34.0,19.77,4132.91,29365.0,18.0,24.0,12.93,4063.62,2606.0,30.0,2.0,29.63,2372.16,1322.0,81.0,2.0,15.38,2839.18,20644.0,29.0,7.0,21.54,2904.51,38506.0,82.0,26.0,17.62,5177.22,18524.0,78.0,4.0,33.5,3168.71,35122.0,56.0,41.0,34.55,5513.36,20549.0,68.0,4.0,24.59,4164.5,21439.0,24.0,42.0,15.79,4073.01
38073.0,87.0,22.0,34.18,5542.74,27205.0,44.0,14.0,11.38,4023.35,33475.0,82.0,13.0,32.62,4090.65,10347.0,94.0,8.0,17.91,3027.78,10896.0,71.0,17.0,16.99,3509.87,32909.0,47.0,29.0,33.37,5028.58,36340.0,42.0,15.0,31.27,3880.66,30129.0,29.0,33.0,23.73,3837.78,16869.0,10.0,13.0,20.89,3598.99,20603.0,98.0,36.0,29.52,4082.56
34580.0,47.0,13.0,25.41,4831.96,30527.0,70.0,20.0,11.89,4616.89,22236.0,65.0,5.0,34.67,3688.46,9282.0,17.0,6.0,29.31,3157.54,4297.0,7.0,32.0,15.67,3396.51,49345.0,22.0,18.0,11.87,4537.9,28645.0,32.0,43.0,12.86,5097.96,46148.0,5.0,20.0,29.6,4659.4,29757.0,3.0,6.0,11.91,3578.29,32765.0,26.0,9.0,10.52,4075.67
24558.0,80.0,8.0,24.3,4566.41,12842.0,60.0,39.0,25.63,3893.95,40464.0,89.0,17.0,34.04,5633.01,43820.0,3.0,36.0,22.96,4376.22,1025.0,28.0,48.0,24.41,3719.19,33357.0,92.0,43.0,23.58,5329.97,24357.0,6.0,29.0,21.36,3751.05,46460.0,3.0,18.0,25.95,5083.26,39504.0,86.0,46.0,12.07,5744.86,24010.0,87.0,36.0,19.67,4242.17
49287.0,60.0,42.0,18.31,5862.82,41260.0,35.0,38.0,29.66,4524.71,40983.0,66.0,47.0,12.96,5634.35,32847.0,34.0,35.0,19.28,4085.95,28029.0,38.0,15.0,18.72,3987.84,46740.0,19.0,25.0,10.29,4475.56,39724.0,44.0,38.0,14.79,5662.27,33797.0,86.0,13.0,13.96,5290.06,45238.0,72.0,47.0,20.95,5867.13,5584.0,21.0,9.0,29.51,2521.63
