Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24
51.0,55.0,5.0,7651.0,34.0,1.0,13.0,2.0,4.0,3.0,4.0,8.0,1.0,48.0,0.0,2.0,1.0,1.0,23.0,4.0,52.0,59.0,4.0,3609.0,21.0,3.0,11.0,0.0,3.0,1.0,2.0,47.0,2.0,36.0,18.0,3.0,3.0,4.0,44.0,2.0,53.0,23.0,5.0,10940.0,23.0,18.0,7.0,9.0,3.0,2.0
2.0,66.0,8.0,57.0,6.0,1.0,1.0,3.0,28.0,4.0,54.0,21.0,3.0,13348.0,15.0,12.0,12.0,4.0,1.0,2.0,2.0,92.0,6.0,32.0,17.0,3.0,3.0,4.0,38.0,1.0,55.0,25.0,2.0,6866.0,40.0,29.0,7.0,1.0,3.0,2.0,3.0,82.0,2.0,59.0,2.0,1.0,1.0,2.0,12.0,1.0
56.0,23.0,5.0,19755.0,52.0,3.0,11.0,9.0,3.0,5.0,1.0,35.0,2.0,32.0,19.0,2.0,4.0,3.0,24.0,2.0,57.0,48.0,3.0,19999.0,52.0,26.0,7.0,5.0,3.0,5.0,1.0,95.0,7.0,55.0,10.0,1.0,1.0,2.0,13.0,1.0,58.0,37.0,3.0,5253.0,75.0,25.0,7.0,9.0,4.0,3.0
4.0,70.0,5.0,54.0,4.0,2.0,2.0,1.0,40.0,1.0,59.0,45.0,3.0,7942.0,58.0,29.0,10.0,8.0,4.0,5.0,2.0,91.0,5.0,58.0,18.0,1.0,3.0,3.0,48.0,1.0,60.0,53.0,3.0,15330.0,58.0,9.0,14.0,0.0,2.0,5.0,1.0,43.0,8.0,47.0,1.0,2.0,4.0,2.0,2.0,1.0
61.0,29.0,4.0,3864.0,88.0,26.0,10.0,3.0,4.0,5.0,2.0,81.0,7.0,59.0,3.0,2.0,3.0,1.0,39.0,3.0,62.0,55.0,3.0,4268.0,76.0,2.0,8.0,0.0,3.0,3.0,4.0,59.0,9.0,49.0,9.0,3.0,3.0,2.0,12.0,4.0,63.0,33.0,4.0,10454.0,20.0,3.0,9.0,0.0,4.0,3.0
2.0,62.0,4.0,51.0,1.0,4.0,2.0,2.0,39.0,4.0,64.0,50.0,4.0,16666.0,31.0,14.0,9.0,7.0,1.0,4.0,1.0,4.0,4.0,43.0,7.0,4.0,1.0,4.0,14.0,3.0,65.0,34.0,3.0,15370.0,65.0,4.0,2.0,1.0,2.0,4.0,2.0,86.0,2.0,32.0,0.0,2.0,2.0,1.0,30.0,1.0
66.0,27.0,2.0,8229.0,52.0,25.0,13.0,0.0,2.0,4.0,1.0,85.0,3.0,57.0,5.0,3.0,1.0,4.0,41.0,4.0,67.0,33.0,3.0,19309.0,38.0,19.0,13.0,7.0,4.0,4.0,4.0,89.0,1.0,55.0,10.0,4.0,4.0,3.0,43.0,4.0,68.0,42.0,3.0,7054.0,65.0,13.0,7.0,3.0,3.0,2.0
2.0,75.0,1.0,59.0,9.0,4.0,2.0,1.0,48.0,4.0,69.0,59.0,3.0,3935.0,24.0,7.0,7.0,2.0,2.0,2.0,1.0,39.0,7.0,55.0,12.0,3.0,2.0,4.0,19.0,2.0,70.0,40.0,2.0,15172.0,86.0,12.0,4.0,3.0,1.0,4.0,4.0,18.0,5.0,36.0,0.0,3.0,3.0,4.0,31.0,3.0
71.0,35.0,1.0,13530.0,35.0,3.0,9.0,4.0,1.0,4.0,2.0,46.0,3.0,36.0,1.0,4.0,2.0,3.0,43.0,2.0,72.0,37.0,1.0,18560.0,84.0,23.0,8.0,0.0,2.0,1.0,4.0,64.0,7.0,34.0,2.0,4.0,1.0,2.0,43.0,2.0,73.0,43.0,4.0,19156.0,99.0,23.0,12.0,0.0,3.0,2.0
1.0,66.0,2.0,32.0,8.0,1.0,2.0,2.0,25.0,3.0,74.0,45.0,4.0,19709.0,71.0,9.0,1.0,2.0,3.0,1.0,2.0,90.0,3.0,47.0,4.0,1.0,2.0,2.0,4.0,4.0,75.0,44.0,2.0,12726.0,53.0,2.0,2.0,5.0,4.0,1.0,2.0,17.0,1.0,44.0,9.0,2.0,4.0,3.0,13.0,2.0
76.0,48.0,5.0,10774.0,47.0,29.0,13.0,0.0,4.0,5.0,2.0,49.0,8.0,49.0,9.0,4.0,1.0,4.0,36.0,4.0,77.0,34.0,1.0,4985.0,73.0,22.0,13.0,1.0,2.0,3.0,4.0,29.0,2.0,43.0,11.0,3.0,3.0,1.0,42.0,2.0,78.0,20.0,4.0,17252.0,32.0,9.0,2.0,6.0,4.0,2.0
4.0,65.0,7.0,58.0,17.0,3.0,1.0,3.0,37.0,4.0,79.0,44.0,1.0,7603.0,70.0,12.0,12.0,0.0,4.0,4.0,1.0,4.0,9.0,33.0,0.0,4.0,4.0,2.0,3.0,1.0,80.0,26.0,2.0,18960.0,71.0,12.0,12.0,6.0,4.0,4.0,3.0,92.0,6.0,56.0,2.0,2.0,1.0,2.0,16.0,1.0
81.0,28.0,2.0,12462.0,90.0,15.0,11.0,3.0,1.0,3.0,2.0,96.0,2.0,53.0,4.0,3.0,1.0,1.0,26.0,1.0,82.0,43.0,5.0,17166.0,62.0,2.0,8.0,9.0,4.0,2.0,2.0,41.0,2.0,37.0,16.0,4.0,2.0,3.0,40.0,3.0,83.0,20.0,5.0,10754.0,56.0,18.0,1.0,5.0,2.0,4.0
1.0,83.0,9.0,58.0,7.0,4.0,2.0,2.0,39.0,1.0,84.0,27.0,2.0,17246.0,41.0,13.0,4.0,7.0,3.0,4.0,2.0,93.0,8.0,50.0,16.0,2.0,1.0,3.0,19.0,2.0,85.0,43.0,4.0,7078.0,88.0,14.0,10.0,8.0,4.0,5.0,4.0,4.0,9.0,42.0,8.0,4.0,1.0,4.0,46.0,4.0
86.0,30.0,1.0,15853.0,66.0,5.0,12.0,5.0,3.0,1.0,4.0,49.0,4.0,51.0,5.0,3.0,3.0,3.0,15.0,4.0,87.0,36.0,3.0,7042.0,56.0,26.0,5.0,8.0,4.0,4.0,2.0,84.0,4.0,37.0,16.0,1.0,4.0,4.0,32.0,4.0,88.0,27.0,5.0,19284.0,46.0,10.0,9.0,3.0,2.0,2.0
2.0,57.0,2.0,44.0,7.0,2.0,2.0,1.0,49.0,4.0,89.0,54.0,3.0,17389.0,40.0,12.0,7.0,5.0,1.0,3.0,4.0,78.0,1.0,46.0,6.0,4.0,2.0,4.0,21.0,2.0,90.0,54.0,4.0,5575.0,39.0,10.0,8.0,7.0,2.0,5.0,2.0,83.0,4.0,34.0,6.0,2.0,2.0,4.0,1.0,4.0
91.0,52.0,5.0,9754.0,89.0,24.0,14.0,8.0,1.0,2.0,4.0,7.0,8.0,49.0,14.0,4.0,2.0,1.0,6.0,2.0,92.0,24.0,3.0,4986.0,37.0,11.0,11.0,2.0,4.0,5.0,3.0,30.0,2.0,33.0,6.0,1.0,1.0,2.0,27.0,2.0,93.0,58.0,4.0,18470.0,71.0,25.0,9.0,1.0,4.0,1.0
3.0,11.0,8.0,40.0,7.0,2.0,1.0,1.0,23.0,4.0,94.0,47.0,1.0,8968.0,66.0,2.0,13.0,5.0,1.0,4.0,2.0,20.0,1.0,47.0,8.0,4.0,3.0,3.0,47.0,4.0,95.0,26.0,4.0,10493.0,45.0,5.0,7.0,3.0,2.0,2.0,2.0,93.0,1.0,39.0,14.0,1.0,2.0,1.0,31.0,4.0
96.0,28.0,5.0,7103.0,78.0,7.0,5.0,0.0,2.0,3.0,2.0,61.0,4.0,46.0,1.0,3.0,2.0,3.0,12.0,2.0,97.0,27.0,2.0,5076.0,85.0,6.0,13.0,7.0,1.0,1.0,4.0,90.0,7.0,59.0,6.0,4.0,1.0,2.0,21.0,3.0,98.0,31.0,1.0,5994.0,47.0,22.0,5.0,8.0,4.0,1.0
3.0,89.0,9.0,44.0,14.0,1.0,3.0,3.0,2.0,2.0,99.0,53.0,3.0,6744.0,99.0,23.0,10.0,8.0,1.0,5.0,3.0,32.0,5.0,35.0,17.0,1.0,1.0,1.0,5.0,3.0,100.0,52.0,5.0,17466.0,16.0,3.0,11.0,1.0,4.0,1.0,1.0,25.0,2.0,52.0,17.0,2.0,2.0,1.0,9.0,4.0
101.0,42.0,2.0,17523.0,32.0,13.0,6.0,8.0,1.0,2.0,1.0,89.0,7.0,50.0,9.0,4.0,2.0,2.0,20.0,2.0,102.0,43.0,4.0,8594.0,61.0,3.0,5.0,6.0,4.0,5.0,2.0,99.0,2.0,45.0,17.0,3.0,4.0,1.0,46.0,4.0,103.0,56.0,2.0,10531.0,47.0,26.0,13.0,4.0,1.0,1.0
4.0,39.0,9.0,44.0,0.0,4.0,4.0,2.0,18.0,3.0,104.0,54.0,5.0,10371.0,98.0,25.0,12.0,6.0,3.0,3.0,2.0,64.0,9.0,37.0,6.0,1.0,4.0,2.0,22.0,3.0,105.0,59.0,5.0,17547.0,49.0,24.0,11.0,8.0,4.0,2.0,3.0,58.0,3.0,38.0,2.0,3.0,3.0,1.0,8.0,2.0
106.0,41.0,2.0,6144.0,65.0,21.0,9.0,7.0,2.0,3.0,2.0,14.0,8.0,40.0,13.0,1.0,1.0,4.0,34.0,2.0,107.0,46.0,4.0,16990.0,32.0,6.0,3.0,5.0,1.0,3.0,2.0,0.0,4.0,56.0,11.0,2.0,2.0,3.0,9.0,2.0,108.0,54.0,2.0,17083.0,86.0,11.0,3.0,3.0,2.0,5.0
3.0,10.0,3.0,31.0,13.0,4.0,2.0,4.0,7.0,2.0,109.0,20.0,5.0,19626.0,44.0,28.0,7.0,0.0,1.0,4.0,3.0,54.0,1.0,56.0,3.0,1.0,3.0,2.0,30.0,1.0,110.0,54.0,5.0,10954.0,58.0,26.0,7.0,5.0,2.0,5.0,3.0,1.0,5.0,42.0,12.0,1.0,2.0,3.0,18.0,1.0
111.0,56.0,3.0,10269.0,67.0,17.0,6.0,2.0,2.0,2.0,3.0,64.0,4.0,33.0,15.0,4.0,2.0,4.0,27.0,4.0,112.0,33.0,3.0,10130.0,24.0,10.0,3.0,5.0,1.0,2.0,1.0,94.0,1.0,56.0,15.0,3.0,1.0,1.0,16.0,3.0,113.0,22.0,1.0,9828.0,66.0,12.0,14.0,5.0,1.0,5.0
4.0,43.0,8.0,38.0,4.0,1.0,4.0,4.0,21.0,3.0,114.0,20.0,5.0,11844.0,63.0,17.0,13.0,3.0,2.0,4.0,4.0,15.0,8.0,34.0,19.0,4.0,4.0,3.0,5.0,4.0,115.0,24.0,3.0,17220.0,25.0,4.0,7.0,1.0,2.0,5.0,3.0,21.0,8.0,48.0,5.0,2.0,3.0,3.0,29.0,4.0
116.0,45.0,2.0,9331.0,80.0,2.0,5.0,8.0,2.0,2.0,4.0,17.0,3.0,51.0,5.0,2.0,4.0,3.0,47.0,4.0,117.0,33.0,4.0,16397.0,72.0,11.0,7.0,1.0,4.0,4.0,4.0,46.0,6.0,32.0,17.0,4.0,4.0,3.0,37.0,1.0,118.0,58.0,2.0,13291.0,50.0,7.0,2.0,2.0,4.0,2.0
4.0,80.0,7.0,59.0,5.0,1.0,3.0,4.0,43.0,4.0,119.0,46.0,4.0,13164.0,47.0,2.0,6.0,9.0,3.0,4.0,4.0,29.0,9.0,50.0,6.0,4.0,3.0,1.0,22.0,3.0,120.0,28.0,3.0,13450.0,61.0,26.0,14.0,0.0,4.0,4.0,3.0,9.0,5.0,32.0,15.0,4.0,4.0,1.0,14.0,4.0
121.0,34.0,1.0,5035.0,27.0,18.0,8.0,6.0,4.0,5.0,2.0,98.0,9.0,35.0,8.0,1.0,1.0,3.0,19.0,2.0,122.0,34.0,2.0,14463.0,54.0,21.0,1.0,0.0,1.0,5.0,2.0,57.0,6.0,57.0,12.0,3.0,3.0,1.0,35.0,3.0,123.0,45.0,2.0,10977.0,82.0,4.0,4.0,8.0,3.0,5.0
2.0,61.0,4.0,39.0,11.0,3.0,2.0,4.0,24.0,3.0,124.0,32.0,2.0,15182.0,56.0,8.0,11.0,0.0,3.0,4.0,1.0,84.0,1.0,34.0,18.0,2.0,3.0,1.0,42.0,3.0,125.0,51.0,4.0,3298.0,33.0,20.0,1.0,4.0,4.0,4.0,4.0,79.0,1.0,59.0,0.0,3.0,2.0,2.0,6.0,1.0
126.0,58.0,3.0,3923.0,96.0,14.0,14.0,6.0,1.0,2.0,3.0,5.0,5.0,54.0,7.0,4.0,3.0,1.0,3.0,1.0,127.0,51.0,2.0,16331.0,33.0,12.0,1.0,2.0,1.0,3.0,3.0,66.0,3.0,32.0,3.0,1.0,3.0,3.0,34.0,3.0,128.0,23.0,2.0,9578.0,72.0,22.0,10.0,8.0,3.0,5.0
1.0,40.0,5.0,51.0,18.0,2.0,4.0,1.0,45.0,2.0,129.0,49.0,1.0,7875.0,37.0,21.0,12.0,7.0,1.0,2.0,3.0,42.0,5.0,53.0,4.0,3.0,4.0,1.0,2.0,3.0,130.0,56.0,1.0,15254.0,68.0,27.0,14.0,2.0,2.0,2.0,2.0,84.0,1.0,36.0,16.0,4.0,4.0,1.0,15.0,1.0
131.0,42.0,3.0,13905.0,94.0,18.0,14.0,4.0,4.0,1.0,1.0,76.0,8.0,51.0,2.0,2.0,1.0,1.0,37.0,2.0,132.0,58.0,3.0,16353.0,79.0,11.0,11.0,6.0,2.0,5.0,3.0,17.0,5.0,59.0,18.0,1.0,4.0,2.0,15.0,3.0,133.0,34.0,5.0,18882.0,26.0,29.0,8.0,3.0,3.0,2.0
1.0,57.0,5.0,47.0,0.0,3.0,4.0,4.0,32.0,1.0,134.0,48.0,1.0,12663.0,38.0,28.0,7.0,4.0,3.0,1.0,1.0,59.0,9.0,52.0,0.0,4.0,3.0,3.0,21.0,2.0,135.0,55.0,5.0,3941.0,48.0,8.0,12.0,2.0,1.0,5.0,3.0,87.0,8.0,37.0,19.0,1.0,3.0,3.0,17.0,4.0
136.0,32.0,4.0,4907.0,67.0,2.0,10.0,8.0,1.0,4.0,2.0,26.0,1.0,30.0,8.0,4.0,1.0,1.0,34.0,4.0,137.0,51.0,5.0,7837.0,22.0,25.0,13.0,9.0,3.0,1.0,3.0,67.0,3.0,54.0,4.0,4.0,2.0,4.0,32.0,3.0,138.0,26.0,2.0,16680.0,32.0,15.0,1.0,8.0,3.0,4.0
4.0,21.0,7.0,33.0,6.0,4.0,3.0,1.0,47.0,4.0,139.0,41.0,5.0,8696.0,71.0,9.0,11.0,6.0,2.0,3.0,4.0,23.0,1.0,53.0,5.0,1.0,3.0,2.0,23.0,1.0,140.0,47.0,3.0,19226.0,19.0,19.0,14.0,9.0,2.0,3.0,3.0,39.0,1.0,55.0,16.0,2.0,2.0,4.0,35.0,2.0
141.0,21.0,4.0,16543.0,40.0,20.0,13.0,1.0,1.0,3.0,2.0,73.0,5.0,36.0,16.0,4.0,1.0,4.0,37.0,3.0,142.0,25.0,2.0,15615.0,44.0,8.0,2.0,6.0,2.0,3.0,4.0,65.0,9.0,43.0,12.0,2.0,3.0,4.0,43.0,2.0,143.0,47.0,5.0,4466.0,68.0,25.0,4.0,6.0,1.0,2.0
4.0,39.0,6.0,42.0,11.0,2.0,4.0,4.0,41.0,2.0,144.0,47.0,4.0,3375.0,27.0,19.0,1.0,4.0,1.0,3.0,3.0,5.0,2.0,39.0,3.0,3.0,1.0,1.0,37.0,2.0,145.0,39.0,4.0,3262.0,97.0,5.0,3.0,8.0,4.0,2.0,3.0,17.0,9.0,52.0,7.0,3.0,2.0,2.0,33.0,1.0
146.0,49.0,2.0,14580.0,43.0,11.0,8.0,2.0,1.0,2.0,3.0,80.0,6.0,47.0,4.0,2.0,2.0,4.0,25.0,3.0,147.0,30.0,5.0,13136.0,17.0,15.0,8.0,3.0,2.0,5.0,1.0,86.0,5.0,30.0,4.0,3.0,4.0,3.0,46.0,4.0,148.0,47.0,4.0,10833.0,72.0,8.0,8.0,0.0,3.0,2.0
1.0,29.0,5.0,33.0,12.0,3.0,4.0,3.0,37.0,2.0,149.0,44.0,4.0,4893.0,90.0,19.0,6.0,5.0,3.0,2.0,1.0,20.0,3.0,57.0,10.0,2.0,4.0,2.0,40.0,2.0,150.0,58.0,1.0,11106.0,16.0,23.0,6.0,3.0,2.0,3.0,3.0,61.0,6.0,45.0,7.0,1.0,1.0,3.0,21.0,2.0
151.0,52.0,4.0,14826.0,89.0,27.0,5.0,0.0,3.0,2.0,2.0,9.0,4.0,45.0,7.0,3.0,2.0,1.0,46.0,1.0,152.0,20.0,1.0,4652.0,42.0,8.0,13.0,1.0,1.0,4.0,4.0,12.0,2.0,47.0,0.0,3.0,4.0,1.0,48.0,4.0,153.0,46.0,5.0,3599.0,96.0,26.0,9.0,2.0,3.0,3.0
1.0,75.0,3.0,37.0,12.0,1.0,4.0,2.0,38.0,2.0,154.0,32.0,5.0,11792.0,91.0,27.0,4.0,8.0,2.0,1.0,2.0,8.0,9.0,39.0,4.0,1.0,2.0,4.0,40.0,1.0,155.0,22.0,5.0,6637.0,90.0,19.0,10.0,7.0,3.0,3.0,3.0,67.0,9.0,45.0,7.0,1.0,3.0,3.0,34.0,1.0
156.0,58.0,3.0,13355.0,16.0,18.0,12.0,6.0,1.0,2.0,1.0,38.0,6.0,52.0,16.0,2.0,1.0,3.0,19.0,2.0,157.0,25.0,5.0,18989.0,21.0,10.0,12.0,3.0,1.0,4.0,3.0,23.0,9.0,53.0,12.0,1.0,3.0,2.0,27.0,2.0,158.0,27.0,4.0,12290.0,40.0,29.0,12.0,0.0,2.0,3.0
2.0,33.0,4.0,40.0,8.0,2.0,4.0,2.0,9.0,1.0,159.0,46.0,2.0,8599.0,90.0,7.0,7.0,7.0,2.0,4.0,1.0,60.0,5.0,35.0,1.0,4.0,1.0,3.0,5.0,1.0,160.0,28.0,1.0,17342.0,30.0,28.0,1.0,3.0,2.0,1.0,1.0,40.0,6.0,30.0,18.0,4.0,3.0,4.0,5.0,2.0
