Title,Movie Link,Duration,MPA,Votes,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,"['Arabic', 'English']","['Bengali', 'English']","['Bulgarian', 'Serbian', 'French']","['Croatian', 'English', 'German', 'Italian']","['Czech', 'German']",['Czech'],['Danish'],"['English', 'Chinese', 'Spanish']","['English', 'Czech']","['English', 'French', 'Italian']","['English', 'French', 'Japanese']","['English', 'French', 'Spanish', 'Italian']","['English', 'French', 'Spanish']","['English', 'French', 'Turkish', 'German', 'Greek', 'Italian']","['English', 'French']","['English', 'German', 'French']","['English', 'German', 'Portuguese', 'French']","['English', 'German']","['English', 'Greek', 'Spanish']","['English', 'Greek']","['English', 'Italian', 'French']","['English', 'Italian']","['English', 'Japanese']","['English', 'Latin', 'Welsh']","['English', 'Latin']","['English', 'Russian']","['English', 'Spanish', 'French', 'Apache languages']","['English', 'Spanish', 'German']","['English', 'Spanish']","['English', 'Swahili', 'Arabic']","['English', 'Zulu']",['English'],"['Filipino', 'Tagalog']","['French', 'Arabic']","['French', 'Dutch']","['French', 'English', 'German']","['French', 'English', 'Portuguese']","['French', 'English']"
110.0,1964.0,537.0,1964.0,138.0,1964.0,43.0,1964.0,203.0,1964.0,288.0,1964.0,1964.0,90.0,1964.0,958.0,1964.0,244.0,1964.0,121.0,1964.0,194.0,1964.0,14.0,1964.0,216.0,1964.0,464.0,1964.0,57.0,1964.0,447.0,1964.0,1964.0,1964.0,199.0,1964.0,642.0,1964.0,58.0,1964.0,15.0,1964.0,57.0,1964.0,298.0,1964.0,719.0,1964.0,944.0
1964.0,350.0,1964.0,136.0,1964.0,1964.0,211.0,1964.0,244.0,1964.0,108.0,1964.0,115.0,1964.0,227.0,1964.0,83.0,1964.0,30.0,1964.0,667.0,1964.0,37.0,1964.0,146.0,1964.0,1964.0,319.0,1964.0,777.0,1964.0,489.0,1964.0,14.0,1964.0,107.0,1964.0,127.0,1964.0,128.0,1964.0,82.0,1964.0,305.0,1964.0,267.0,1964.0,1964.0,120.0,1964.0
264.0,1964.0,184.0,1964.0,15.0,1964.0,97.0,1964.0,194.0,1964.0,674.0,1964.0,66.0,1964.0,91.0,1964.0,545.0,1964.0,1964.0,66.0,1964.0,266.0,1964.0,445.0,1964.0,214.0,1964.0,53.0,1964.0,81.0,1964.0,8.0,1964.0,54.0,1964.0,43.0,1964.0,23.0,1964.0,1964.0,84.0,1964.0,380.0,1964.0,219.0,1964.0,125.0,1964.0,36.0,1964.0
1964.0,221.0,1964.0,96.0,1964.0,20.0,1964.0,119.0,1964.0,1964.0,348.0,1964.0,14.0,1964.0,27.0,1964.0,548.0,1964.0,207.0,1964.0,180.0,1964.0,10.0,1964.0,24.0,1964.0,329.0,1964.0,230.0,1964.0,1964.0,34.0,1964.0,232.0,1964.0,680.0,1964.0,21.0,1964.0,233.0,1964.0,54.0,1964.0,1964.0,154.0,1964.0,501.0,1964.0,208.0,1964.0
1964.0,72.0,1964.0,77.0,1964.0,11.0,1964.0,41.0,1964.0,41.0,1964.0,443.0,1964.0,62.0,1964.0,240.0,1964.0,54.0,1964.0,82.0,1964.0,1964.0,179.0,1964.0,56.0,1964.0,125.0,1964.0,95.0,1964.0,65.0,1964.0,94.0,1964.0,991.0,1964.0,153.0,1964.0,1964.0,220.0,1964.0,1964.0,1964.0,399.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0
1964.0,1964.0,339.0,1964.0,1964.0,1964.0,1964.0,347.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,565.0,1964.0,1964.0,261.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0
1964.0,911.0,1964.0,1964.0,1964.0,1964.0,595.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,445.0,1964.0,533.0,1964.0,1964.0,1964.0,1964.0,1964.0,541.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,794.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0
474.0,1964.0,864.0,1964.0,916.0,1964.0,1964.0,140.0,1964.0,1964.0,819.0,1964.0,1964.0,673.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,256.0,1964.0,420.0,1964.0,891.0,1964.0,1964.0,291.0,1964.0,1964.0,1964.0,1964.0,818.0,1964.0,1964.0,1964.0,798.0,1964.0,165.0,1964.0,1964.0,903.0,1964.0,1964.0,1964.0,1964.0,1964.0,492.0,1964.0
556.0,1964.0,1964.0,1964.0,1964.0,1964.0,779.0,1964.0,1964.0,1964.0,1964.0,73.0,1964.0,1964.0,391.0,1964.0,1964.0,1964.0,976.0,1964.0,450.0,1964.0,1964.0,1964.0,866.0,1964.0,469.0,1964.0,1964.0,1964.0,1964.0,1964.0,959.0,1964.0,1964.0,1964.0,1964.0,60.0,1964.0,759.0,1964.0,1964.0,408.0,1964.0,1964.0,449.0,1964.0,1964.0,1964.0,572.0
1964.0,135.0,1964.0,232.0,1964.0,1964.0,1964.0,1964.0,634.0,1964.0,1964.0,964.0,1964.0,1964.0,1964.0,439.0,1964.0,395.0,1964.0,588.0,1964.0,273.0,1964.0,1964.0,266.0,1964.0,1964.0,569.0,1964.0,392.0,1964.0,592.0,1964.0,1964.0,230.0,1964.0,875.0,1964.0,1964.0,1964.0,1964.0,40.0,1964.0,428.0,1964.0,1964.0,214.0,1964.0,271.0,1964.0
1964.0,360.0,1964.0,183.0,1964.0,431.0,1964.0,584.0,1964.0,495.0,1964.0,181.0,1964.0,546.0,1964.0,285.0,1964.0,641.0,1964.0,1964.0,1964.0,1964.0,455.0,1964.0,1964.0,862.0,1964.0,485.0,1964.0,516.0,1964.0,1964.0,541.0,1964.0,1964.0,1964.0,1964.0,548.0,1964.0,977.0,1964.0,8.0,1964.0,1964.0,287.0,1964.0,877.0,1964.0,325.0,1964.0
215.0,1964.0,61.0,1964.0,19.0,1964.0,1964.0,926.0,1964.0,53.0,1964.0,940.0,1964.0,370.0,1964.0,604.0,1964.0,1964.0,227.0,1964.0,1964.0,465.0,1964.0,373.0,1964.0,1964.0,280.0,1964.0,112.0,1964.0,1964.0,471.0,1964.0,127.0,1964.0,1964.0,763.0,1964.0,246.0,1964.0,652.0,1964.0,284.0,1964.0,1964.0,596.0,1964.0,333.0,1964.0,312.0
1964.0,198.0,1964.0,440.0,1964.0,422.0,1964.0,652.0,1964.0,1964.0,583.0,1964.0,290.0,1964.0,1964.0,204.0,1964.0,1964.0,230.0,1964.0,1964.0,449.0,1964.0,424.0,1964.0,232.0,1964.0,569.0,1964.0,998.0,1964.0,72.0,1964.0,1964.0,1964.0,745.0,1964.0,657.0,1964.0,330.0,1964.0,220.0,1964.0,73.0,1964.0,763.0,1964.0,949.0,1964.0,306.0
1964.0,230.0,1964.0,53.0,1964.0,1964.0,150.0,1964.0,150.0,1964.0,1964.0,1964.0,44.0,1964.0,1964.0,1964.0,333.0,1964.0,407.0,1964.0,390.0,1964.0,1964.0,301.0,1964.0,671.0,1964.0,512.0,1964.0,279.0,1964.0,20.0,1964.0,421.0,1964.0,782.0,1964.0,45.0,1964.0,164.0,1964.0,423.0,1964.0,1964.0,297.0,1964.0,1964.0,415.0,1964.0,298.0
1964.0,205.0,1964.0,199.0,1964.0,302.0,1964.0,12.0,1964.0,506.0,1964.0,357.0,1964.0,1964.0,129.0,1964.0,619.0,1964.0,326.0,1964.0,217.0,1964.0,166.0,1964.0,45.0,1964.0,196.0,1964.0,315.0,1964.0,166.0,1964.0,11.0,1964.0,1964.0,298.0,1964.0,67.0,1964.0,324.0,1964.0,273.0,1964.0,1964.0,296.0,1964.0,801.0,1964.0,79.0,1964.0
14.0,1964.0,542.0,1964.0,1964.0,308.0,1964.0,588.0,1964.0,1964.0,27.0,1964.0,112.0,1964.0,423.0,1964.0,167.0,1964.0,14.0,1964.0,414.0,1964.0,346.0,1964.0,1964.0,548.0,1964.0,288.0,1964.0,241.0,1964.0,181.0,1964.0,369.0,1964.0,27.0,1964.0,110.0,1964.0,1964.0,199.0,1964.0,110.0,1964.0,1964.0,55.0,1964.0,60.0,1964.0,90.0
1964.0,564.0,1964.0,110.0,1964.0,537.0,1964.0,138.0,1964.0,43.0,1964.0,203.0,1964.0,288.0,1964.0,1964.0,90.0,1964.0,958.0,1964.0,244.0,1964.0,121.0,1964.0,194.0,1964.0,14.0,1964.0,216.0,1964.0,464.0,1964.0,57.0,1964.0,447.0,1964.0,1964.0,1964.0,199.0,1964.0,642.0,1964.0,58.0,1964.0,15.0,1964.0,57.0,1964.0,298.0,1964.0
719.0,1964.0,944.0,1964.0,350.0,1964.0,136.0,1964.0,1964.0,211.0,1964.0,244.0,1964.0,108.0,1964.0,115.0,1964.0,227.0,1964.0,83.0,1964.0,30.0,1964.0,667.0,1964.0,37.0,1964.0,146.0,1964.0,1964.0,319.0,1964.0,777.0,1964.0,489.0,1964.0,14.0,1964.0,107.0,1964.0,127.0,1964.0,128.0,1964.0,82.0,1964.0,305.0,1964.0,267.0,1964.0
1964.0,120.0,1964.0,264.0,1964.0,184.0,1964.0,15.0,1964.0,97.0,1964.0,194.0,1964.0,674.0,1964.0,66.0,1964.0,91.0,1964.0,545.0,1964.0,1964.0,66.0,1964.0,266.0,1964.0,445.0,1964.0,214.0,1964.0,53.0,1964.0,81.0,1964.0,8.0,1964.0,54.0,1964.0,43.0,1964.0,23.0,1964.0,1964.0,84.0,1964.0,380.0,1964.0,219.0,1964.0,125.0
1964.0,36.0,1964.0,1964.0,221.0,1964.0,96.0,1964.0,20.0,1964.0,119.0,1964.0,1964.0,348.0,1964.0,14.0,1964.0,27.0,1964.0,548.0,1964.0,207.0,1964.0,180.0,1964.0,10.0,1964.0,24.0,1964.0,329.0,1964.0,230.0,1964.0,1964.0,34.0,1964.0,232.0,1964.0,680.0,1964.0,21.0,1964.0,233.0,1964.0,54.0,1964.0,1964.0,154.0,1964.0,501.0
1964.0,208.0,1964.0,1964.0,72.0,1964.0,77.0,1964.0,11.0,1964.0,41.0,1964.0,41.0,1964.0,443.0,1964.0,62.0,1964.0,240.0,1964.0,54.0,1964.0,82.0,1964.0,1964.0,179.0,1964.0,56.0,1964.0,125.0,1964.0,95.0,1964.0,65.0,1964.0,94.0,1964.0,991.0,1964.0,153.0,1964.0,1964.0,220.0,1964.0,1964.0,1964.0,399.0,1964.0,1964.0,1964.0
1964.0,1964.0,1964.0,1964.0,1964.0,339.0,1964.0,1964.0,1964.0,1964.0,347.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,565.0,1964.0,1964.0,261.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0
1964.0,1964.0,1964.0,1964.0,911.0,1964.0,1964.0,1964.0,1964.0,595.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,445.0,1964.0,533.0,1964.0,1964.0,1964.0,1964.0,1964.0,541.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,794.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0
1964.0,1964.0,1964.0,474.0,1964.0,864.0,1964.0,916.0,1964.0,1964.0,140.0,1964.0,1964.0,819.0,1964.0,1964.0,673.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,256.0,1964.0,420.0,1964.0,891.0,1964.0,1964.0,291.0,1964.0,1964.0,1964.0,1964.0,818.0,1964.0,1964.0,1964.0,798.0,1964.0,165.0,1964.0,1964.0,903.0,1964.0,1964.0,1964.0,1964.0
1964.0,492.0,1964.0,556.0,1964.0,1964.0,1964.0,1964.0,1964.0,779.0,1964.0,1964.0,1964.0,1964.0,73.0,1964.0,1964.0,391.0,1964.0,1964.0,1964.0,976.0,1964.0,450.0,1964.0,1964.0,1964.0,866.0,1964.0,469.0,1964.0,1964.0,1964.0,1964.0,1964.0,959.0,1964.0,1964.0,1964.0,1964.0,60.0,1964.0,759.0,1964.0,1964.0,408.0,1964.0,1964.0,449.0,1964.0
1964.0,1964.0,572.0,1964.0,135.0,1964.0,232.0,1964.0,1964.0,1964.0,1964.0,634.0,1964.0,1964.0,964.0,1964.0,1964.0,1964.0,439.0,1964.0,395.0,1964.0,588.0,1964.0,273.0,1964.0,1964.0,266.0,1964.0,1964.0,569.0,1964.0,392.0,1964.0,592.0,1964.0,1964.0,230.0,1964.0,875.0,1964.0,1964.0,1964.0,1964.0,40.0,1964.0,428.0,1964.0,1964.0,214.0
1964.0,271.0,1964.0,1964.0,360.0,1964.0,183.0,1964.0,431.0,1964.0,584.0,1964.0,495.0,1964.0,181.0,1964.0,546.0,1964.0,285.0,1964.0,641.0,1964.0,1964.0,1964.0,1964.0,455.0,1964.0,1964.0,862.0,1964.0,485.0,1964.0,516.0,1964.0,1964.0,541.0,1964.0,1964.0,1964.0,1964.0,548.0,1964.0,977.0,1964.0,8.0,1964.0,1964.0,287.0,1964.0,877.0
1964.0,325.0,1964.0,215.0,1964.0,61.0,1964.0,19.0,1964.0,1964.0,926.0,1964.0,53.0,1964.0,940.0,1964.0,370.0,1964.0,604.0,1964.0,1964.0,227.0,1964.0,1964.0,465.0,1964.0,373.0,1964.0,1964.0,280.0,1964.0,112.0,1964.0,1964.0,471.0,1964.0,127.0,1964.0,1964.0,763.0,1964.0,246.0,1964.0,652.0,1964.0,284.0,1964.0,1964.0,596.0,1964.0
333.0,1964.0,312.0,1964.0,198.0,1964.0,440.0,1964.0,422.0,1964.0,652.0,1964.0,1964.0,583.0,1964.0,290.0,1964.0,1964.0,204.0,1964.0,1964.0,230.0,1964.0,1964.0,449.0,1964.0,424.0,1964.0,232.0,1964.0,569.0,1964.0,998.0,1964.0,72.0,1964.0,1964.0,1964.0,745.0,1964.0,657.0,1964.0,330.0,1964.0,220.0,1964.0,73.0,1964.0,763.0,1964.0
949.0,1964.0,306.0,1964.0,230.0,1964.0,53.0,1964.0,1964.0,150.0,1964.0,150.0,1964.0,1964.0,1964.0,44.0,1964.0,1964.0,1964.0,333.0,1964.0,407.0,1964.0,390.0,1964.0,1964.0,301.0,1964.0,671.0,1964.0,512.0,1964.0,279.0,1964.0,20.0,1964.0,421.0,1964.0,782.0,1964.0,45.0,1964.0,164.0,1964.0,423.0,1964.0,1964.0,297.0,1964.0,1964.0
415.0,1964.0,298.0,1964.0,205.0,1964.0,199.0,1964.0,302.0,1964.0,12.0,1964.0,506.0,1964.0,357.0,1964.0,1964.0,129.0,1964.0,619.0,1964.0,326.0,1964.0,217.0,1964.0,166.0,1964.0,45.0,1964.0,196.0,1964.0,315.0,1964.0,166.0,1964.0,11.0,1964.0,1964.0,298.0,1964.0,67.0,1964.0,324.0,1964.0,273.0,1964.0,1964.0,296.0,1964.0,801.0
1964.0,79.0,1964.0,14.0,1964.0,542.0,1964.0,1964.0,308.0,1964.0,588.0,1964.0,1964.0,27.0,1964.0,112.0,1964.0,423.0,1964.0,167.0,1964.0,14.0,1964.0,414.0,1964.0,346.0,1964.0,1964.0,548.0,1964.0,288.0,1964.0,241.0,1964.0,181.0,1964.0,369.0,1964.0,27.0,1964.0,110.0,1964.0,1964.0,199.0,1964.0,110.0,1964.0,1964.0,55.0,1964.0
60.0,1964.0,90.0,1964.0,564.0,1964.0,110.0,1964.0,537.0,1964.0,138.0,1964.0,43.0,1964.0,203.0,1964.0,288.0,1964.0,1964.0,90.0,1964.0,958.0,1964.0,244.0,1964.0,121.0,1964.0,194.0,1964.0,14.0,1964.0,216.0,1964.0,464.0,1964.0,57.0,1964.0,447.0,1964.0,1964.0,1964.0,199.0,1964.0,642.0,1964.0,58.0,1964.0,15.0,1964.0,57.0
1964.0,298.0,1964.0,719.0,1964.0,944.0,1964.0,350.0,1964.0,136.0,1964.0,1964.0,211.0,1964.0,244.0,1964.0,108.0,1964.0,115.0,1964.0,227.0,1964.0,83.0,1964.0,30.0,1964.0,667.0,1964.0,37.0,1964.0,146.0,1964.0,1964.0,319.0,1964.0,777.0,1964.0,489.0,1964.0,14.0,1964.0,107.0,1964.0,127.0,1964.0,128.0,1964.0,82.0,1964.0,305.0
1964.0,267.0,1964.0,1964.0,120.0,1964.0,264.0,1964.0,184.0,1964.0,15.0,1964.0,97.0,1964.0,194.0,1964.0,674.0,1964.0,66.0,1964.0,91.0,1964.0,545.0,1964.0,1964.0,66.0,1964.0,266.0,1964.0,445.0,1964.0,214.0,1964.0,53.0,1964.0,81.0,1964.0,8.0,1964.0,54.0,1964.0,43.0,1964.0,23.0,1964.0,1964.0,84.0,1964.0,380.0,1964.0
219.0,1964.0,125.0,1964.0,36.0,1964.0,1964.0,221.0,1964.0,96.0,1964.0,20.0,1964.0,119.0,1964.0,1964.0,348.0,1964.0,14.0,1964.0,27.0,1964.0,548.0,1964.0,207.0,1964.0,180.0,1964.0,10.0,1964.0,24.0,1964.0,329.0,1964.0,230.0,1964.0,1964.0,34.0,1964.0,232.0,1964.0,680.0,1964.0,21.0,1964.0,233.0,1964.0,54.0,1964.0,1964.0
154.0,1964.0,501.0,1964.0,208.0,1964.0,1964.0,72.0,1964.0,77.0,1964.0,11.0,1964.0,41.0,1964.0,41.0,1964.0,443.0,1964.0,62.0,1964.0,240.0,1964.0,54.0,1964.0,82.0,1964.0,1964.0,179.0,1964.0,56.0,1964.0,125.0,1964.0,95.0,1964.0,65.0,1964.0,94.0,1964.0,991.0,1964.0,153.0,1964.0,1964.0,220.0,1964.0,1964.0,1964.0,399.0
1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,339.0,1964.0,1964.0,1964.0,1964.0,347.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,565.0,1964.0,1964.0,261.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0
1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,911.0,1964.0,1964.0,1964.0,1964.0,595.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,445.0,1964.0,533.0,1964.0,1964.0,1964.0,1964.0,1964.0,541.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,794.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0
1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,474.0,1964.0,864.0,1964.0,916.0,1964.0,1964.0,140.0,1964.0,1964.0,819.0,1964.0,1964.0,673.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,256.0,1964.0,420.0,1964.0,891.0,1964.0,1964.0,291.0,1964.0,1964.0,1964.0,1964.0,818.0,1964.0,1964.0,1964.0,798.0,1964.0,165.0,1964.0,1964.0,903.0,1964.0
1964.0,1964.0,1964.0,1964.0,492.0,1964.0,556.0,1964.0,1964.0,1964.0,1964.0,1964.0,779.0,1964.0,1964.0,1964.0,1964.0,73.0,1964.0,1964.0,391.0,1964.0,1964.0,1964.0,976.0,1964.0,450.0,1964.0,1964.0,1964.0,866.0,1964.0,469.0,1964.0,1964.0,1964.0,1964.0,1964.0,959.0,1964.0,1964.0,1964.0,1964.0,60.0,1964.0,759.0,1964.0,1964.0,408.0,1964.0
1964.0,449.0,1964.0,1964.0,1964.0,572.0,1964.0,135.0,1964.0,232.0,1964.0,1964.0,1964.0,1964.0,634.0,1964.0,1964.0,964.0,1964.0,1964.0,1964.0,439.0,1964.0,395.0,1964.0,588.0,1964.0,273.0,1964.0,1964.0,266.0,1964.0,1964.0,569.0,1964.0,392.0,1964.0,592.0,1964.0,1964.0,230.0,1964.0,875.0,1964.0,1964.0,1964.0,1964.0,40.0,1964.0,428.0
1964.0,1964.0,214.0,1964.0,271.0,1964.0,1964.0,360.0,1964.0,183.0,1964.0,431.0,1964.0,584.0,1964.0,495.0,1964.0,181.0,1964.0,546.0,1964.0,285.0,1964.0,641.0,1964.0,1964.0,1964.0,1964.0,455.0,1964.0,1964.0,862.0,1964.0,485.0,1964.0,516.0,1964.0,1964.0,541.0,1964.0,1964.0,1964.0,1964.0,548.0,1964.0,977.0,1964.0,8.0,1964.0,1964.0
287.0,1964.0,877.0,1964.0,325.0,1964.0,215.0,1964.0,61.0,1964.0,19.0,1964.0,1964.0,926.0,1964.0,53.0,1964.0,940.0,1964.0,370.0,1964.0,604.0,1964.0,1964.0,227.0,1964.0,1964.0,465.0,1964.0,373.0,1964.0,1964.0,280.0,1964.0,112.0,1964.0,1964.0,471.0,1964.0,127.0,1964.0,1964.0,763.0,1964.0,246.0,1964.0,652.0,1964.0,284.0,1964.0
1964.0,596.0,1964.0,333.0,1964.0,312.0,1964.0,198.0,1964.0,440.0,1964.0,422.0,1964.0,652.0,1964.0,1964.0,583.0,1964.0,290.0,1964.0,1964.0,204.0,1964.0,1964.0,230.0,1964.0,1964.0,449.0,1964.0,424.0,1964.0,232.0,1964.0,569.0,1964.0,998.0,1964.0,72.0,1964.0,1964.0,1964.0,745.0,1964.0,657.0,1964.0,330.0,1964.0,220.0,1964.0,73.0
