Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41
76.0,352.0,17.2,14.0,2.0,94.0,937.0,0.86,21.0,7.0,28.0,257.0,18.76,15.0,2.0,80.0,636.0,9.22,18.0,9.0,57.0,645.0,2.84,24.0,2.0,35.0,555.0,17.59,24.0,6.0,69.0,960.0,14.89,17.0,6.0,87.0,169.0,1.3,22.0,4.0,31.0,918.0,18.99,10.0,6.0,70.0,529.0,1.6,24.0,37.0
824.0,8.26,15.0,1.0,57.0,986.0,10.16,12.0,5.0,52.0,817.0,12.03,20.0,5.0,65.0,87.0,14.73,24.0,6.0,74.0,433.0,12.56,17.0,5.0,69.0,185.0,5.53,19.0,1.0,44.0,979.0,10.18,25.0,3.0,73.0,535.0,15.5,28.0,9.0,91.0,295.0,2.98,11.0,2.0,27.0,893.0,16.69,8.0,2.0,65.0
426.0,11.22,25.0,5.0,79.0,714.0,8.53,8.0,2.0,41.0,261.0,12.49,25.0,4.0,77.0,238.0,0.97,24.0,8.0,26.0,560.0,12.6,8.0,6.0,58.0,584.0,6.91,28.0,9.0,56.0,446.0,18.97,25.0,4.0,141.0,868.0,4.05,20.0,44.0,801.0,14.29,14.0,7.0,78.0,600.0,1.3,19.0,5.0,29.0,850.0
12.11,9.0,5.0,59.0,266.0,14.94,11.0,0.0,62.0,996.0,2.29,8.0,8.0,80.0,530.0,17.36,24.0,1.0,105.0,56.0,18.48,8.0,0.0,82.0,121.0,16.25,10.0,5.0,91.0,216.0,5.13,15.0,4.0,30.0,26.0,15.81,25.0,1.0,92.0,73.0,0.61,10.0,0.0,16.0,45.0,5.55,18.0,1.0,116.0,248.0
19.35,12.0,7.0,75.0,722.0,4.03,9.0,5.0,25.0,282.0,7.09,13.0,8.0,37.0,894.0,8.25,7.0,9.0,28.0,915.0,11.26,5.0,6.0,49.0,811.0,19.7,10.0,2.0,60.0,245.0,0.8,14.0,9.0,36.0,823.0,7.0,17.0,9.0,49.0,322.0,14.43,14.0,4.0,113.0,644.0,6.89,11.0,6.0,43.0,159.0
5.13,25.0,1.0,60.0,978.0,1.5,10.0,1.0,17.0,430.0,2.78,9.0,0.0,41.0,942.0,11.31,7.0,0.0,54.0,463.0,15.05,12.0,2.0,66.0,310.0,5.78,9.0,9.0,33.0,698.0,11.83,9.0,7.0,32.0,61.0,8.08,25.0,2.0,61.0,885.0,16.1,25.0,0.0,64.0,596.0,9.74,7.0,8.0,37.0,768.0
17.6,27.0,3.0,69.0,650.0,10.22,18.0,1.0,68.0,651.0,2.19,26.0,3.0,32.0,866.0,11.41,17.0,4.0,68.0,669.0,4.14,14.0,2.0,30.0,299.0,12.65,18.0,8.0,60.0,690.0,4.15,17.0,8.0,46.0,315.0,16.8,19.0,4.0,85.0,311.0,9.06,23.0,4.0,47.0,362.0,13.04,20.0,6.0,65.0,480.0
10.7,8.0,5.0,44.0,111.0,6.15,26.0,5.0,48.0,990.0,16.47,20.0,9.0,75.0,487.0,1.39,15.0,4.0,24.0,364.0,11.14,7.0,3.0,47.0,255.0,3.81,5.0,6.0,31.0,260.0,2.39,27.0,7.0,43.0,803.0,11.74,6.0,3.0,54.0,678.0,8.26,21.0,4.0,80.0,495.0,9.54,11.0,5.0,47.0,671.0
3.88,16.0,2.0,35.0,378.0,0.95,27.0,0.0,44.0,527.0,8.59,17.0,8.0,36.0,846.0,8.59,22.0,2.0,43.0,138.0,14.21,24.0,58.0,356.0,13.03,9.0,1.0,50.0,366.0,8.03,14.0,8.0,42.0,943.0,13.2,14.0,3.0,62.0,750.0,12.67,10.0,3.0,65.0,949.0,17.54,16.0,8.0,54.0,830.0,9.32
6.0,5.0,30.0,657.0,6.03,8.0,6.0,46.0,200.0,15.71,28.0,5.0,69.0,214.0,4.87,16.0,7.0,54.0,409.0,18.15,22.0,7.0,108.0,333.0,0.78,6.0,1.0,17.0,209.0,0.6,26.0,3.0,30.0,614.0,2.09,5.0,5.0,16.0,79.0,7.49,13.0,9.0,45.0,30.0,1.41,15.0,0.0,72.0,536.0,18.92
27.0,4.0,100.0,696.0,12.41,10.0,1.0,51.0,558.0,1.06,19.0,6.0,21.0,837.0,18.34,9.0,4.0,92.0,597.0,13.52,27.0,1.0,82.0,166.0,16.79,24.0,6.0,85.0,919.0,15.39,24.0,5.0,89.0,496.0,7.39,25.0,6.0,60.0,825.0,10.98,10.0,6.0,55.0,66.0,11.08,9.0,0.0,57.0,142.0,5.41
14.0,5.0,36.0,926.0,0.94,9.0,6.0,21.0,828.0,7.27,10.0,5.0,35.0,656.0,2.99,27.0,5.0,41.0,332.0,15.28,16.0,5.0,72.0,665.0,2.48,14.0,6.0,27.0,250.0,17.13,19.0,1.0,71.0,908.0,7.17,15.0,7.0,32.0,709.0,5.47,21.0,6.0,38.0,306.0,19.53,11.0,6.0,87.0,735.0,7.5
29.0,1.0,66.0,976.0,5.61,25.0,9.0,48.0,50.0,4.1,21.0,3.0,37.0,897.0,6.22,15.0,0.0,49.0,3.0,14.77,11.0,6.0,67.0,545.0,12.55,13.0,8.0,51.0,351.0,10.31,19.0,5.0,62.0,905.0,8.72,18.0,7.0,64.0,537.0,17.07,20.0,6.0,73.0,345.0,8.27,13.0,5.0,58.0,995.0,7.54
20.0,55.0,482.0,14.07,5.0,8.0,67.0,576.0,19.02,29.0,9.0,87.0,34.0,19.0,28.0,3.0,96.0,32.0,3.83,12.0,9.0,30.0,232.0,10.3,19.0,8.0,48.0,964.0,8.09,15.0,4.0,51.0,193.0,18.06,9.0,8.0,52.0,334.0,2.76,8.0,5.0,22.0,4.0,12.17,20.0,8.0,68.0,205.0,12.33,22.0
9.0,75.0,515.0,1.38,5.0,8.0,13.0,800.0,18.49,14.0,6.0,71.0,307.0,10.57,28.0,9.0,59.0,110.0,2.0,10.0,2.0,30.0,431.0,3.29,17.0,4.0,32.0,78.0,1.94,16.0,0.0,35.0,85.0,6.56,14.0,1.0,47.0,287.0,9.58,26.0,8.0,60.0,83.0,6.95,25.0,2.0,58.0,992.0,14.05,19.0
0.0,72.0,790.0,18.97,20.0,8.0,108.0,895.0,13.53,28.0,8.0,78.0,399.0,15.14,8.0,6.0,66.0,324.0,5.96,26.0,6.0,48.0,520.0,3.43,7.0,6.0,23.0,917.0,6.24,15.0,3.0,52.0,923.0,17.94,22.0,6.0,85.0,6.0,3.54,10.0,5.0,32.0,732.0,16.38,7.0,90.0,466.0,7.81,11.0,4.0
42.0,98.0,8.84,26.0,0.0,57.0,267.0,14.09,12.0,3.0,55.0,358.0,11.92,14.0,4.0,46.0,869.0,17.3,9.0,0.0,67.0,799.0,14.08,28.0,6.0,66.0,381.0,2.8,28.0,1.0,50.0,632.0,17.96,22.0,2.0,76.0,382.0,14.09,12.0,6.0,67.0,491.0,9.39,14.0,2.0,37.0,119.0,17.9,23.0,85.0
901.0,4.55,5.0,6.0,21.0,251.0,6.24,20.0,4.0,51.0,524.0,16.92,29.0,0.0,70.0,10.0,14.31,9.0,8.0,47.0,197.0,14.66,20.0,2.0,77.0,604.0,2.23,7.0,6.0,14.0,82.0,12.65,15.0,4.0,66.0,784.0,7.24,28.0,6.0,65.0,588.0,3.01,14.0,4.0,26.0,798.0,11.52,25.0,2.0,58.0
240.0,3.95,13.0,5.0,25.0,291.0,1.09,6.0,2.0,17.0,212.0,13.99,7.0,3.0,96.0,718.0,19.32,21.0,7.0,112.0,360.0,11.72,11.0,9.0,42.0,450.0,2.13,9.0,2.0,22.0,228.0,8.17,20.0,9.0,44.0,951.0,12.21,9.0,4.0,57.0,947.0,3.17,17.0,6.0,33.0,797.0,18.68,11.0,8.0,62.0
502.0,10.95,24.0,4.0,55.0,465.0,19.26,21.0,6.0,67.0,363.0,9.44,28.0,8.0,63.0,469.0,4.86,25.0,4.0,52.0,936.0,5.81,25.0,8.0,51.0,429.0,7.34,22.0,8.0,47.0,8.0,17.39,25.0,4.0,100.0,156.0,5.22,11.0,9.0,40.0,542.0,12.32,17.0,4.0,71.0,441.0,2.15,17.0,6.0,30.0
483.0,9.36,17.0,2.0,65.0,423.0,2.28,27.0,9.0,39.0,779.0,14.54,29.0,2.0,73.0,950.0,12.15,12.0,6.0,63.0,335.0,1.4,9.0,9.0,17.0,577.0,3.37,9.0,28.0,935.0,3.85,26.0,3.0,46.0,568.0,9.03,11.0,5.0,43.0,595.0,17.99,15.0,3.0,63.0,531.0,16.35,16.0,0.0,66.0,582.0
19.61,8.0,6.0,72.0,708.0,16.29,20.0,1.0,72.0,449.0,7.84,6.0,4.0,28.0,454.0,18.17,13.0,0.0,71.0,229.0,17.89,27.0,1.0,101.0,353.0,13.34,20.0,6.0,53.0,729.0,4.43,10.0,1.0,63.0,213.0,13.21,12.0,4.0,63.0,80.0,2.76,6.0,2.0,27.0,149.0,1.5,15.0,4.0,32.0,303.0
11.04,8.0,2.0,54.0,629.0,1.22,6.0,14.0,778.0,14.58,13.0,57.0,507.0,18.26,28.0,7.0,93.0,343.0,3.88,27.0,9.0,42.0,486.0,18.07,5.0,2.0,67.0,712.0,12.11,28.0,0.0,75.0,134.0,7.08,5.0,8.0,27.0,704.0,3.12,14.0,5.0,28.0,312.0,2.03,14.0,4.0,36.0,723.0,1.8,14.0
1.0,28.0,630.0,5.42,11.0,9.0,26.0,1.0,7.8,23.0,5.0,52.0,317.0,8.47,19.0,0.0,48.0,707.0,6.79,16.0,1.0,39.0,548.0,13.6,23.0,6.0,83.0,873.0,13.06,17.0,8.0,59.0,533.0,19.93,6.0,6.0,59.0,478.0,11.3,15.0,8.0,70.0,405.0,6.74,21.0,9.0,47.0,173.0,10.49,28.0
9.0,66.0,126.0,8.83,12.0,3.0,109.0,395.0,7.15,29.0,7.0,60.0,421.0,15.94,24.0,2.0,77.0,553.0,11.26,14.0,2.0,70.0,904.0,11.87,10.0,6.0,43.0,91.0,2.83,14.0,6.0,28.0,940.0,11.74,20.0,1.0,52.0,182.0,2.71,6.0,1.0,20.0,275.0,10.47,14.0,7.0,55.0,896.0,4.5,24.0
0.0,66.0,70.0,19.74,21.0,7.0,71.0,292.0,1.23,18.0,6.0,21.0,132.0,4.83,11.0,1.0,29.0,301.0,1.51,14.0,2.0,32.0,425.0,1.62,9.0,8.0,16.0,327.0,11.31,20.0,0.0,67.0,145.0,6.05,24.0,0.0,48.0,424.0,10.14,20.0,1.0,59.0,581.0,9.45,13.0,0.0,49.0,136.0,6.8,28.0
5.0,55.0,451.0,15.65,27.0,0.0,76.0,165.0,2.26,6.0,3.0,19.0,29.0,12.05,29.0,4.0,61.0,774.0,8.25,24.0,4.0,62.0,194.0,12.85,23.0,0.0,80.0,389.0,15.14,15.0,4.0,71.0,853.0,4.59,19.0,8.0,36.0,170.0,12.02,26.0,0.0,63.0,706.0,19.8,7.0,3.0,88.0,141.0,19.27,14.0
6.0,92.0,174.0,4.92,12.0,0.0,41.0,7.0,1.63,24.0,5.0,38.0,746.0,18.04,8.0,5.0,71.0,479.0,19.4,23.0,9.0,92.0,74.0,16.4,12.0,2.0,70.0,911.0,12.01,5.0,7.0,42.0,814.0,18.46,29.0,1.0,153.0,239.0,13.09,17.0,1.0,69.0,146.0,1.22,14.0,2.0,38.0,793.0,10.36,7.0
8.0,39.0,235.0,4.31,9.0,2.0,35.0,221.0,13.32,26.0,0.0,71.0,924.0,16.1,16.0,6.0,61.0,501.0,14.11,24.0,3.0,93.0,133.0,2.84,28.0,1.0,44.0,991.0,16.09,13.0,6.0,69.0,775.0,16.05,11.0,2.0,89.0,186.0,13.37,17.0,8.0,63.0,42.0,10.16,10.0,1.0,67.0,697.0,6.13,22.0
0.0,48.0,109.0,4.96,10.0,7.0,28.0,589.0,3.0,29.0,1.0,43.0,57.0,2.23,14.0,0.0,41.0,406.0,17.96,26.0,0.0,74.0,443.0,7.8,11.0,7.0,49.0,758.0,10.9,6.0,8.0,47.0,998.0,3.17,17.0,1.0,28.0,25.0,9.39,21.0,9.0,50.0,468.0,17.44,25.0,9.0,89.0,540.0,3.02,23.0
1.0,46.0,532.0,19.99,17.0,1.0,112.0,619.0,16.22,22.0,0.0,102.0,695.0,2.74,18.0,9.0,37.0,927.0,5.74,13.0,9.0,46.0,339.0,9.75,22.0,7.0,50.0,52.0,15.62,23.0,7.0,78.0,508.0,16.54,25.0,7.0,77.0,517.0,7.84,7.0,8.0,36.0,921.0,17.44,23.0,0.0,85.0,782.0,11.08,16.0
6.0,70.0,265.0,17.61,21.0,9.0,79.0,818.0,8.28,29.0,7.0,58.0,711.0,15.32,17.0,6.0,80.0,683.0,3.83,27.0,3.0,49.0,833.0,3.25,29.0,0.0,51.0,519.0,19.75,25.0,1.0,103.0,448.0,15.19,6.0,4.0,53.0,19.0,8.92,25.0,4.0,62.0,716.0,18.63,11.0,5.0,85.0,484.0,12.74,18.0
0.0,67.0,569.0,18.13,21.0,2.0,88.0,434.0,2.47,22.0,6.0,34.0,368.0,18.15,11.0,2.0,89.0,84.0,1.74,8.0,9.0,28.0,62.0,5.79,26.0,6.0,49.0,639.0,5.75,7.0,4.0,37.0,273.0,17.41,20.0,4.0,80.0,286.0,1.2,24.0,7.0,33.0,361.0,8.07,21.0,4.0,48.0,355.0,1.88,24.0
7.0,35.0,457.0,0.72,9.0,2.0,23.0,279.0,14.19,9.0,1.0,57.0,13.0,16.73,9.0,7.0,71.0,183.0,18.53,8.0,8.0,57.0,369.0,4.32,21.0,9.0,34.0,882.0,13.6,9.0,7.0,61.0,616.0,18.46,19.0,9.0,94.0,224.0,7.67,9.0,2.0,31.0,573.0,8.23,17.0,3.0,56.0,971.0,13.44,29.0
0.0,63.0,654.0,15.04,24.0,5.0,60.0,546.0,7.48,21.0,4.0,52.0,583.0,10.11,23.0,2.0,63.0,634.0,10.88,13.0,3.0,52.0,177.0,13.97,14.0,8.0,52.0,666.0,3.48,9.0,1.0,31.0,674.0,10.73,6.0,6.0,35.0,586.0,5.18,9.0,2.0,30.0,874.0,8.47,24.0,0.0,68.0,394.0,15.64,20.0
4.0,141.0,164.0,10.95,9.0,1.0,65.0,249.0,19.29,7.0,8.0,84.0,635.0,2.59,13.0,5.0,28.0,886.0,3.98,19.0,3.0,41.0,670.0,6.06,10.0,8.0,41.0,376.0,6.72,8.0,5.0,31.0,413.0,19.04,27.0,2.0,85.0,75.0,14.28,23.0,5.0,77.0,114.0,16.26,16.0,6.0,70.0,599.0,4.25,5.0
4.0,22.0,962.0,12.26,20.0,2.0,66.0,391.0,19.81,27.0,1.0,74.0,105.0,18.2,27.0,1.0,108.0,115.0,12.85,14.0,8.0,73.0,418.0,6.91,27.0,8.0,91.0,526.0,9.64,10.0,5.0,46.0,458.0,9.64,14.0,6.0,52.0,410.0,2.28,27.0,6.0,44.0,93.0,15.34,18.0,6.0,54.0,931.0,3.22,14.0
8.0,34.0,90.0,9.71,8.0,1.0,49.0,337.0,17.18,13.0,1.0,62.0,989.0,5.3,29.0,3.0,47.0,922.0,10.0,6.0,9.0,47.0,934.0,10.75,8.0,6.0,60.0,606.0,9.49,23.0,6.0,53.0,594.0,7.24,28.0,7.0,57.0,612.0,16.09,21.0,8.0,66.0,95.0,15.53,26.0,6.0,83.0,12.0,19.41,11.0
8.0,62.0,397.0,17.24,17.0,5.0,69.0,534.0,11.33,25.0,3.0,60.0,44.0,18.23,27.0,9.0,86.0,43.0,1.17,16.0,9.0,25.0,330.0,5.33,29.0,1.0,51.0,168.0,4.14,23.0,2.0,41.0,498.0,2.02,28.0,5.0,44.0,877.0,14.46,11.0,9.0,68.0,598.0,3.86,21.0,8.0,34.0,757.0,12.59,13.0
9.0,62.0,101.0,1.11,22.0,8.0,35.0,427.0,9.11,19.0,6.0,42.0,179.0,18.77,24.0,0.0,115.0,445.0,16.35,16.0,6.0,67.0,417.0,6.22,16.0,9.0,29.0,871.0,7.78,25.0,3.0,74.0,883.0,0.88,27.0,2.0,37.0,681.0,16.43,13.0,5.0,56.0,178.0,8.04,27.0,0.0,65.0,396.0,18.65,19.0
2.0,68.0,912.0,5.73,7.0,2.0,30.0,794.0,12.42,28.0,9.0,79.0,961.0,2.11,28.0,5.0,34.0,685.0,18.62,27.0,6.0,75.0,384.0,17.61,19.0,3.0,80.0,957.0,10.62,7.0,2.0,48.0,752.0,18.83,8.0,0.0,68.0,258.0,14.07,16.0,9.0,73.0,539.0,9.29,10.0,9.0,40.0,336.0,1.29,7.0
7.0,15.0,16.0,4.08,7.0,0.0,33.0,325.0,19.12,8.0,0.0,92.0,759.0,17.93,29.0,4.0,85.0,223.0,2.33,6.0,1.0,17.0,180.0,3.18,21.0,3.0,42.0,984.0,1.97,28.0,7.0,43.0,23.0,6.2,7.0,3.0,42.0,357.0,1.02,6.0,8.0,21.0,667.0,5.3,16.0,5.0,32.0,862.0,9.34,10.0
0.0,40.0,341.0,10.09,7.0,0.0,49.0,432.0,15.35,23.0,9.0,80.0,552.0,17.12,26.0,3.0,86.0,834.0,3.94,19.0,3.0,43.0,204.0,18.02,12.0,3.0,77.0,631.0,14.41,8.0,8.0,75.0,94.0,11.44,20.0,2.0,57.0,559.0,15.23,6.0,0.0,52.0,69.0,1.95,16.0,2.0,23.0,623.0,7.72,11.0
36.0,285.0,11.78,26.0,3.0,71.0,845.0,3.4,11.0,6.0,30.0,435.0,2.14,18.0,3.0,34.0,154.0,10.04,12.0,9.0,59.0,76.0,14.72,15.0,8.0,80.0,731.0,3.7,28.0,7.0,45.0,447.0,19.73,8.0,8.0,64.0,189.0,10.83,8.0,9.0,51.0,272.0,16.3,12.0,1.0,100.0,237.0,5.98,14.0,6.0
44.0,488.0,5.98,21.0,2.0,60.0,118.0,4.14,21.0,0.0,46.0,944.0,16.68,9.0,9.0,63.0,513.0,18.69,23.0,9.0,74.0,826.0,18.44,27.0,7.0,80.0,592.0,13.0,22.0,8.0,65.0,127.0,16.45,25.0,3.0,87.0,117.0,16.17,10.0,2.0,116.0,474.0,17.88,29.0,3.0,98.0,694.0,5.23,19.0,4.0
37.0,58.0,4.32,17.0,4.0,36.0,864.0,9.09,6.0,7.0,43.0,913.0,12.67,7.0,3.0,43.0,370.0,1.85,10.0,1.0,24.0,269.0,7.51,27.0,6.0,50.0,47.0,6.58,13.0,1.0,34.0,350.0,12.7,22.0,2.0,57.0,196.0,7.31,26.0,2.0,65.0,1000.0,9.2,9.0,9.0,48.0,835.0,10.22,21.0,0.0
61.0,737.0,8.15,12.0,9.0,43.0,264.0,10.61,17.0,0.0,59.0,444.0,7.73,29.0,5.0,58.0,676.0,19.66,19.0,6.0,70.0,305.0,14.66,5.0,6.0,71.0,342.0,9.73,29.0,6.0,60.0,967.0,14.52,26.0,5.0,86.0,150.0,5.93,27.0,1.0,106.0,125.0,4.94,28.0,4.0,63.0,787.0,11.88,29.0,9.0
78.0,51.0,19.41,7.0,6.0,66.0,354.0,3.68,16.0,6.0,47.0,928.0,11.06,6.0,9.0,53.0,143.0,10.2,18.0,9.0,56.0,471.0,0.74,13.0,4.0,21.0,400.0,15.21,20.0,9.0,90.0,626.0,7.69,16.0,3.0,58.0,321.0,11.21,23.0,1.0,76.0,20.0,6.18,9.0,9.0,35.0,810.0,2.71,6.0,5.0
19.0,791.0,3.49,17.0,2.0,38.0,809.0,9.29,17.0,2.0,49.0,408.0,0.71,29.0,1.0,41.0,538.0,5.32,27.0,2.0,48.0,621.0,4.1,18.0,3.0,38.0,39.0,13.84,18.0,64.0,176.0,3.9,25.0,9.0,54.0,246.0,18.6,28.0,9.0,77.0,829.0,14.88,10.0,0.0,64.0,668.0,3.63,22.0,9.0,39.0
755.0,3.22,7.0,7.0,27.0,859.0,11.51,5.0,7.0,57.0,155.0,19.72,27.0,6.0,109.0,288.0,11.08,28.0,2.0,58.0,603.0,3.95,28.0,5.0,47.0,570.0,7.29,11.0,7.0,48.0,744.0,10.3,12.0,7.0,41.0,18.0,10.73,27.0,6.0,83.0,128.0,17.28,28.0,3.0,72.0,323.0,13.37,16.0,9.0,71.0
256.0,11.36,8.0,2.0,52.0,658.0,7.58,19.0,9.0,57.0,965.0,6.13,25.0,6.0,59.0,191.0,2.32,23.0,1.0,32.0,116.0,17.49,27.0,9.0,97.0,617.0,1.69,11.0,7.0,20.0,607.0,4.52,17.0,0.0,71.0,181.0,7.15,15.0,3.0,42.0,302.0,10.86,10.0,4.0,60.0,760.0,15.88,17.0,1.0,68.0
713.0,9.7,6.0,45.0,724.0,14.95,13.0,7.0,49.0,686.0,11.36,6.0,4.0,47.0,980.0,12.14,12.0,0.0,65.0,518.0,16.31,14.0,7.0,71.0,985.0,14.7,24.0,5.0,75.0,46.0,13.42,6.0,6.0,105.0,910.0,7.9,22.0,48.0,158.0,15.35,5.0,3.0,56.0,852.0,15.12,14.0,1.0,58.0,172.0,0.82
18.0,9.0,23.0,17.0,6.43,9.0,7.0,26.0,512.0,8.66,29.0,3.0,77.0,49.0,11.16,21.0,4.0,77.0,972.0,18.77,15.0,71.0,941.0,5.84,21.0,7.0,35.0,516.0,1.01,17.0,7.0,29.0,953.0,3.92,20.0,9.0,41.0,481.0,12.77,22.0,8.0,71.0,284.0,2.33,9.0,2.0,18.0,719.0,2.92,24.0
4.0,48.0,878.0,13.35,14.0,4.0,91.0,226.0,5.26,28.0,8.0,51.0,27.0,4.39,12.0,8.0,38.0,955.0,8.67,20.0,4.0,55.0,438.0,16.53,24.0,9.0,99.0,952.0,13.47,19.0,4.0,59.0,365.0,18.86,18.0,1.0,89.0,230.0,12.81,12.0,2.0,51.0,38.0,2.4,27.0,5.0,42.0,966.0,7.44,6.0
1.0,39.0,375.0,1.89,13.0,7.0,22.0,470.0,19.28,21.0,3.0,101.0,968.0,6.29,10.0,7.0,27.0,851.0,1.81,23.0,3.0,34.0,705.0,1.74,23.0,2.0,34.0,842.0,13.44,22.0,1.0,79.0,195.0,7.11,27.0,48.0,855.0,4.5,20.0,6.0,32.0,865.0,8.31,6.0,5.0,44.0,504.0,16.37,26.0,7.0
