index,Afghanistan,Aland Islands,Albania,Alderney,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua And Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia And Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Cook Islands,Costa Rica
55.62,61.12,59.21,0.0,75.37,58.15,49.31,34.44,50.71,45.53,68.82,67.71,62.28,41.67,44.21,63.52,68.53,68.44,0.0,0.0,64.29,64.66,59.3,50.35,57.13,75.47,25.69,78.5,0.0,36.57,58.26,75.39,47.32,51.67,42.59,55.56,75.93,61.11,53.46,0.0,65.08,48.18,77.57,77.78,55.56,96.3,38.89,31.48,66.67,56.34
71.97,57.38,67.13,58.2,51.39,65.28,93.06,36.19,67.33,61.11,100.0,51.39,37.65,32.72,37.83,66.06,54.07,67.63,65.43,60.84,52.62,45.9,51.38,72.61,73.34,65.13,44.44,51.52,79.81,53.94,65.23,60.65,61.54,55.56,68.47,57.93,57.62,34.44,62.4,63.69,55.56,38.89,45.45,70.37,74.95,75.24,51.0,39.32,37.5,70.37
45.94,18.52,52.12,0.0,75.0,46.76,65.18,72.39,53.47,52.12,75.0,51.63,41.05,0.0,46.87,41.15,48.6,65.07,0.0,57.7,79.47,54.17,68.61,61.57,30.56,48.17,0.0,34.13,55.12,44.44,75.65,65.11,59.38,0.0,52.36,60.66,23.86,64.52,56.28,67.2,57.92,72.42,58.5,73.45,68.52,71.3,56.51,61.41,72.87,69.44
50.0,49.9,31.94,0.0,55.56,83.33,86.11,61.71,48.38,51.96,63.19,31.25,71.9,56.48,58.6,66.26,45.14,40.49,63.83,82.78,23.61,77.26,71.36,46.78,42.62,68.43,71.5,37.11,86.5,61.9,42.14,77.36,52.69,54.17,62.27,54.09,57.17,71.22,49.83,54.63,100.0,50.05,55.74,70.63,72.92,67.86,68.57,45.37,61.82,40.51
100.0,38.69,61.32,0.0,0.0,25.31,54.44,44.8,0.0,0.0,86.43,0.0,94.82,0.0,0.0,0.0,0.0,0.0,98.28,63.42,0.0,93.8,77.4,91.4,0.0,64.31,71.29,0.0,64.37,86.03,0.0,0.0,0.0,0.0,0.0,0.0,80.48,88.87,94.31,0.0,0.0,82.76,0.0,0.0,59.43,0.0,55.41,0.0,0.0,0.0
0.0,90.21,79.61,96.69,0.0,0.0,99.48,89.23,0.0,0.0,90.87,79.1,0.0,82.47,0.0,0.0,67.82,94.51,91.98,86.6,0.0,0.0,64.28,0.0,96.82,0.0,0.0,71.89,58.87,89.71,0.0,0.0,0.0,0.0,0.0,88.53,83.3,67.03,0.0,91.79,0.0,0.0,0.0,0.0,99.89,0.0,0.0,0.0,0.0,0.0
0.0,83.64,78.74,68.81,64.1,63.76,70.99,46.98,87.83,0.0,93.78,90.78,0.0,71.58,85.26,0.0,89.05,39.78,99.79,0.0,76.84,20.22,58.11,0.0,74.7,94.74,0.0,0.0,96.54,0.0,67.76,82.62,81.7,0.0,0.0,56.55,0.0,0.0,97.44,0.0,0.0,0.0,0.0,87.51,0.0,76.91,0.0,-3.54,89.02,0.0
86.09,0.0,0.0,0.0,0.0,92.64,87.42,0.0,95.46,0.0,0.0,60.75,0.0,0.0,76.3,0.0,68.5,67.22,71.93,0.0,0.0,67.84,0.0,92.24,97.69,61.23,75.9,97.31,0.0,36.03,0.0,0.0,77.0,43.6,99.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.98,0.0,83.23,0.0,0.0,57.45,0.0
80.72,76.11,0.0,0.0,95.25,68.39,0.0,94.04,59.11,0.0,0.0,76.49,79.24,0.0,84.38,0.0,71.28,69.76,0.0,0.0,0.0,67.55,93.24,93.26,0.0,0.0,0.0,98.41,70.69,45.84,87.41,79.14,98.04,0.0,69.79,0.0,0.0,0.0,71.24,0.0,0.0,0.0,0.0,96.76,21.08,53.44,40.85,0.0,25.31,0.0
48.09,42.57,0.0,0.0,32.65,41.84,79.42,64.5,62.22,30.26,81.3,48.79,20.76,70.6,25.11,57.41,0.0,0.0,124.77,24.92,25.28,0.0,32.01,40.05,27.14,0.0,46.73,35.86,0.0,0.0,34.38,37.61,60.55,38.51,108.7,0.0,46.23,36.29,31.23,25.48,35.91,0.0,50.18,43.23,41.1,0.0,50.99,43.65,50.85,68.9
76.83,50.36,34.75,30.28,19.46,38.13,51.87,53.58,50.4,24.22,43.89,0.0,0.0,33.42,60.04,59.48,0.0,0.0,0.0,48.7,27.72,32.0,59.56,30.49,59.05,47.78,83.09,75.44,57.98,0.0,36.67,66.48,0.0,39.6,44.46,51.39,34.39,74.59,37.72,81.71,19.93,25.31,24.03,26.81,60.85,62.41,63.19,52.12,39.62,49.56
46.99,77.04,37.64,28.08,28.23,55.26,26.04,40.82,25.72,32.57,44.96,38.99,0.0,64.1,18.72,94.03,44.73,63.72,57.26,21.27,35.35,29.82,45.85,0.0,48.99,0.0,60.67,41.43,34.6,35.0,56.24,31.44,137.37,30.68,37.37,0.0,27.76,39.14,35.88,30.18,0.0,23.48,61.41,73.43,59.36,31.13,132.99,27.29,0.0,33.59
30.57,0.0,71.27,39.3,17.9,0.0,38.29,43.83,69.3,23.19,29.43,28.77,39.35,41.72,59.23,48.27,54.46,52.71,34.66,25.25,37.05,0.0,0.0,0.0,60.33,0.0,0.0,0.0,0.0,42.06,40.61,36.18,59.88,0.0,79.72,65.56,43.24,47.58,101.05,40.56,31.3,59.94,0.0,44.41,33.96,0.0,39.75,54.84,101.18,23.8
44.79,24.6,25.31,33.88,45.57,31.91,50.8,49.01,25.71,35.37,0.0,0.0,0.0,47.97,24.38,53.8,59.67,65.69,47.39,99.27,24.4,0.0,0.0,35.85,26.85,0.0,0.0,48.66,36.74,35.36,7.8,5.33,14.88,0.0,21.7,0.0,9.03,8.01,1.84,0.0,20.05,20.95,5.32,8.25,11.76,15.24,5.32,4.9,12.26,14.67
12.79,6.82,6.06,0.0,6.85,14.07,12.54,0.0,13.12,118.01,15.4,0.0,6.97,9.22,1.25,20.67,26.77,46.06,10.47,17.12,8.64,8.5,2.69,16.03,28.6,17.98,11.15,0.0,9.63,12.45,48.0,0.0,8.06,13.17,37.22,6.36,12.41,0.64,16.89,12.0,17.85,16.0,7.15,4.41,11.27,2.8200000000000003,49.87,0.0,8.75,6.51
8.16,10.55,8.04,29.58,0.0,69.71,103.29,12.21,9.12,81.28,16.0,12.72,4.75,175.23,9.65,0.0,11.44,9.66,0.68,7.13,19.72,5.5,6.36,29.83,13.22,6.39,11.26,16.65,20.05,8.17,6.58,3.63,13.98,9.47,41.78,20.19,12.29,13.33,6.77,10.27,18.77,0.0,13.85,6.69,12.89,12.67,8.38,16.26,3.11,25.57
7.62,5.07,12.25,8.48,21.1,22.4,81.6,8.5,11.61,100.71,11.14,0.0,6.62,14.99,8.59,11.61,14.77,12.92,39.84,16.08,12.92,0.0,13.42,50.55,17.19,3.55,0.0,33.09,7.63,8.43,8.63,18.98,25.59,0.0,30.31,12.24,36.43,8.38,2.81,14.3,23.2,6.71,11.68,450.4,15.68,18.58,22.2,11.03,13.97,4.21
5.06,35.01,7.95,10.16,14.84,446.83,0.0,20.27,0.85,4.66,0.0,205.03,5.34,0.0,3.09,24.07,16.78,4.66,3.23,20.4,6.92,14.2,13.09,360.1,3.21,21.06,2.08,8.28,39.94,24.64,3.18,7.45,10.94,118.65,20.89,16.11,134.04,25.31,4.13,7.42,2.44,14.18,13.06,11.05,25.99,0.0,0.55,13.88,6.77,8.75
3.54,12.28,11.78,13.08,29.88,0.0,17.49,24.77,0.0,12.75,15.98,72.42,17.35,56.17,19.05,36.74,5.0,45.09,100.0,13.33,65.43,0.0,35.0,44.07,29.31,46.33,37.48,23.77,40.63,27.69,30.74,57.57,36.67,31.2,35.19,12.75,26.0,35.7,2.95,39.94,0.0,26.15,28.53,40.63,0.0,27.3,29.05,50.0,33.0,28.0
46.0,33.53,15.33,18.89,5.0,6.0,36.04,38.9,47.15,0.0,0.0,59.99,25.79,47.89,17.5,23.59,29.12,75.0,27.93,42.67,0.0,40.69,37.68,48.1,40.39,20.5,0.0,21.57,31.0,63.36,40.0,0.0,40.93,25.56,34.72,27.5,30.0,16.0,16.35,65.0,38.63,29.82,39.67,16.2,33.53,34.59,40.0,0.0,30.0,50.58
16.25,0.0,20.0,52.0,80.67,19.7,41.81,35.68,21.35,46.54,43.11,46.92,37.05,37.76,11.25,36.61,32.36,43.5,44.5,40.33,27.0,39.38,35.62,50.59,47.9,24.06,35.32,37.7,22.4,28.7,38.75,51.0,30.0,27.36,0.0,23.36,27.04,16.73,31.75,20.34,37.17,19.4,0.0,28.33,0.0,0.0,0.0,51.17,39.29,17.17
27.75,22.5,31.42,16.89,0.0,35.16,30.0,49.09,26.18,0.0,33.45,23.14,32.5,32.56,53.83,20.0,65.31,0.0,16.65,24.91,0.0,26.67,20.54,38.01,0.0,48.5,35.24,44.56,42.83,49.78,41.29,31.79,28.65,33.69,29.01,0.0,0.0,33.36,43.35,15.67,15.0,15.0,7.0,10.0,0.0,0.0,10.0,0.0,29.87,25.0
30.72,29.33,0.0,40.87,0.0,27.41,25.39,36.67,29.0,38.61,40.32,0.0,26.76,54.52,38.33,28.88,28.72,33.28,34.9,32.81,27.0,27.79,38.71,25.0,7.0,0.0,56.88,34.39,43.81,17.29,0.0,0.0,44.5,37.92,35.77,34.74,32.91,39.52,15.0,34.3,15.0,0.0,32.8,29.62,0.0,0.0,15.0,38.86,27.79,84.44
18.05,77.25,1.72,63.87,78.45,22.98,92.07,0.0,43.1,50.81,62.55,35.7,26.8,20.73,72.69,61.34,71.57,85.31,24.39,44.94,49.45,52.8,97.41,14.95,48.82,71.92,0.0,59.68,46.09,52.84,68.1,35.49,62.94,0.0,87.84,77.77,93.71,29.8,81.03,23.96,84.83,60.56,77.51,77.3,62.47,0.0,8.62,42.39,31.1,65.82
55.46,54.99,34.78,83.22,20.75,64.6,20.69,72.8,59.05,82.67,75.37,59.85,15.52,17.02,32.07,73.24,3.45,4.91,53.44,11.83,43.56,37.3,52.3,37.7,76.47,61.67,67.54,28.81,86.91,61.64,50.07,77.11,49.18,75.86,51.83,73.47,11.49,106.67,0.0,60.09,94.3,75.52,66.86,46.57,15.84,72.89,67.99,75.24,71.53,34.79
18.12,56.84,53.67,94.87,66.31,38.55,26.72,77.1,73.16,69.04,106.9,67.84,69.37,70.38,78.51,30.4,89.41,58.62,91.76,53.02,6.47,26.14,23.27,67.58,86.87,64.16,61.14,74.55,85.52,75.5,85.63,62.59,78.97,54.8,58.46,71.26,61.33,78.2,87.82,43.7,0.0,68.66,71.57,89.79,40.72,101.72,83.87,21.14,59.31,26.0
60.78,63.79,87.91,46.55,72.41,79.59,33.33,18.32,34.71,73.31,14.37,65.03,55.63,78.81,66.16,82.19,72.38,55.51,28.8,47.86,60.0,77.59,32.67,58.61,59.13,39.22,15.52,36.21,46.22,0.0,55.17,39.94,15.36,68.97,62.46,95.87,65.62,36.71,106.03,32.61,79.48,37.3,22.25,79.55,63.41,56.56,60.93,56.47,35.7,57.94
67.55,51.15,17.66,23.06,74.88,64.31,54.02,62.48,75.65,60.35,82.5,0.0,67.14,70.08,64.29,38.15,32.76,0.0,84.05,62.16,47.98,40.47,36.61,43.49,15.27,53.07,40.14,46.32,75.3,84.19,0.0,0.0,83.17,80.9,78.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.15,125.01,42.82,0.0,27.6,0.0,121.14,224.46,0.0,0.0,40.36,36.91,71.46,137.58,109.08,41.75,58.59,114.56,36.16,46.93,56.24,118.62,0.0,0.0,108.79,74.38,43.04,0.0,63.66,64.6,42.13,0.0,119.26,77.66,0.0,0.0,26.95,10.02,111.31,18.09,123.25,0.0,20.21
51.47,78.42,36.19,41.96,0.0,50.9,83.85,2.55,0.0,84.66,90.3,25.51,134.75,165.89,32.92,31.82,45.93,21.15,33.72,30.87,58.05,83.91,64.57,13.59,0.0,0.0,57.77,126.13,111.7,0.0,0.0,0.0,20.07,7.25,40.6,130.01,17.4,103.02,59.69,139.14,31.88,120.6,0.0,40.26,142.95,0.0,76.11,35.0,77.7,43.68
108.13,70.34,126.81,86.09,33.47,29.9,55.15,112.53,140.64,108.83,87.2,12.91,36.87,120.74,104.07,52.44,51.89,35.6,281.83,53.0,176.8,35.11,32.51,76.15,34.84,0.0,33.34,50.47,178.83,80.43,195.55,106.51,16.75,29.25,86.32,52.96,0.0,78.04,0.0,94.35,56.0,49.7,48.48,14.28,47.77,88.24,31.73,57.92,0.0,42.23
18.54,19.87,68.25,0.0,28.36,134.19,99.69,123.9,25.14,7.04,11.37,0.0,18.89,59.26,0.0,122.3,160.38,30.57,0.0,49.62,44.91,13.71,41.24,39.16,37.95,93.75,62.54,112.17,184.27,20.45,96.1,73.36,55.66,20.5,0.0,0.0,0.0,46.16,0.0,0.0,0.0,0.0,147.37,21.72,58.05,34.19,0.0,108.8,46.37,75.25
85.89,10.77,28.41,123.08,107.47,0.0,101.41,17.98,0.0,19.73,134.51,165.31,5.22,101.65,23.92,23.52,46.07,259.09,50.92,0.0,45.35,33.55,52.08,0.0,0.0,0.0,10.33,47.67,132.31,125.05,153.02,57.92,74.23,44.66,0.0,0.0,15.11,44.49,0.0,0.0,20.74,22.32,28.76,25.33,71.81,55.52,83.79,47.54,54.41,84.71
33.71,75.44,42.86,36.36,77.81,69.23,52.71,70.38,68.12,43.76,75.28,38.79,55.14,49.99,50.42,47.47,62.16,63.7,70.45,35.0,62.95,58.3,47.3,35.36,59.31,70.7,63.73,61.16,43.44,48.19,34.53,54.34,49.87,69.25,15.89,32.16,39.55,75.82,39.14,52.94,69.08,46.04,74.54,66.02,46.19,66.9,73.64,36.16,73.81,42.74
46.42,39.4,37.57,52.64,40.58,52.16,72.86,76.37,56.45,49.1,55.64,83.57,43.44,73.57,44.56,36.87,79.04,53.68,39.86,40.88,73.9,60.77,54.65,79.77,53.44,62.16,75.07,72.18,36.34,41.92,76.14,39.95,48.18,33.65,21.41,27.75,78.49,66.28,74.26,55.67,54.11,49.67,57.47,52.53,79.57,68.25,53.03,43.57,32.61,77.07
74.32,59.78,54.62,44.24,81.86,59.2,67.19,46.17,63.72,62.8,53.16,32.75,19.13,44.23,87.84,67.72,64.68,79.52,35.59,43.89,51.03,45.91,52.92,57.09,72.55,37.14,61.51,52.71,46.47,55.87,55.52,76.38,47.53,64.59,93.38,52.34,38.05,49.14,36.45,49.05,63.5,73.36,36.91,51.87,49.25,33.38,33.51,0.0,46.53,59.17
64.03,67.05,81.94,56.31,73.24,57.24,57.32,19.89,39.84,32.77,56.92,70.99,68.17,38.52,84.05,45.71,53.09,67.82,61.3,72.81,92.65,59.98,39.08,62.22,100.0,57.94,80.65,82.56,76.23,49.82,62.75,55.01,42.9,72.48,68.09,69.2,76.17,36.13,35.86,25.36,75.36,18.57,63.51,57.9,54.5,47.12,51.74,73.69,31.5,82.89
55.6,46.46,62.49,57.93,54.84,39.02,29.01,55.23,58.74,51.24,51.12,81.52,45.88,53.13,84.43,51.88,50.74,48.2,40.06,71.97,58.35,46.18,19.26,59.0,0.0,62.87,34.07,54.39,39.31,24.24,79.72,48.21,100.0,54.43,0.0,75.56,36.58,77.08,30.56,68.0,58.07,78.7,73.35,77.83,48.31,39.52,66.6,42.2,71.88,48.5
75.76,47.37,51.39,70.61,73.28,45.98,0.0,55.62,61.12,59.21,0.0,75.37,58.15,49.31,34.44,50.71,45.53,68.82,67.71,62.28,41.67,44.21,63.52,68.53,68.44,0.0,0.0,64.29,64.66,59.3,50.35,57.13,75.47,25.69,78.5,0.0,36.57,58.26,75.39,47.32,51.67,42.59,55.56,75.93,61.11,53.46,0.0,65.08,48.18,77.57
77.78,55.56,96.3,38.89,31.48,66.67,56.34,71.97,57.38,67.13,58.2,51.39,65.28,93.06,36.19,67.33,61.11,100.0,51.39,37.65,32.72,37.83,66.06,54.07,67.63,65.43,60.84,52.62,45.9,51.38,72.61,73.34,65.13,44.44,51.52,79.81,53.94,65.23,60.65,61.54,55.56,68.47,57.93,57.62,34.44,62.4,63.69,55.56,38.89,45.45
70.37,74.95,75.24,51.0,39.32,37.5,70.37,45.94,18.52,52.12,0.0,75.0,46.76,65.18,72.39,53.47,52.12,75.0,51.63,41.05,0.0,46.87,41.15,48.6,65.07,0.0,57.7,79.47,54.17,68.61,61.57,30.56,48.17,0.0,34.13,55.12,44.44,75.65,65.11,59.38,0.0,52.36,60.66,23.86,64.52,56.28,67.2,57.92,72.42,58.5
73.45,68.52,71.3,56.51,61.41,72.87,69.44,50.0,49.9,31.94,0.0,55.56,83.33,86.11,61.71,48.38,51.96,63.19,31.25,71.9,56.48,58.6,66.26,45.14,40.49,63.83,82.78,23.61,77.26,71.36,46.78,42.62,68.43,71.5,37.11,86.5,61.9,42.14,77.36,52.69,54.17,62.27,54.09,57.17,71.22,49.83,54.63,100.0,50.05,55.74
70.63,72.92,67.86,68.57,45.37,61.82,40.51,100.0,38.69,61.32,0.0,0.0,25.31,54.44,44.8,0.0,0.0,86.43,0.0,94.82,0.0,0.0,0.0,0.0,0.0,98.28,63.42,0.0,93.8,77.4,91.4,0.0,64.31,71.29,0.0,64.37,86.03,0.0,0.0,0.0,0.0,0.0,0.0,80.48,88.87,94.31,0.0,0.0,82.76,0.0
0.0,59.43,0.0,55.41,0.0,0.0,0.0,0.0,90.21,79.61,96.69,0.0,0.0,99.48,89.23,0.0,0.0,90.87,79.1,0.0,82.47,0.0,0.0,67.82,94.51,91.98,86.6,0.0,0.0,64.28,0.0,96.82,0.0,0.0,71.89,58.87,89.71,0.0,0.0,0.0,0.0,0.0,88.53,83.3,67.03,0.0,91.79,0.0,0.0,0.0
0.0,99.89,0.0,0.0,0.0,0.0,0.0,0.0,83.64,78.74,68.81,64.1,63.76,70.99,46.98,87.83,0.0,93.78,90.78,0.0,71.58,85.26,0.0,89.05,39.78,99.79,0.0,76.84,20.22,58.11,0.0,74.7,94.74,0.0,0.0,96.54,0.0,67.76,82.62,81.7,0.0,0.0,56.55,0.0,0.0,97.44,0.0,0.0,0.0,0.0
87.51,0.0,76.91,0.0,-3.54,89.02,0.0,86.09,0.0,0.0,0.0,0.0,92.64,87.42,0.0,95.46,0.0,0.0,60.75,0.0,0.0,76.3,0.0,68.5,67.22,71.93,0.0,0.0,67.84,0.0,92.24,97.69,61.23,75.9,97.31,0.0,36.03,0.0,0.0,77.0,43.6,99.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.98,0.0,83.23,0.0,0.0,57.45,0.0,80.72,76.11,0.0,0.0,95.25,68.39,0.0,94.04,59.11,0.0,0.0,76.49,79.24,0.0,84.38,0.0,71.28,69.76,0.0,0.0,0.0,67.55,93.24,93.26,0.0,0.0,0.0,98.41,70.69,45.84,87.41,79.14,98.04,0.0,69.79,0.0,0.0,0.0,71.24,0.0,0.0,0.0,0.0
96.76,21.08,53.44,40.85,0.0,25.31,0.0,48.09,42.57,0.0,0.0,32.65,41.84,79.42,64.5,62.22,30.26,81.3,48.79,20.76,70.6,25.11,57.41,0.0,0.0,124.77,24.92,25.28,0.0,32.01,40.05,27.14,0.0,46.73,35.86,0.0,0.0,34.38,37.61,60.55,38.51,108.7,0.0,46.23,36.29,31.23,25.48,35.91,0.0,50.18
43.23,41.1,0.0,50.99,43.65,50.85,68.9,76.83,50.36,34.75,30.28,19.46,38.13,51.87,53.58,50.4,24.22,43.89,0.0,0.0,33.42,60.04,59.48,0.0,0.0,0.0,48.7,27.72,32.0,59.56,30.49,59.05,47.78,83.09,75.44,57.98,0.0,36.67,66.48,0.0,39.6,44.46,51.39,34.39,74.59,37.72,81.71,19.93,25.31,24.03
26.81,60.85,62.41,63.19,52.12,39.62,49.56,46.99,77.04,37.64,28.08,28.23,55.26,26.04,40.82,25.72,32.57,44.96,38.99,0.0,64.1,18.72,94.03,44.73,63.72,57.26,21.27,35.35,29.82,45.85,0.0,48.99,0.0,60.67,41.43,34.6,35.0,56.24,31.44,137.37,30.68,37.37,0.0,27.76,39.14,35.88,30.18,0.0,23.48,61.41
73.43,59.36,31.13,132.99,27.29,0.0,33.59,30.57,0.0,71.27,39.3,17.9,0.0,38.29,43.83,69.3,23.19,29.43,28.77,39.35,41.72,59.23,48.27,54.46,52.71,34.66,25.25,37.05,0.0,0.0,0.0,60.33,0.0,0.0,0.0,0.0,42.06,40.61,36.18,59.88,0.0,79.72,65.56,43.24,47.58,101.05,40.56,31.3,59.94,0.0
44.41,33.96,0.0,39.75,54.84,101.18,23.8,44.79,24.6,25.31,33.88,45.57,31.91,50.8,49.01,25.71,35.37,0.0,0.0,0.0,47.97,24.38,53.8,59.67,65.69,47.39,99.27,24.4,0.0,0.0,35.85,26.85,0.0,0.0,48.66,36.74,35.36,7.8,5.33,14.88,0.0,21.7,0.0,9.03,8.01,1.84,0.0,20.05,20.95,5.32
8.25,11.76,15.24,5.32,4.9,12.26,14.67,12.79,6.82,6.06,0.0,6.85,14.07,12.54,0.0,13.12,118.01,15.4,0.0,6.97,9.22,1.25,20.67,26.77,46.06,10.47,17.12,8.64,8.5,2.69,16.03,28.6,17.98,11.15,0.0,9.63,12.45,48.0,0.0,8.06,13.17,37.22,6.36,12.41,0.64,16.89,12.0,17.85,16.0,7.15
4.41,11.27,2.8200000000000003,49.87,0.0,8.75,6.51,8.16,10.55,8.04,29.58,0.0,69.71,103.29,12.21,9.12,81.28,16.0,12.72,4.75,175.23,9.65,0.0,11.44,9.66,0.68,7.13,19.72,5.5,6.36,29.83,13.22,6.39,11.26,16.65,20.05,8.17,6.58,3.63,13.98,9.47,41.78,20.19,12.29,13.33,6.77,10.27,18.77,0.0,13.85
6.69,12.89,12.67,8.38,16.26,3.11,25.57,7.62,5.07,12.25,8.48,21.1,22.4,81.6,8.5,11.61,100.71,11.14,0.0,6.62,14.99,8.59,11.61,14.77,12.92,39.84,16.08,12.92,0.0,13.42,50.55,17.19,3.55,0.0,33.09,7.63,8.43,8.63,18.98,25.59,0.0,30.31,12.24,36.43,8.38,2.81,14.3,23.2,6.71,11.68
