ï»¿Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Rounds,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.
1.0,12.0,0.0,-4.0,0.0,-1.0,-2.0,0.0,0.0,-2.583333333,0.0,1.0,2.0,-1.0,-3.0,4.0,1.0,-2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.583333333,1.0,0.0,5.0,5.0,3.0,0.0,10.0,-3.0,3.0,4.0,3.0,8.0,-1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.733333333,9.0,0.0,50.0,-4.0
47.0,1.0,2.0,2.0,0.0,48.0,0.0,1.0,0.0,1.0,-1.0,3.683333333,20.0,4.0,-14.0,5.0,-3.0,2.0,-13.0,-1.0,2.0,-15.0,-1.0,-2.0,3.0,0.0,0.0,-1.416666667,-28.0,10.0,15.0,8.0,12.0,3.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,-0.133333333,54.0,2.0,2.0,3.0,4.0,-1.0
-1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.833333333,1.0,0.0,5.0,5.0,-1.0,0.0,9.0,-10.0,4.0,2.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,0.0,0.0,-17.0,3.0,-16.0,-2.0,1.0,-18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.116666667,8.0,2.0,0.0,-3.0
-4.0,-1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.05,0.0,2.0,12.0,-8.0,6.0,4.0,2.0,14.0,-2.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.166666667,-11.0,-3.0,-8.0,12.0,-7.0,-2.0,1.0,-9.0,1.0,0.0,0.0,2.0,5.0,0.0,-1.0,0.1,0.0,1.0,5.0,5.0,-1.0,1.0
-7.0,8.0,-11.0,1.0,3.0,-4.0,-3.0,0.0,0.0,-1.0,0.0,1.0,0.0,-0.316666667,1.0,-1.0,-6.0,22.0,-7.0,0.0,1.0,-7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.033333333,0.0,1.0,-5.0,3.0,-9.0,3.0,1.0,-8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.083333333,-1.0,-1.0,10.0,3.0
4.0,6.0,0.0,11.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.35,-4.0,1.0,-15.0,14.0,-18.0,-2.0,5.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.0,5.0,5.0,2.0,-7.0,-7.0,20.0,2.0,-14.0,5.0,-2.0,-5.0,0.0,0.0,2.0,1.0,0.0,-1.0,-1.616666667,-17.0,-1.0
-4.0,14.0,-5.0,-3.0,4.0,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,12.0,6.0,-1.0,15.0,-1.0,-4.0,4.0,-2.0,-2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.933333333,18.0,8.0,-14.0,-32.0,-8.0,-7.0,1.0,-13.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,32.0
-1.0,-3.0,3.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,18.0,-3.0,6.0,9.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,29.0,11.0,-5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,-14.0,14.0,9.0,-5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,-5.0,-6.0,-2.0,-5.0,2.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,8.0,33.0,12.0,-5.0,41.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0
0.0,0.0,3.0,-23.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,4.0,-46.0,6.0,-3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.616666667,-1.0,-1.0,-8.0,-40.0,-6.0,-4.0,2.0,-9.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.45,-7.0,0.0
0.0,4.0,-8.0,3.0,5.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.833333333,-9.0,-6.0,-12.0,-74.0,-19.0,4.0,3.0,-15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.0,0.0,5.0,5.0,0.0,0.0,-8.0,-12.0,-8.0,-1.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0,-19.0,0.0,-8.0,5.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.116666667,6.0,2.0,17.0,-13.0,13.0,0.0,4.0,13.0,4.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-11.0,-19.0,17.0,7.0,7.0,2.0,8.0,21.0,1.0,-5.0,0.0,-1.0,0.0,0.0,0.0,-3.016666667,34.0,21.0
12.0,0.0,11.0,-1.0,2.0,7.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.016666667,0.0,1.0,5.0,5.0,-18.0,-14.0,-43.0,1.0,-34.0,-6.0,-3.0,-11.0,-4.0,-28.0,-1.0,0.0,1.0,-1.0,0.0,0.3,7.0,7.0,-4.0,12.0,0.0,-3.0,-1.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55
1.0,2.0,-12.0,8.0,-5.0,-6.0,-1.0,-8.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766666667,4.0,1.0,-1.0,3.0,1.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,-3.0,0.0,1.0,1.383333333,-4.0,0.0,-11.0,7.0,-11.0,-2.0,2.0,-5.0,-3.0,-3.0,0.0,0.0,3.0,0.0,0.0,-0.4,0.0,1.0
5.0,5.0,4.0,0.0,16.0,8.0,20.0,-1.0,-3.0,16.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-0.466666667,4.0,0.0,-4.0,6.0,9.0,-8.0,-5.0,-3.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.366666667,0.0,-1.0,2.0,1.0,16.0,-8.0,-6.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,-20.0,6.0,-16.0,-3.0,-1.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-5.0,21.0,-2.0,-1.0,18.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,6.0,2.0,-7.0,7.0,-4.0,0.0,-3.0,2.0,-8.0,-1.0,0.0,-2.0,2.0,0.0
0.0,-3.066666667,5.0,-2.0,13.0,9.0,22.0,-6.0,-3.0,16.0,-2.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-1.7,22.0,0.0,10.0,13.0,7.0,3.0,0.0,5.0,1.0,4.0,0.0,1.0,-2.0,-1.0,0.0,0.95,15.0,-4.0,-5.0,-3.0,2.0,2.0,-9.0,-3.0,-2.0,0.0,0.0,0.0,0.0,-2.0,1.0,-1.033333333
26.0,6.0,27.0,11.0,15.0,5.0,7.0,2.0,7.0,18.0,0.0,0.0,-2.0,2.0,0.0,4.216666667,1.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,5.0,-14.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-5.0,0.0,5.0,-14.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.266666667,-7.0,0.0,8.0,9.0,0.0,5.0,3.0,9.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-0.783333333,-46.0,-3.0,2.0,-1.0,3.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.083333333
1.0,0.0,5.0,5.0,-25.0,-4.0,14.0,-4.0,-2.0,9.0,7.0,10.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.816666667,-54.0,-5.0,-2.0,1.0,-4.0,1.0,1.0,-2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.733333333,-33.0,5.0,-7.0,-13.0,-16.0,4.0,5.0,-5.0,0.0,-2.0,0.0,2.0,2.0,0.0
-1.0,2.116666667,-7.0,1.0,-41.0,-32.0,-30.0,-2.0,-9.0,-34.0,0.0,-7.0,0.0,-1.0,1.0,1.0,0.0,1.633333333,-7.0,-2.0,-14.0,-10.0,-24.0,1.0,9.0,-19.0,-2.0,7.0,0.0,2.0,0.0,0.0,0.0,2.566666667,1.0,0.0,5.0,5.0,0.0,0.0,-12.0,-3.0,2.0,2.0,-16.0,-12.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,5.0,-11.0,7.0,-1.0,2.0,-12.0,-12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.866666667,0.0,1.0,-7.0,7.0,2.0,3.0,-12.0,-9.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.216666667,3.0,7.0,-5.0,4.0,-4.0,0.0,-1.0,2.0,2.0,-9.0,0.0,0.0,0.0,0.0
0.0,-0.433333333,29.0,9.0,16.0,9.0,15.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,-1.0,0.0,0.0,4.683333333,1.0,0.0,5.0,5.0,4.0,-1.0,5.0,-1.0,4.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,4.6,8.0,-2.0,5.0,1.0,5.0,0.0,0.0,-1.0,0.0,6.0,0.0,1.0
0.0,2.0,0.0,4.316666667,13.0,1.0,14.0,0.0,14.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,1.0,0.0,1.0,3.4,-1.0,6.0,2.0,-2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-1.0,-4.0,0.0,0.0,0.466666667,27.0,3.0,-6.0,-1.0,-6.0,0.0,0.0,0.0,-1.0,-5.0,0.0,2.0,4.0,0.0
0.0,3.516666667,0.0,1.0,5.0,5.0,12.0,10.0,29.0,26.0,31.0,-2.0,0.0,11.0,3.0,15.0,1.0,1.0,0.0,0.0,0.0,3.25,-1.0,0.0,11.0,3.0,17.0,-20.0,14.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483333333,-10.0,-7.0,-3.0,-7.0,3.0,-11.0,5.0,2.0,0.0,-5.0,-1.0,0.0
0.0,0.0,0.0,-1.066666667,-6.0,-5.0,5.0,19.0,2.0,-1.0,4.0,8.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,10.0,5.0,-11.0,-10.0,4.0,-21.0,6.0,-1.0,-10.0,0.0,0.0,-3.0,-1.0,0.0,0.0,-1.633333333,1.0,0.0,5.0,5.0,37.0,0.0,-2.0,3.0,-2.0,-2.0,2.0,-3.0,1.0,0.0
0.0,-1.0,-1.0,0.0,0.0,-1.333333333,11.0,7.0,13.0,0.0,11.0,6.0,-4.0,3.0,16.0,-6.0,1.0,-1.0,0.0,0.0,0.0,-2.716666667,0.0,6.0,-5.0,2.0,-3.0,0.0,-2.0,-5.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,-3.066666667,-5.0,-8.0,0.0,-7.0,2.0,0.0,-2.0,-6.0,7.0,-1.0,0.0,1.0
-1.0,-1.0,0.0,-0.883333333,5.0,9.0,-3.0,10.0,-9.0,0.0,6.0,-4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,1.0,5.0,5.0,0.0,0.0,-15.0,2.0,-21.0,2.0,4.0,1.0,-11.0,-5.0,-1.0,0.0,0.0,0.0,0.0,-0.233333333,0.0,0.0,4.0,28.0,-8.0,2.0,10.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,-8.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-8.0,6.0,-4.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,4.0,-14.0,-5.0,4.0,-15.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,29.0,5.0,43.0,11.0,36.0,5.0,2.0,2.0,0.0,41.0,0.0,1.0,0.0,-1.0,0.0,4.55,32.0,1.0,12.0,-2.0,6.0,6.0,0.0,1.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,3.783333333,8.0,0.0,15.0,2.0,7.0,5.0,3.0,3.0,8.0,4.0
0.0,1.0,1.0,0.0,0.0,2.65,-59.0,-2.0,-27.0,4.0,-35.0,-2.0,10.0,18.0,-1.0,-44.0,-1.0,0.0,0.0,0.0,0.0,-3.35,59.0,2.0,54.0,11.0,42.0,11.0,1.0,7.0,3.0,44.0,1.0,1.0,0.0,0.0,0.0,3.95,1.0,0.0,5.0,5.0,1.0,0.0,-1.0,-4.0,1.0,-2.0,0.0,2.0
-7.0,4.0,0.0,1.0,-3.0,-1.0,0.0,0.166666667,17.0,1.0,1.0,3.0,3.0,-2.0,0.0,7.0,-6.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.8,8.0,0.0,7.0,5.0,4.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.966666667,0.0,5.0,-7.0,-1.0,-8.0,2.0,-1.0,-9.0,2.0,0.0
0.0,0.0,-2.0,0.0,0.0,1.05,7.0,0.0,-2.0,-7.0,-3.0,1.0,0.0,4.0,-4.0,-2.0,0.0,2.0,2.0,0.0,0.0,1.916666667,1.0,0.0,5.0,5.0,18.0,5.0,3.0,1.0,4.0,0.0,-1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.333333333,27.0,7.0,7.0,1.0,6.0,0.0,1.0,1.0
0.0,6.0,0.0,1.0,0.0,0.0,0.0,4.683333333,17.0,6.0,6.0,8.0,6.0,0.0,0.0,-2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,3.716666667,15.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,-1.0,0.0,0.85,-1.0,3.0,3.0,-1.0,3.0,0.0,0.0,1.0,0.0,2.0
0.0,1.0,-1.0,1.0,0.0,3.083333333,0.0,1.0,5.0,5.0,0.0,-11.0,-6.0,-12.0,-3.0,-2.0,-1.0,1.0,-2.0,-5.0,-1.0,0.0,-1.0,0.0,0.0,0.55,-3.0,0.0,8.0,-5.0,10.0,-2.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.383333333,1.0,-2.0,3.0,-4.0,10.0,-7.0,0.0,7.0
