Video,Video views,Likes,Dislikes,,Autos & Vehicles,Comedy,Education,Entertainment,Film & Animation,Gaming,Howto & Style,Music,News & Politics,Nonprofits & Activism,People & Blogs,Pets & Animals,Science & Technology,Sports,Travel & Events,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30
420.0,110.0,79.0,806.0,91.0,333.0,33.0,550.0,392.0,171.0,169.0,329.0,921.0,753.0,709.0,651.0,546.0,701.0,114.0,360.0,107.0,906.0,439.0,222.0,312.0,852.0,74.0,111.0,958.0,576.0,195.0,690.0,546.0,219.0,254.0,129.0,600.0,138.0,99.0,692.0,10.0,34.0,846.0,7.0,6.0,504.0,522.0,228.0,578.0,785.0
580.0,901.0,617.0,20.0,31.0,83.0,92.0,327.0,576.0,936.0,564.0,432.0,302.0,126.0,689.0,779.0,833.0,382.0,538.0,122.0,817.0,70.0,3.0,622.0,542.0,596.0,159.0,876.0,698.0,21.0,116.0,884.0,313.0,881.0,126.0,823.0,946.0,214.0,277.0,16.0,626.0,636.0,502.0,117.0,475.0,108.0,725.0,54.0,346.0,464.0
745.0,974.0,536.0,866.0,835.0,925.0,928.0,30.0,518.0,969.0,17.0,195.0,512.0,663.0,388.0,77.0,584.0,153.0,621.0,788.0,152.0,363.0,394.0,366.0,27.0,287.0,592.0,65.0,90.0,1.0,292.0,525.0,124.0,318.0,882.0,211.0,250.0,306.0,502.0,85.0,815.0,350.0,684.0,376.0,966.0,200.0,847.0,539.0,263.0,97.0
13.0,179.0,50.0,150.0,937.0,919.0,93.0,18.0,501.0,520.0,330.0,844.0,336.0,477.0,697.0,412.0,854.0,275.0,706.0,159.0,559.0,173.0,76.0,221.0,751.0,126.0,185.0,207.0,256.0,180.0,989.0,436.0,313.0,182.0,190.0,730.0,880.0,570.0,681.0,591.0,85.0,889.0,834.0,231.0,202.0,410.0,737.0,670.0,892.0,721.0
380.0,289.0,178.0,49.0,134.0,848.0,129.0,665.0,257.0,38.0,16.0,452.0,787.0,217.0,244.0,113.0,209.0,567.0,935.0,163.0,820.0,284.0,623.0,46.0,235.0,900.0,173.0,996.0,393.0,161.0,878.0,796.0,176.0,818.0,645.0,156.0,157.0,761.0,678.0,585.0,182.0,346.0,283.0,866.0,199.0,381.0,170.0,379.0,353.0,399.0
141.0,26.0,299.0,741.0,282.0,314.0,490.0,397.0,262.0,633.0,358.0,446.0,376.0,426.0,105.0,272.0,608.0,459.0,560.0,685.0,140.0,35.0,377.0,217.0,230.0,682.0,948.0,224.0,171.0,113.0,351.0,370.0,152.0,291.0,642.0,61.0,338.0,834.0,688.0,950.0,547.0,858.0,350.0,189.0,973.0,435.0,253.0,991.0,417.0,320.0
240.0,902.0,23.0,15.0,862.0,8.0,304.0,831.0,632.0,369.0,668.0,878.0,413.0,495.0,986.0,657.0,140.0,672.0,343.0,671.0,82.0,11.0,855.0,631.0,158.0,964.0,605.0,430.0,69.0,137.0,86.0,959.0,923.0,174.0,444.0,223.0,454.0,784.0,205.0,505.0,685.0,390.0,618.0,106.0,143.0,289.0,559.0,285.0,0.0,442.0
74.0,793.0,61.0,679.0,641.0,400.0,530.0,12.0,815.0,188.0,291.0,331.0,238.0,728.0,365.0,358.0,71.0,72.0,89.0,924.0,258.0,836.0,58.0,107.0,385.0,782.0,260.0,963.0,995.0,454.0,213.0,341.0,242.0,143.0,497.0,69.0,60.0,484.0,760.0,524.0,789.0,718.0,210.0,557.0,503.0,569.0,686.0,111.0,955.0,619.0
816.0,96.0,313.0,828.0,102.0,745.0,265.0,523.0,630.0,993.0,266.0,369.0,114.0,710.0,100.0,146.0,703.0,606.0,273.0,65.0,626.0,433.0,8.0,778.0,972.0,160.0,810.0,724.0,913.0,322.0,860.0,52.0,271.0,129.0,832.0,283.0,177.0,747.0,115.0,613.0,359.0,41.0,602.0,200.0,962.0,510.0,432.0,859.0,29.0,749.0
533.0,722.0,154.0,842.0,212.0,28.0,548.0,88.0,434.0,945.0,648.0,805.0,160.0,391.0,356.0,462.0,988.0,951.0,772.0,220.0,626.0,101.0,105.0,579.0,764.0,896.0,151.0,773.0,453.0,553.0,915.0,634.0,317.0,627.0,344.0,233.0,459.0,389.0,379.0,63.0,97.0,252.0,777.0,268.0,775.0,673.0,39.0,781.0,246.0,24.0
981.0,195.0,443.0,979.0,204.0,568.0,204.0,136.0,295.0,94.0,840.0,952.0,243.0,121.0,287.0,136.0,987.0,808.0,396.0,799.0,119.0,595.0,74.0,717.0,636.0,652.0,142.0,572.0,292.0,890.0,529.0,421.0,868.0,838.0,519.0,938.0,526.0,754.0,733.0,239.0,477.0,549.0,667.0,694.0,534.0,586.0,659.0,132.0,308.0,909.0
409.0,821.0,481.0,739.0,182.0,555.0,905.0,197.0,206.0,491.0,384.0,100.0,403.0,232.0,458.0,401.0,68.0,222.0,610.0,734.0,212.0,800.0,248.0,129.0,746.0,912.0,662.0,519.0,599.0,245.0,108.0,66.0,121.0,57.0,865.0,283.0,792.0,484.0,485.0,567.0,700.0,85.0,899.0,139.0,311.0,932.0,0.0,783.0,55.0,422.0
51.0,423.0,120.0,580.0,551.0,801.0,756.0,758.0,479.0,110.0,776.0,269.0,66.0,723.0,332.0,742.0,507.0,338.0,238.0,215.0,757.0,341.0,224.0,620.0,774.0,12.0,131.0,310.0,541.0,799.0,593.0,218.0,1000.0,483.0,36.0,907.0,299.0,232.0,0.0,931.0,230.0,683.0,135.0,349.0,769.0,787.0,262.0,563.0,371.0,608.0
704.0,944.0,612.0,478.0,5.0,355.0,655.0,0.0,999.0,770.0,427.0,196.0,496.0,248.0,843.0,10.0,660.0,9.0,82.0,127.0,270.0,658.0,384.0,643.0,676.0,545.0,984.0,737.0,296.0,306.0,37.0,294.0,492.0,482.0,888.0,101.0,756.0,271.0,524.0,965.0,968.0,695.0,255.0,373.0,461.0,301.0,581.0,261.0,303.0,798.0
281.0,646.0,167.0,607.0,215.0,759.0,186.0,822.0,367.0,428.0,574.0,841.0,301.0,911.0,189.0,826.0,263.0,604.0,957.0,830.0,616.0,174.0,323.0,247.0,82.0,416.0,0.0,956.0,468.0,825.0,605.0,929.0,0.0,867.0,198.0,194.0,98.0,540.0,135.0,241.0,81.0,269.0,343.0,191.0,147.0,463.0,565.0,260.0,300.0,661.0
197.0,571.0,506.0,251.0,476.0,324.0,63.0,29.0,634.0,405.0,240.0,455.0,225.0,857.0,587.0,990.0,807.0,566.0,281.0,387.0,979.0,727.0,824.0,328.0,400.0,441.0,374.0,500.0,767.0,514.0,678.0,597.0,175.0,73.0,470.0,908.0,970.0,296.0,467.0,870.0,243.0,638.0,342.0,863.0,183.0,827.0,310.0,9.0,797.0,711.0
693.0,303.0,765.0,864.0,486.0,156.0,546.0,930.0,288.0,910.0,257.0,434.0,351.0,449.0,335.0,109.0,532.0,490.0,764.0,166.0,992.0,487.0,918.0,790.0,561.0,276.0,265.0,104.0,785.0,347.0,719.0,594.0,509.0,850.0,75.0,810.0,709.0,47.0,276.0,266.0,368.0,144.0,994.0,298.0,750.0,552.0,916.0,158.0,696.0,494.0
622.0,922.0,934.0,207.0,457.0,201.0,851.0,699.0,950.0,178.0,795.0,967.0,762.0,354.0,582.0,939.0,340.0,590.0,734.0,372.0,674.0,402.0,738.0,649.0,861.0,927.0,420.0,898.0,279.0,318.0,628.0,229.0,920.0,859.0,2.0,954.0,422.0,326.0,445.0,639.0,911.0,583.0,473.0,472.0,658.0,305.0,259.0,170.0,478.0,677.0
32.0,53.0,97.0,743.0,527.0,319.0,715.0,656.0,193.0,581.0,851.0,521.0,887.0,98.0,134.0,45.0,112.0,14.0,406.0,259.0,44.0,589.0,40.0,43.0,803.0,839.0,322.0,286.0,465.0,104.0,766.0,234.0,653.0,334.0,577.0,361.0,894.0,125.0,543.0,712.0,249.0,277.0,267.0,607.0,603.0,977.0,729.0,348.0,644.0,736.0
316.0,187.0,39.0,150.0,130.0,227.0,84.0,421.0,971.0,309.0,89.0,647.0,156.0,480.0,886.0,768.0,431.0,236.0,654.0,874.0,300.0,181.0,891.0,438.0,813.0,404.0,293.0,509.0,211.0,407.0,456.0,845.0,36.0,885.0,215.0,168.0,135.0,943.0,119.0,448.0,148.0,933.0,67.0,840.0,81.0,779.0,843.0,650.0,703.0,116.0
257.0,466.0,533.0,417.0,531.0,680.0,199.0,332.0,517.0,290.0,917.0,791.0,714.0,189.0,257.0,856.0,879.0,357.0,940.0,67.0,348.0,236.0,0.0,702.0,35.0,258.0,117.0,614.0,342.0,398.0,48.0,216.0,268.0,78.0,575.0,460.0,329.0,687.0,496.0,729.0,56.0,858.0,465.0,985.0,806.0,598.0,942.0,976.0,744.0,276.0
634.0,198.0,558.0,42.0,259.0,418.0,528.0,118.0,624.0,504.0,89.0,80.0,237.0,62.0,864.0,914.0,87.0,233.0,726.0,802.0,440.0,219.0,794.0,488.0,135.0,254.0,192.0,961.0,14.0,468.0,537.0,162.0,953.0,195.0,125.0,516.0,875.0,364.0,556.0,69.0,666.0,625.0,345.0,0.0,849.0,408.0,427.0,554.0,895.0,499.0
310.0,669.0,325.0,152.0,142.0,52.0,982.0,210.0,226.0,887.0,523.0,474.0,252.0,975.0,803.0,263.0,59.0,773.0,338.0,143.0,347.0,707.0,318.0,371.0,375.0,573.0,85.0,424.0,752.0,174.0,495.0,883.0,575.0,4.0,713.0,829.0,270.0,804.0,274.0,113.0,757.0,588.0,41.0,165.0,103.0,640.0,949.0,386.0,544.0,893.0
755.0,869.0,809.0,164.0,240.0,207.0,748.0,248.0,457.0,83.0,290.0,194.0,225.0,129.0,352.0,261.0,716.0,736.0,493.0,449.0,378.0,903.0,185.0,126.0,913.0,664.0,132.0,601.0,172.0,978.0,298.0,900.0,471.0,147.0,274.0,854.0,5.0,675.0,278.0,562.0,151.0,85.0,55.0,485.0,198.0,145.0,64.0,0.0,998.0,644.0
437.0,708.0,489.0,19.0,629.0,280.0,904.0,941.0,106.0,469.0,871.0,517.0,179.0,93.0,771.0,204.0,433.0,243.0,109.0,406.0,429.0,123.0,95.0,59.0,720.0,877.0,853.0,337.0,152.0,615.0,451.0,471.0,983.0,942.0,814.0,748.0,203.0,152.0,200.0,556.0,897.0,960.0,27.0,997.0,457.0,407.0,617.0,399.0,362.0,93.0
344.0,25.0,297.0,368.0,637.0,90.0,691.0,262.0,133.0,873.0,119.0,128.0,432.0,103.0,387.0,984.0,325.0,171.0,307.0,980.0,22.0,339.0,745.0,411.0,811.0,887.0,239.0,552.0,515.0,916.0,498.0,149.0,450.0,145.0,438.0,752.0,0.0,731.0,103.0,155.0,640.0,780.0,212.0,926.0,91.0,609.0,373.0,819.0,933.0,282.0
762.0,837.0,17.0,383.0,256.0,947.0,294.0,321.0,772.0,191.0,315.0,82.0,453.0,415.0,535.0,494.0,287.0,419.0,225.0,264.0,0.0,872.0,184.0,735.0,511.0,773.0,611.0,208.0,732.0,200.0,508.0,786.0,513.0,428.0,240.0,395.0,327.0,812.0,420.0,425.0,352.0,251.0,59.0,740.0,705.0,635.0,990.0,763.0,747.0,153.0
447.0,414.0,681.0,176.0,420.0,110.0,79.0,806.0,91.0,333.0,33.0,550.0,392.0,171.0,169.0,329.0,921.0,753.0,709.0,651.0,546.0,701.0,114.0,360.0,107.0,906.0,439.0,222.0,312.0,852.0,74.0,111.0,958.0,576.0,195.0,690.0,546.0,219.0,254.0,129.0,600.0,138.0,99.0,692.0,10.0,34.0,846.0,7.0,6.0,504.0
522.0,228.0,578.0,785.0,580.0,901.0,617.0,20.0,31.0,83.0,92.0,327.0,576.0,936.0,564.0,432.0,302.0,126.0,689.0,779.0,833.0,382.0,538.0,122.0,817.0,70.0,3.0,622.0,542.0,596.0,159.0,876.0,698.0,21.0,116.0,884.0,313.0,881.0,126.0,823.0,946.0,214.0,277.0,16.0,626.0,636.0,502.0,117.0,475.0,108.0
725.0,54.0,346.0,464.0,745.0,974.0,536.0,866.0,835.0,925.0,928.0,30.0,518.0,969.0,17.0,195.0,512.0,663.0,388.0,77.0,584.0,153.0,621.0,788.0,152.0,363.0,394.0,366.0,27.0,287.0,592.0,65.0,90.0,1.0,292.0,525.0,124.0,318.0,882.0,211.0,250.0,306.0,502.0,85.0,815.0,350.0,684.0,376.0,966.0,200.0
847.0,539.0,263.0,97.0,13.0,179.0,50.0,150.0,937.0,919.0,93.0,18.0,501.0,520.0,330.0,844.0,336.0,477.0,697.0,412.0,854.0,275.0,706.0,159.0,559.0,173.0,76.0,221.0,751.0,126.0,185.0,207.0,256.0,180.0,989.0,436.0,313.0,182.0,190.0,730.0,880.0,570.0,681.0,591.0,85.0,889.0,834.0,231.0,202.0,410.0
737.0,670.0,892.0,721.0,380.0,289.0,178.0,49.0,134.0,848.0,129.0,665.0,257.0,38.0,16.0,452.0,787.0,217.0,244.0,113.0,209.0,567.0,935.0,163.0,820.0,284.0,623.0,46.0,235.0,900.0,173.0,996.0,393.0,161.0,878.0,796.0,176.0,818.0,645.0,156.0,157.0,761.0,678.0,585.0,182.0,346.0,283.0,866.0,199.0,381.0
170.0,379.0,353.0,399.0,141.0,26.0,299.0,741.0,282.0,314.0,490.0,397.0,262.0,633.0,358.0,446.0,376.0,426.0,105.0,272.0,608.0,459.0,560.0,685.0,140.0,35.0,377.0,217.0,230.0,682.0,948.0,224.0,171.0,113.0,351.0,370.0,152.0,291.0,642.0,61.0,338.0,834.0,688.0,950.0,547.0,858.0,350.0,189.0,973.0,435.0
253.0,991.0,417.0,320.0,240.0,902.0,23.0,15.0,862.0,8.0,304.0,831.0,632.0,369.0,668.0,878.0,413.0,495.0,986.0,657.0,140.0,672.0,343.0,671.0,82.0,11.0,855.0,631.0,158.0,964.0,605.0,430.0,69.0,137.0,86.0,959.0,923.0,174.0,444.0,223.0,454.0,784.0,205.0,505.0,685.0,390.0,618.0,106.0,143.0,289.0
559.0,285.0,0.0,442.0,74.0,793.0,61.0,679.0,641.0,400.0,530.0,12.0,815.0,188.0,291.0,331.0,238.0,728.0,365.0,358.0,71.0,72.0,89.0,924.0,258.0,836.0,58.0,107.0,385.0,782.0,260.0,963.0,995.0,454.0,213.0,341.0,242.0,143.0,497.0,69.0,60.0,484.0,760.0,524.0,789.0,718.0,210.0,557.0,503.0,569.0
686.0,111.0,955.0,619.0,816.0,96.0,313.0,828.0,102.0,745.0,265.0,523.0,630.0,993.0,266.0,369.0,114.0,710.0,100.0,146.0,703.0,606.0,273.0,65.0,626.0,433.0,8.0,778.0,972.0,160.0,810.0,724.0,913.0,322.0,860.0,52.0,271.0,129.0,832.0,283.0,177.0,747.0,115.0,613.0,359.0,41.0,602.0,200.0,962.0,510.0
432.0,859.0,29.0,749.0,533.0,722.0,154.0,842.0,212.0,28.0,548.0,88.0,434.0,945.0,648.0,805.0,160.0,391.0,356.0,462.0,988.0,951.0,772.0,220.0,626.0,101.0,105.0,579.0,764.0,896.0,151.0,773.0,453.0,553.0,915.0,634.0,317.0,627.0,344.0,233.0,459.0,389.0,379.0,63.0,97.0,252.0,777.0,268.0,775.0,673.0
39.0,781.0,246.0,24.0,981.0,195.0,443.0,979.0,204.0,568.0,204.0,136.0,295.0,94.0,840.0,952.0,243.0,121.0,287.0,136.0,987.0,808.0,396.0,799.0,119.0,595.0,74.0,717.0,636.0,652.0,142.0,572.0,292.0,890.0,529.0,421.0,868.0,838.0,519.0,938.0,526.0,754.0,733.0,239.0,477.0,549.0,667.0,694.0,534.0,586.0
659.0,132.0,308.0,909.0,409.0,821.0,481.0,739.0,182.0,555.0,905.0,197.0,206.0,491.0,384.0,100.0,403.0,232.0,458.0,401.0,68.0,222.0,610.0,734.0,212.0,800.0,248.0,129.0,746.0,912.0,662.0,519.0,599.0,245.0,108.0,66.0,121.0,57.0,865.0,283.0,792.0,484.0,485.0,567.0,700.0,85.0,899.0,139.0,311.0,932.0
0.0,783.0,55.0,422.0,51.0,423.0,120.0,580.0,551.0,801.0,756.0,758.0,479.0,110.0,776.0,269.0,66.0,723.0,332.0,742.0,507.0,338.0,238.0,215.0,757.0,341.0,224.0,620.0,774.0,12.0,131.0,310.0,541.0,799.0,593.0,218.0,1000.0,483.0,36.0,907.0,299.0,232.0,0.0,931.0,230.0,683.0,135.0,349.0,769.0,787.0
262.0,563.0,371.0,608.0,704.0,944.0,612.0,478.0,5.0,355.0,655.0,0.0,999.0,770.0,427.0,196.0,496.0,248.0,843.0,10.0,660.0,9.0,82.0,127.0,270.0,658.0,384.0,643.0,676.0,545.0,984.0,737.0,296.0,306.0,37.0,294.0,492.0,482.0,888.0,101.0,756.0,271.0,524.0,965.0,968.0,695.0,255.0,373.0,461.0,301.0
581.0,261.0,303.0,798.0,281.0,646.0,167.0,607.0,215.0,759.0,186.0,822.0,367.0,428.0,574.0,841.0,301.0,911.0,189.0,826.0,263.0,604.0,957.0,830.0,616.0,174.0,323.0,247.0,82.0,416.0,0.0,956.0,468.0,825.0,605.0,929.0,0.0,867.0,198.0,194.0,98.0,540.0,135.0,241.0,81.0,269.0,343.0,191.0,147.0,463.0
565.0,260.0,300.0,661.0,197.0,571.0,506.0,251.0,476.0,324.0,63.0,29.0,634.0,405.0,240.0,455.0,225.0,857.0,587.0,990.0,807.0,566.0,281.0,387.0,979.0,727.0,824.0,328.0,400.0,441.0,374.0,500.0,767.0,514.0,678.0,597.0,175.0,73.0,470.0,908.0,970.0,296.0,467.0,870.0,243.0,638.0,342.0,863.0,183.0,827.0
310.0,9.0,797.0,711.0,693.0,303.0,765.0,864.0,486.0,156.0,546.0,930.0,288.0,910.0,257.0,434.0,351.0,449.0,335.0,109.0,532.0,490.0,764.0,166.0,992.0,487.0,918.0,790.0,561.0,276.0,265.0,104.0,785.0,347.0,719.0,594.0,509.0,850.0,75.0,810.0,709.0,47.0,276.0,266.0,368.0,144.0,994.0,298.0,750.0,552.0
916.0,158.0,696.0,494.0,622.0,922.0,934.0,207.0,457.0,201.0,851.0,699.0,950.0,178.0,795.0,967.0,762.0,354.0,582.0,939.0,340.0,590.0,734.0,372.0,674.0,402.0,738.0,649.0,861.0,927.0,420.0,898.0,279.0,318.0,628.0,229.0,920.0,859.0,2.0,954.0,422.0,326.0,445.0,639.0,911.0,583.0,473.0,472.0,658.0,305.0
259.0,170.0,478.0,677.0,32.0,53.0,97.0,743.0,527.0,319.0,715.0,656.0,193.0,581.0,851.0,521.0,887.0,98.0,134.0,45.0,112.0,14.0,406.0,259.0,44.0,589.0,40.0,43.0,803.0,839.0,322.0,286.0,465.0,104.0,766.0,234.0,653.0,334.0,577.0,361.0,894.0,125.0,543.0,712.0,249.0,277.0,267.0,607.0,603.0,977.0
729.0,348.0,644.0,736.0,316.0,187.0,39.0,150.0,130.0,227.0,84.0,421.0,971.0,309.0,89.0,647.0,156.0,480.0,886.0,768.0,431.0,236.0,654.0,874.0,300.0,181.0,891.0,438.0,813.0,404.0,293.0,509.0,211.0,407.0,456.0,845.0,36.0,885.0,215.0,168.0,135.0,943.0,119.0,448.0,148.0,933.0,67.0,840.0,81.0,779.0
843.0,650.0,703.0,116.0,257.0,466.0,533.0,417.0,531.0,680.0,199.0,332.0,517.0,290.0,917.0,791.0,714.0,189.0,257.0,856.0,879.0,357.0,940.0,67.0,348.0,236.0,0.0,702.0,35.0,258.0,117.0,614.0,342.0,398.0,48.0,216.0,268.0,78.0,575.0,460.0,329.0,687.0,496.0,729.0,56.0,858.0,465.0,985.0,806.0,598.0
942.0,976.0,744.0,276.0,634.0,198.0,558.0,42.0,259.0,418.0,528.0,118.0,624.0,504.0,89.0,80.0,237.0,62.0,864.0,914.0,87.0,233.0,726.0,802.0,440.0,219.0,794.0,488.0,135.0,254.0,192.0,961.0,14.0,468.0,537.0,162.0,953.0,195.0,125.0,516.0,875.0,364.0,556.0,69.0,666.0,625.0,345.0,0.0,849.0,408.0
427.0,554.0,895.0,499.0,310.0,669.0,325.0,152.0,142.0,52.0,982.0,210.0,226.0,887.0,523.0,474.0,252.0,975.0,803.0,263.0,59.0,773.0,338.0,143.0,347.0,707.0,318.0,371.0,375.0,573.0,85.0,424.0,752.0,174.0,495.0,883.0,575.0,4.0,713.0,829.0,270.0,804.0,274.0,113.0,757.0,588.0,41.0,165.0,103.0,640.0
949.0,386.0,544.0,893.0,755.0,869.0,809.0,164.0,240.0,207.0,748.0,248.0,457.0,83.0,290.0,194.0,225.0,129.0,352.0,261.0,716.0,736.0,493.0,449.0,378.0,903.0,185.0,126.0,913.0,664.0,132.0,601.0,172.0,978.0,298.0,900.0,471.0,147.0,274.0,854.0,5.0,675.0,278.0,562.0,151.0,85.0,55.0,485.0,198.0,145.0
64.0,0.0,998.0,644.0,437.0,708.0,489.0,19.0,629.0,280.0,904.0,941.0,106.0,469.0,871.0,517.0,179.0,93.0,771.0,204.0,433.0,243.0,109.0,406.0,429.0,123.0,95.0,59.0,720.0,877.0,853.0,337.0,152.0,615.0,451.0,471.0,983.0,942.0,814.0,748.0,203.0,152.0,200.0,556.0,897.0,960.0,27.0,997.0,457.0,407.0
617.0,399.0,362.0,93.0,344.0,25.0,297.0,368.0,637.0,90.0,691.0,262.0,133.0,873.0,119.0,128.0,432.0,103.0,387.0,984.0,325.0,171.0,307.0,980.0,22.0,339.0,745.0,411.0,811.0,887.0,239.0,552.0,515.0,916.0,498.0,149.0,450.0,145.0,438.0,752.0,0.0,731.0,103.0,155.0,640.0,780.0,212.0,926.0,91.0,609.0
373.0,819.0,933.0,282.0,762.0,837.0,17.0,383.0,256.0,947.0,294.0,321.0,772.0,191.0,315.0,82.0,453.0,415.0,535.0,494.0,287.0,419.0,225.0,264.0,0.0,872.0,184.0,735.0,511.0,773.0,611.0,208.0,732.0,200.0,508.0,786.0,513.0,428.0,240.0,395.0,327.0,812.0,420.0,425.0,352.0,251.0,59.0,740.0,705.0,635.0
990.0,763.0,747.0,153.0,447.0,414.0,681.0,176.0,420.0,110.0,79.0,806.0,91.0,333.0,33.0,550.0,392.0,171.0,169.0,329.0,921.0,753.0,709.0,651.0,546.0,701.0,114.0,360.0,107.0,906.0,439.0,222.0,312.0,852.0,74.0,111.0,958.0,576.0,195.0,690.0,546.0,219.0,254.0,129.0,600.0,138.0,99.0,692.0,10.0,34.0
