Month,Region,Main_Category,Sub_Category,Product_Line,Price_Tier,Units_Sold,Revenue_USD,Online_Sales_Percentage,Retail_Price,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40
11893.0,2497530.0,71.0,210.0,12640.0,2022400.0,51.0,160.0,24233.0,2665630.0,82.0,110.0,42458.0,5519540.0,81.0,130.0,13064.0,1437040.0,83.0,110.0,47626.0,2381300.0,66.0,50.0,39659.0,3965900.0,70.0,100.0,24222.0,6782160.0,51.0,280.0,28038.0,1401900.0,63.0,50.0,11147.0,2117930.0,56.0,190.0,40691.0,2848370.0,58.0,70.0,38622.0,8496840.0,78.0,220.0,41336.0,9507280.0
66.0,230.0,42094.0,9681620.0,73.0,230.0,41898.0,12150420.0,53.0,290.0,5250.0,577500.0,88.0,110.0,43953.0,9669660.0,81.0,220.0,46169.0,3693520.0,77.0,80.0,10605.0,848400.0,87.0,80.0,11907.0,833490.0,75.0,70.0,15114.0,2267100.0,73.0,150.0,11346.0,2269200.0,64.0,200.0,39458.0,2367480.0,65.0,60.0,49565.0,9417350.0,90.0,190.0,31768.0,2859120.0,58.0,90.0
20285.0,3448450.0,77.0,170.0,25560.0,4345200.0,59.0,170.0,19197.0,959850.0,57.0,50.0,42901.0,9867230.0,85.0,230.0,39676.0,11506040.0,69.0,290.0,29252.0,8190560.0,61.0,280.0,40284.0,8862480.0,56.0,220.0,27232.0,1361600.0,60.0,50.0,27370.0,4105500.0,77.0,150.0,44238.0,3539040.0,54.0,80.0,45591.0,13221390.0,69.0,290.0,47338.0,3313660.0,50.0,70.0,27680.0,8304000.0
68.0,300.0,5580.0,1339200.0,66.0,240.0,48811.0,5369210.0,83.0,110.0,30797.0,5235490.0,65.0,170.0,26283.0,3416790.0,53.0,130.0,29724.0,3566880.0,62.0,120.0,44272.0,5312640.0,54.0,120.0,6131.0,1042270.0,76.0,170.0,37824.0,6808320.0,51.0,180.0,16989.0,5096700.0,83.0,300.0,37151.0,7058690.0,70.0,190.0,15325.0,766250.0,70.0,50.0,18610.0,1488800.0,83.0,80.0
20585.0,4117000.0,55.0,200.0,26079.0,4433430.0,58.0,170.0,37618.0,9028320.0,59.0,240.0,13549.0,2845290.0,87.0,210.0,42383.0,8052770.0,90.0,190.0,23146.0,6712340.0,85.0,290.0,8911.0,891100.0,60.0,100.0,46488.0,13481520.0,65.0,290.0,26073.0,6778980.0,89.0,260.0,40904.0,10226000.0,87.0,250.0,10167.0,2033400.0,69.0,200.0,33222.0,3654420.0,56.0,110.0,9495.0,854550.0
79.0,90.0,16995.0,2549250.0,78.0,150.0,14474.0,3039540.0,71.0,210.0,47176.0,2830560.0,83.0,60.0,21835.0,6550500.0,88.0,300.0,12825.0,1410750.0,78.0,110.0,21269.0,6168010.0,75.0,290.0,20301.0,3654180.0,50.0,180.0,19216.0,1921600.0,54.0,100.0,18456.0,2214720.0,82.0,120.0,34245.0,9931050.0,65.0,290.0,30282.0,3633840.0,70.0,120.0,28660.0,2006200.0,80.0,70.0
6123.0,1775670.0,55.0,290.0,35528.0,5684480.0,68.0,160.0,45334.0,4080060.0,51.0,90.0,22636.0,5885360.0,68.0,260.0,11440.0,2288000.0,88.0,200.0,24771.0,5697330.0,59.0,230.0,31290.0,1564500.0,87.0,50.0,30892.0,1544600.0,65.0,50.0,6954.0,904020.0,74.0,130.0,19555.0,977750.0,90.0,50.0,23503.0,4700600.0,76.0,200.0,28850.0,1731000.0,87.0,60.0,32663.0,5226080.0
79.0,160.0,49549.0,14864700.0,75.0,300.0,45139.0,3159730.0,72.0,70.0,31673.0,2850570.0,74.0,90.0,24125.0,1206250.0,69.0,50.0,26971.0,6203330.0,64.0,230.0,42633.0,5968620.0,52.0,140.0,23653.0,5203660.0,89.0,220.0,32581.0,2280670.0,69.0,70.0,44343.0,7538310.0,75.0,170.0,8291.0,663280.0,66.0,80.0,24788.0,3718200.0,61.0,150.0,41062.0,2874340.0,66.0,70.0
48229.0,13504120.0,62.0,280.0,25828.0,2582800.0,60.0,100.0,47580.0,5709600.0,78.0,120.0,48540.0,10193400.0,63.0,210.0,37975.0,2658250.0,53.0,70.0,24267.0,5338740.0,58.0,220.0,40029.0,2001450.0,71.0,50.0,33407.0,4342910.0,70.0,130.0,39670.0,3967000.0,90.0,100.0,8891.0,2044930.0,82.0,230.0,39076.0,7424440.0,67.0,190.0,23339.0,7001700.0,84.0,300.0,18192.0,5093760.0
74.0,280.0,18898.0,3968580.0,55.0,210.0,6063.0,1455120.0,63.0,240.0,23137.0,3239180.0,54.0,140.0,24321.0,4134570.0,73.0,170.0,49992.0,13997760.0,64.0,280.0,40020.0,4002000.0,77.0,100.0,30270.0,1513500.0,85.0,50.0,20663.0,3719340.0,76.0,180.0,46062.0,9212400.0,75.0,200.0,28564.0,8283560.0,61.0,290.0,42786.0,9840780.0,79.0,230.0,23802.0,1428120.0,67.0,60.0
49553.0,7432950.0,52.0,150.0,16158.0,3070020.0,57.0,190.0,49696.0,12424000.0,68.0,250.0,6257.0,938550.0,53.0,150.0,8970.0,627900.0,69.0,70.0,43178.0,9499160.0,59.0,220.0,6327.0,316350.0,79.0,50.0,5233.0,313980.0,55.0,60.0,32171.0,9007880.0,75.0,280.0,20661.0,2479320.0,76.0,120.0,17561.0,1580490.0,54.0,90.0,46991.0,7988470.0,84.0,170.0,44384.0,2219200.0
73.0,50.0,16104.0,4670160.0,81.0,290.0,9054.0,1810800.0,66.0,200.0,30338.0,2730420.0,67.0,90.0,41932.0,9225040.0,85.0,220.0,31387.0,1883220.0,70.0,60.0,41568.0,4156800.0,80.0,100.0,14607.0,1898910.0,65.0,130.0,40801.0,7752190.0,81.0,190.0,6248.0,1437040.0,86.0,230.0,24322.0,1702540.0,90.0,70.0,22754.0,1592780.0,50.0,70.0,26422.0,6341280.0,75.0,240.0
17729.0,4964120.0,90.0,280.0,27108.0,7590240.0,56.0,280.0,10939.0,2406580.0,89.0,220.0,5564.0,1613560.0,76.0,290.0,36239.0,2899120.0,57.0,80.0,12202.0,3660600.0,84.0,300.0,42937.0,9875510.0,78.0,230.0,45014.0,9903080.0,73.0,220.0,22727.0,4999940.0,70.0,220.0,6052.0,605200.0,57.0,100.0,36206.0,8689440.0,88.0,240.0,37822.0,9455500.0,55.0,250.0,21488.0,3867840.0
75.0,180.0,42388.0,3814920.0,88.0,90.0,15005.0,4051350.0,65.0,270.0,26728.0,6949280.0,83.0,260.0,39375.0,7875000.0,69.0,200.0,10259.0,1949210.0,86.0,190.0,43390.0,5206800.0,73.0,120.0,21699.0,1518930.0,75.0,70.0,41529.0,2491740.0,88.0,60.0,48873.0,4887300.0,85.0,100.0,40890.0,8586900.0,67.0,210.0,11069.0,1549660.0,82.0,140.0,14004.0,1400400.0,64.0,100.0
44925.0,9434250.0,86.0,210.0,31559.0,4102670.0,84.0,130.0,30124.0,4518600.0,64.0,150.0,42197.0,8861370.0,81.0,210.0,9846.0,1969200.0,65.0,200.0,48881.0,6843340.0,54.0,140.0,20261.0,3444370.0,71.0,170.0,10147.0,710290.0,64.0,70.0,39623.0,11886900.0,60.0,300.0,27059.0,6223570.0,76.0,230.0,37570.0,10519600.0,68.0,280.0,11727.0,2110860.0,60.0,180.0,27736.0,4160400.0
73.0,150.0,10527.0,2947560.0,65.0,280.0,44606.0,8475140.0,72.0,190.0,21784.0,2396240.0,54.0,110.0,42082.0,5049840.0,72.0,120.0,36864.0,3317760.0,69.0,90.0,19496.0,3509280.0,83.0,180.0,31357.0,6584970.0,70.0,210.0,7242.0,1375980.0,69.0,190.0,30014.0,6002800.0,74.0,200.0,40125.0,12037500.0,89.0,300.0,43169.0,2590140.0,88.0,60.0,35304.0,5648640.0,86.0,160.0
22851.0,3199140.0,50.0,140.0,37209.0,5953440.0,57.0,160.0,44025.0,4842750.0,83.0,110.0,6731.0,403860.0,85.0,60.0,45787.0,5952310.0,73.0,130.0,17179.0,4638330.0,78.0,270.0,28407.0,1988490.0,71.0,70.0,23375.0,5610000.0,64.0,240.0,39495.0,7504050.0,53.0,190.0,11095.0,1886150.0,55.0,170.0,7317.0,585360.0,87.0,80.0,6153.0,676830.0,70.0,110.0,25161.0,4277370.0
73.0,170.0,24247.0,1212350.0,60.0,50.0,32062.0,4809300.0,52.0,150.0,5748.0,287400.0,77.0,50.0,35610.0,8190300.0,82.0,230.0,39308.0,10613160.0,82.0,270.0,14492.0,724600.0,85.0,50.0,22409.0,2240900.0,88.0,100.0,47159.0,8488620.0,63.0,180.0,15441.0,1389690.0,69.0,90.0,22124.0,4203560.0,66.0,190.0,42975.0,8165250.0,51.0,190.0,31132.0,9339600.0,72.0,300.0
33233.0,1993980.0,79.0,60.0,37977.0,5316780.0,63.0,140.0,23761.0,4276980.0,58.0,180.0,33515.0,7038150.0,79.0,210.0,6901.0,1311190.0,85.0,190.0,14683.0,1321470.0,77.0,90.0,46881.0,9376200.0,61.0,200.0,10283.0,1748110.0,90.0,170.0,42546.0,12338340.0,82.0,290.0,34149.0,9220230.0,66.0,270.0,9058.0,1992760.0,67.0,220.0,21220.0,2970800.0,66.0,140.0,18939.0,4355970.0
78.0,230.0,49117.0,12279250.0,77.0,250.0,22363.0,2236300.0,56.0,100.0,36093.0,3248370.0,80.0,90.0,29938.0,4191320.0,82.0,140.0,29603.0,3552360.0,86.0,120.0,5028.0,1458120.0,61.0,290.0,27507.0,5226330.0,81.0,190.0,46945.0,2347250.0,53.0,50.0,32757.0,3603270.0,73.0,110.0,38906.0,7392140.0,68.0,190.0,30682.0,4909120.0,61.0,160.0,15518.0,4500220.0,90.0,290.0
32693.0,9480970.0,80.0,290.0,28203.0,2538270.0,72.0,90.0,22074.0,1986660.0,87.0,90.0,25467.0,7640100.0,50.0,300.0,38234.0,9176160.0,89.0,240.0,32321.0,1616050.0,60.0,50.0,33902.0,4746280.0,85.0,140.0,32475.0,1948500.0,65.0,60.0,8847.0,707760.0,89.0,80.0,19422.0,1747980.0,67.0,90.0,40582.0,2434920.0,71.0,60.0,26112.0,2350080.0,74.0,90.0,19653.0,5109780.0
62.0,260.0,6574.0,1314800.0,68.0,200.0,49440.0,7910400.0,51.0,160.0,27540.0,4681800.0,57.0,170.0,13998.0,3219540.0,54.0,230.0,14433.0,3896910.0,76.0,270.0,14744.0,4275760.0,54.0,290.0,14969.0,1945970.0,69.0,130.0,46453.0,12542310.0,88.0,270.0,11602.0,3016520.0,72.0,260.0,42594.0,5537220.0,62.0,130.0,33352.0,7003920.0,86.0,210.0,41786.0,9192920.0,55.0,220.0
44252.0,6195280.0,62.0,140.0,20117.0,4828080.0,75.0,240.0,40025.0,4402750.0,85.0,110.0,43362.0,12574980.0,73.0,290.0,33968.0,10190400.0,83.0,300.0,45678.0,9135600.0,56.0,200.0,23175.0,5793750.0,53.0,250.0,9049.0,814410.0,76.0,90.0,25365.0,2790150.0,79.0,110.0,13843.0,1938020.0,61.0,140.0,35728.0,7145600.0,60.0,200.0,33377.0,9679330.0,76.0,290.0,28314.0,5945940.0
62.0,210.0,37643.0,10916470.0,75.0,290.0,27618.0,4971240.0,86.0,180.0,37621.0,1881050.0,72.0,50.0,25267.0,2526700.0,79.0,100.0,16592.0,4148000.0,75.0,250.0,49607.0,7937120.0,66.0,160.0,43928.0,5710640.0,77.0,130.0,33205.0,8301250.0,62.0,250.0,37183.0,8923920.0,62.0,240.0,8844.0,1503480.0,54.0,170.0,39686.0,7937200.0,74.0,200.0,40146.0,7627740.0,58.0,190.0
47036.0,7525760.0,90.0,160.0,37697.0,10932130.0,56.0,290.0,12534.0,1253400.0,71.0,100.0,16469.0,1646900.0,54.0,100.0,17306.0,5018740.0,84.0,290.0,15743.0,2833740.0,73.0,180.0,47008.0,8931520.0,82.0,190.0,26778.0,4552260.0,60.0,170.0,45702.0,10054440.0,85.0,220.0,35001.0,9450270.0,89.0,270.0,20724.0,5802720.0,86.0,280.0,20899.0,3970810.0,88.0,190.0,6354.0,1461420.0
88.0,230.0,47675.0,9058250.0,66.0,190.0,31264.0,2188480.0,70.0,70.0,25606.0,5889380.0,72.0,230.0,23432.0,7029600.0,80.0,300.0,46670.0,10734100.0,62.0,230.0,8524.0,1363840.0,59.0,160.0,16444.0,2795480.0,67.0,170.0,40979.0,6966430.0,59.0,170.0,7218.0,938340.0,90.0,130.0,20868.0,1878120.0,87.0,90.0,25837.0,2583700.0,76.0,100.0,6420.0,642000.0,56.0,100.0
35346.0,8836500.0,56.0,250.0,37169.0,1858450.0,74.0,50.0,45530.0,12748400.0,58.0,280.0,24849.0,2484900.0,58.0,100.0,24607.0,4429260.0,72.0,180.0,22460.0,1347600.0,67.0,60.0,17571.0,1932810.0,52.0,110.0,20632.0,5776960.0,90.0,280.0,7095.0,1206150.0,83.0,170.0,9612.0,1441800.0,79.0,150.0,23362.0,4205160.0,88.0,180.0,28434.0,7392840.0,55.0,260.0,30604.0,7038920.0
72.0,230.0,12383.0,1362130.0,90.0,110.0,46249.0,9249800.0,53.0,200.0,43439.0,3475120.0,59.0,80.0,49510.0,3465700.0,54.0,70.0,13052.0,3654560.0,58.0,280.0,28395.0,6530850.0,57.0,230.0,38487.0,7697400.0,81.0,200.0,11484.0,2871000.0,51.0,250.0,21146.0,5709420.0,70.0,270.0,19271.0,1348970.0,78.0,70.0,42446.0,3395680.0,81.0,80.0,45929.0,7348640.0,66.0,160.0
17022.0,1021320.0,52.0,60.0,30406.0,6081200.0,87.0,200.0,31840.0,3502400.0,65.0,110.0,37396.0,5609400.0,59.0,150.0,34475.0,5171250.0,71.0,150.0,19448.0,2528240.0,54.0,130.0,20448.0,5725440.0,60.0,280.0,21015.0,4833450.0,62.0,230.0,40905.0,8181000.0,57.0,200.0,14436.0,1443600.0,54.0,100.0,25907.0,7253960.0,66.0,280.0,19861.0,1588880.0,84.0,80.0,11839.0,828730.0
64.0,70.0,32418.0,4214340.0,71.0,130.0,45099.0,9019800.0,50.0,200.0,14208.0,3978240.0,68.0,280.0,39891.0,11568390.0,64.0,290.0,11286.0,1467180.0,88.0,130.0,31674.0,9502200.0,86.0,300.0,48413.0,8230210.0,86.0,170.0,13360.0,3740800.0,66.0,280.0,18488.0,2218560.0,59.0,120.0,10346.0,1862280.0,79.0,180.0,49315.0,9369850.0,70.0,190.0,31688.0,7605120.0,58.0,240.0
35804.0,5370600.0,71.0,150.0,9045.0,2442150.0,86.0,270.0,11050.0,1768000.0,90.0,160.0,39059.0,5858850.0,61.0,150.0,21955.0,3512800.0,87.0,160.0,36286.0,1814300.0,64.0,50.0,29636.0,7409000.0,73.0,250.0,49808.0,6973120.0,53.0,140.0,20135.0,1208100.0,85.0,60.0,5398.0,1403480.0,89.0,260.0,49772.0,6968080.0,83.0,140.0,20657.0,1239420.0,72.0,60.0,9556.0,2006760.0
81.0,210.0,24716.0,3707400.0,56.0,150.0,36813.0,9571380.0,90.0,260.0,38922.0,9341280.0,78.0,240.0,21700.0,5642000.0,76.0,260.0,30607.0,1530350.0,67.0,50.0,41927.0,8804670.0,69.0,210.0,14104.0,1410400.0,85.0,100.0,48694.0,14608200.0,53.0,300.0,41095.0,3698550.0,81.0,90.0,14939.0,2987800.0,58.0,200.0,10699.0,1925820.0,75.0,180.0,13044.0,2347920.0,56.0,180.0
10066.0,1912540.0,72.0,190.0,43215.0,10371600.0,72.0,240.0,31752.0,5080320.0,89.0,160.0,28077.0,3930780.0,66.0,140.0,38088.0,11045520.0,70.0,290.0,15527.0,1086890.0,81.0,70.0,25307.0,4555260.0,63.0,180.0,27087.0,7584360.0,75.0,280.0,30241.0,7257840.0,74.0,240.0,36693.0,2201580.0,55.0,60.0,22371.0,4921620.0,50.0,220.0,29212.0,5550280.0,54.0,190.0,41079.0,6161850.0
84.0,150.0,24535.0,4170950.0,71.0,170.0,18106.0,4164380.0,68.0,230.0,20599.0,4737770.0,57.0,230.0,19586.0,3721340.0,51.0,190.0,45518.0,10924320.0,87.0,240.0,9831.0,2949300.0,68.0,300.0,42842.0,9425240.0,62.0,220.0,31869.0,7648560.0,74.0,240.0,26433.0,4493610.0,77.0,170.0,44154.0,13246200.0,50.0,300.0,11072.0,775040.0,54.0,70.0,32012.0,9603600.0,68.0,300.0
45408.0,4086720.0,90.0,90.0,49226.0,6891640.0,85.0,140.0,26258.0,4726440.0,55.0,180.0,29472.0,7662720.0,58.0,260.0,45392.0,12255840.0,72.0,270.0,40254.0,10466040.0,58.0,260.0,40110.0,2807700.0,71.0,70.0,14684.0,2055760.0,81.0,140.0,29332.0,8506280.0,63.0,290.0,32488.0,9421520.0,77.0,290.0,34976.0,10143040.0,81.0,290.0,5301.0,1484280.0,89.0,280.0,36648.0,6230160.0
68.0,170.0,25857.0,4654260.0,79.0,180.0,37722.0,3017760.0,64.0,80.0,33638.0,3027420.0,68.0,90.0,41534.0,5814760.0,56.0,140.0,38021.0,4182310.0,61.0,110.0,37325.0,2612750.0,59.0,70.0,20952.0,3561840.0,79.0,170.0,45895.0,12850600.0,56.0,280.0,32295.0,6459000.0,82.0,200.0,9299.0,464950.0,59.0,50.0,46727.0,3738160.0,76.0,80.0,6482.0,972300.0,65.0,150.0
41555.0,2908850.0,83.0,70.0,18476.0,3879960.0,70.0,210.0,29723.0,8025210.0,71.0,270.0,9468.0,1136160.0,51.0,120.0,13888.0,1944320.0,69.0,140.0,7166.0,358300.0,77.0,50.0,19819.0,2180090.0,90.0,110.0,25048.0,3256240.0,81.0,130.0,5985.0,1197000.0,64.0,200.0,17951.0,3590200.0,57.0,200.0,44234.0,9731480.0,56.0,220.0,7516.0,1202560.0,75.0,160.0,13150.0,3024500.0
73.0,230.0,14646.0,2489820.0,77.0,170.0,35223.0,4578990.0,80.0,130.0,29941.0,2395280.0,60.0,80.0,41476.0,11198520.0,77.0,270.0,43727.0,6121780.0,72.0,140.0,17902.0,1611180.0,65.0,90.0,7966.0,1672860.0,58.0,210.0,7918.0,1029340.0,64.0,130.0,47144.0,3300080.0,79.0,70.0,24291.0,6558570.0,76.0,270.0,32367.0,9386430.0,71.0,290.0,18093.0,4342320.0,60.0,240.0
12917.0,1937550.0,75.0,150.0,36635.0,3663500.0,71.0,100.0,49105.0,7365750.0,84.0,150.0,36483.0,8391090.0,70.0,230.0,39080.0,2344800.0,66.0,60.0,17357.0,1041420.0,76.0,60.0,9310.0,2234400.0,77.0,240.0,26264.0,6566000.0,82.0,250.0,16306.0,4239560.0,65.0,260.0,34648.0,8662000.0,86.0,250.0,22720.0,6134400.0,62.0,270.0,22115.0,5749900.0,81.0,260.0,17475.0,5242500.0
66.0,300.0,19905.0,1592400.0,72.0,80.0,25935.0,3112200.0,62.0,120.0,24791.0,6693570.0,64.0,270.0,42503.0,8075570.0,55.0,190.0,22852.0,6627080.0,58.0,290.0,46131.0,5074410.0,84.0,110.0,8085.0,404250.0,85.0,50.0,31557.0,3786840.0,82.0,120.0,39353.0,9051190.0,51.0,230.0,22174.0,3104360.0,60.0,140.0,31434.0,5029440.0,81.0,160.0,15693.0,4237110.0,61.0,270.0
13144.0,920080.0,73.0,70.0,21823.0,6546900.0,55.0,300.0,42443.0,2546580.0,54.0,60.0,41655.0,7914450.0,89.0,190.0,7510.0,826100.0,52.0,110.0,17534.0,2630100.0,68.0,150.0,21644.0,5627440.0,64.0,260.0,42755.0,8123450.0,56.0,190.0,7886.0,1656060.0,84.0,210.0,45908.0,12854240.0,83.0,280.0,11441.0,2059380.0,50.0,180.0,8582.0,1630580.0,88.0,190.0,24571.0,4668490.0
76.0,190.0,23265.0,2791800.0,68.0,120.0,16048.0,2567680.0,55.0,160.0,11929.0,2027930.0,55.0,170.0,18012.0,2161440.0,89.0,120.0,17105.0,3763100.0,52.0,220.0,48239.0,13989310.0,55.0,290.0,35378.0,3184020.0,55.0,90.0,18421.0,4421040.0,63.0,240.0,38527.0,2311620.0,73.0,60.0,33938.0,3054420.0,72.0,90.0,36001.0,4320120.0,77.0,120.0,45981.0,7816770.0,69.0,170.0
37934.0,9483500.0,87.0,250.0,28857.0,6925680.0,54.0,240.0,39481.0,4342910.0,55.0,110.0,47844.0,5262840.0,89.0,110.0,47739.0,14321700.0,83.0,300.0,35535.0,7107000.0,84.0,200.0,28409.0,4545440.0,60.0,160.0,28418.0,1989260.0,90.0,70.0,10974.0,2743500.0,77.0,250.0,49542.0,13871760.0,61.0,280.0,13770.0,1101600.0,75.0,80.0,28729.0,3447480.0,89.0,120.0,22736.0,6138720.0
64.0,270.0,13352.0,667600.0,57.0,50.0,12389.0,3468920.0,61.0,280.0,33989.0,4418570.0,51.0,130.0,39447.0,8678340.0,59.0,220.0,41665.0,10832900.0,60.0,260.0,48935.0,11255050.0,75.0,230.0,31306.0,8452620.0,79.0,270.0,9218.0,1659240.0,88.0,180.0,17097.0,2906490.0,90.0,170.0,20719.0,1864710.0,65.0,90.0,12456.0,996480.0,80.0,80.0,36767.0,9559420.0,52.0,260.0
35801.0,3938110.0,63.0,110.0,42813.0,10703250.0,78.0,250.0,40882.0,6132300.0,62.0,150.0,11227.0,2582210.0,50.0,230.0,31163.0,6544230.0,76.0,210.0,46617.0,5594040.0,57.0,120.0,43543.0,10014890.0,58.0,230.0,14871.0,3717750.0,76.0,250.0,49189.0,14264810.0,61.0,290.0,37179.0,5948640.0,63.0,160.0,21319.0,5116560.0,77.0,240.0,18855.0,3205350.0,59.0,170.0,35777.0,7513170.0
