index,Apple,Razer,Asus,Lenovo,Razer,Acer,Dell,Microsoft,Apple,HP,Razer,Razer,Lenovo,Acer,Samsung,MSI,Razer,Microsoft,Razer,HP,Dell,Acer,Dell,Dell,Apple,HP,Asus,Microsoft,Microsoft,Dell,Samsung,Lenovo,HP,Dell,MSI,Acer,Samsung,Dell,MSI,Microsoft,Samsung,Asus,Dell,Apple,Acer,Microsoft,Lenovo,MSI,Acer
16.0,32.0,16.0,8.0,64.0,32.0,32.0,4.0,8.0,16.0,8.0,64.0,8.0,16.0,16.0,8.0,8.0,8.0,4.0,32.0,4.0,4.0,8.0,32.0,8.0,32.0,8.0,8.0,4.0,4.0,32.0,4.0,4.0,4.0,8.0,32.0,32.0,4.0,4.0,4.0,4.0,16.0,16.0,64.0,16.0,64.0,32.0,64.0,4.0,16.0
32.0,32.0,4.0,4.0,64.0,16.0,32.0,64.0,16.0,4.0,64.0,8.0,64.0,64.0,64.0,4.0,64.0,8.0,64.0,8.0,32.0,8.0,16.0,8.0,4.0,16.0,64.0,4.0,64.0,8.0,4.0,64.0,64.0,4.0,16.0,32.0,16.0,4.0,8.0,16.0,64.0,16.0,8.0,64.0,32.0,8.0,32.0,16.0,64.0,32.0
16.0,32.0,16.0,4.0,64.0,32.0,16.0,64.0,8.0,8.0,16.0,4.0,16.0,64.0,16.0,32.0,64.0,32.0,16.0,64.0,8.0,16.0,64.0,32.0,4.0,4.0,16.0,64.0,4.0,32.0,4.0,16.0,32.0,32.0,64.0,4.0,8.0,64.0,64.0,16.0,8.0,32.0,8.0,16.0,8.0,64.0,16.0,32.0,32.0,64.0
32.0,4.0,32.0,64.0,4.0,32.0,16.0,4.0,32.0,4.0,64.0,16.0,4.0,32.0,4.0,32.0,4.0,8.0,32.0,64.0,16.0,4.0,8.0,16.0,8.0,16.0,32.0,64.0,32.0,8.0,16.0,64.0,16.0,4.0,8.0,4.0,16.0,4.0,4.0,8.0,8.0,8.0,4.0,64.0,32.0,4.0,16.0,32.0,8.0,16.0
64.0,64.0,64.0,8.0,16.0,64.0,4.0,16.0,8.0,4.0,8.0,32.0,64.0,8.0,8.0,4.0,8.0,32.0,64.0,4.0,32.0,64.0,64.0,32.0,4.0,4.0,64.0,32.0,32.0,16.0,4.0,8.0,32.0,16.0,16.0,8.0,64.0,4.0,4.0,4.0,8.0,4.0,32.0,32.0,32.0,32.0,8.0,32.0,4.0,32.0
64.0,8.0,16.0,16.0,8.0,8.0,4.0,8.0,64.0,64.0,64.0,64.0,16.0,32.0,64.0,8.0,16.0,16.0,32.0,16.0,8.0,8.0,32.0,4.0,32.0,32.0,8.0,8.0,32.0,32.0,16.0,16.0,8.0,32.0,64.0,16.0,4.0,4.0,16.0,16.0,4.0,4.0,16.0,4.0,4.0,4.0,32.0,4.0,32.0,32.0
16.0,32.0,32.0,32.0,16.0,16.0,4.0,64.0,16.0,32.0,4.0,32.0,4.0,16.0,64.0,4.0,32.0,4.0,16.0,4.0,8.0,4.0,16.0,32.0,8.0,4.0,8.0,4.0,64.0,64.0,16.0,32.0,32.0,64.0,32.0,32.0,32.0,32.0,64.0,4.0,16.0,4.0,64.0,64.0,32.0,64.0,64.0,8.0,16.0,8.0
16.0,32.0,4.0,64.0,32.0,4.0,4.0,8.0,8.0,16.0,32.0,8.0,16.0,64.0,4.0,4.0,32.0,16.0,16.0,32.0,4.0,8.0,8.0,16.0,32.0,32.0,8.0,32.0,16.0,32.0,4.0,4.0,16.0,32.0,64.0,4.0,16.0,16.0,8.0,64.0,8.0,64.0,32.0,64.0,16.0,64.0,4.0,16.0,8.0,4.0
64.0,64.0,4.0,4.0,8.0,8.0,8.0,16.0,64.0,8.0,8.0,32.0,16.0,64.0,16.0,16.0,16.0,8.0,16.0,8.0,32.0,64.0,16.0,64.0,32.0,64.0,8.0,64.0,4.0,16.0,32.0,8.0,32.0,16.0,8.0,8.0,32.0,32.0,4.0,8.0,16.0,16.0,64.0,64.0,16.0,8.0,32.0,64.0,8.0,64.0
8.0,4.0,32.0,32.0,8.0,64.0,16.0,32.0,4.0,16.0,8.0,8.0,64.0,8.0,32.0,64.0,4.0,32.0,16.0,8.0,32.0,64.0,64.0,32.0,32.0,4.0,8.0,64.0,64.0,4.0,32.0,64.0,4.0,32.0,16.0,16.0,4.0,4.0,64.0,16.0,32.0,8.0,8.0,64.0,8.0,8.0,16.0,64.0,4.0,8.0
4.0,8.0,16.0,16.0,8.0,32.0,32.0,32.0,64.0,4.0,16.0,4.0,32.0,64.0,4.0,64.0,8.0,16.0,8.0,16.0,32.0,4.0,32.0,64.0,32.0,16.0,64.0,32.0,16.0,32.0,8.0,32.0,64.0,64.0,4.0,8.0,8.0,8.0,64.0,16.0,4.0,32.0,32.0,16.0,8.0,32.0,32.0,64.0,64.0,64.0
64.0,16.0,64.0,32.0,32.0,4.0,8.0,8.0,16.0,16.0,32.0,16.0,16.0,64.0,16.0,8.0,64.0,64.0,64.0,32.0,64.0,4.0,64.0,4.0,32.0,16.0,64.0,8.0,16.0,16.0,4.0,64.0,64.0,8.0,16.0,4.0,4.0,16.0,16.0,8.0,4.0,8.0,16.0,4.0,4.0,16.0,16.0,64.0,8.0,4.0
64.0,64.0,8.0,64.0,8.0,32.0,32.0,64.0,64.0,4.0,64.0,64.0,4.0,8.0,8.0,32.0,32.0,4.0,16.0,16.0,8.0,64.0,16.0,4.0,16.0,16.0,16.0,16.0,64.0,16.0,64.0,32.0,64.0,4.0,16.0,16.0,64.0,4.0,16.0,8.0,4.0,32.0,32.0,16.0,32.0,8.0,4.0,8.0,8.0,32.0
16.0,8.0,8.0,8.0,64.0,64.0,32.0,64.0,32.0,64.0,16.0,32.0,4.0,16.0,4.0,64.0,4.0,64.0,8.0,4.0,16.0,4.0,32.0,64.0,16.0,8.0,16.0,64.0,32.0,64.0,64.0,8.0,8.0,64.0,64.0,8.0,32.0,8.0,8.0,32.0,64.0,8.0,8.0,32.0,32.0,16.0,64.0,4.0,16.0,16.0
8.0,4.0,32.0,16.0,4.0,4.0,64.0,4.0,64.0,32.0,4.0,32.0,4.0,4.0,32.0,8.0,16.0,4.0,8.0,16.0,64.0,16.0,8.0,16.0,64.0,64.0,32.0,32.0,32.0,4.0,4.0,16.0,8.0,16.0,16.0,4.0,32.0,64.0,8.0,8.0,64.0,4.0,32.0,32.0,16.0,4.0,16.0,32.0,64.0,64.0
8.0,4.0,8.0,8.0,8.0,4.0,16.0,16.0,32.0,64.0,8.0,8.0,32.0,64.0,16.0,64.0,4.0,8.0,4.0,8.0,64.0,64.0,64.0,32.0,64.0,16.0,4.0,32.0,16.0,4.0,8.0,16.0,16.0,64.0,4.0,4.0,8.0,8.0,32.0,64.0,8.0,4.0,32.0,32.0,32.0,4.0,4.0,4.0,4.0,16.0
8.0,16.0,64.0,32.0,32.0,64.0,8.0,8.0,8.0,8.0,64.0,16.0,64.0,16.0,16.0,64.0,64.0,32.0,32.0,32.0,32.0,8.0,32.0,8.0,4.0,64.0,64.0,8.0,4.0,4.0,16.0,64.0,8.0,4.0,4.0,8.0,32.0,64.0,16.0,4.0,8.0,8.0,64.0,32.0,4.0,16.0,4.0,32.0,4.0,64.0
64.0,16.0,16.0,16.0,32.0,4.0,8.0,8.0,32.0,4.0,8.0,4.0,4.0,16.0,64.0,32.0,8.0,32.0,32.0,16.0,64.0,32.0,32.0,32.0,8.0,64.0,16.0,4.0,16.0,16.0,16.0,16.0,8.0,4.0,16.0,32.0,8.0,64.0,8.0,16.0,32.0,32.0,8.0,8.0,8.0,16.0,64.0,8.0,32.0,8.0
4.0,16.0,32.0,16.0,16.0,16.0,16.0,64.0,4.0,32.0,8.0,8.0,64.0,64.0,8.0,8.0,8.0,4.0,64.0,8.0,16.0,32.0,64.0,64.0,64.0,4.0,4.0,64.0,64.0,64.0,8.0,16.0,16.0,64.0,4.0,8.0,32.0,32.0,8.0,4.0,16.0,32.0,16.0,8.0,4.0,16.0,16.0,32.0,16.0,8.0
64.0,64.0,16.0,4.0,32.0,32.0,8.0,8.0,8.0,8.0,4.0,64.0,64.0,32.0,8.0,32.0,8.0,8.0,64.0,4.0,16.0,64.0,32.0,64.0,4.0,8.0,32.0,64.0,16.0,16.0,8.0,32.0,16.0,32.0,64.0,32.0,8.0,64.0,4.0,4.0,32.0,64.0,64.0,16.0,64.0,8.0,64.0,16.0,8.0,16.0
16.0,8.0,16.0,64.0,16.0,64.0,4.0,16.0,8.0,8.0,16.0,32.0,64.0,8.0,16.0,8.0,16.0,4.0,4.0,4.0,8.0,4.0,64.0,64.0,8.0,4.0,64.0,32.0,16.0,8.0,16.0,64.0,4.0,16.0,32.0,8.0,16.0,8.0,64.0,32.0,64.0,4.0,8.0,16.0,16.0,32.0,32.0,4.0,64.0,4.0
4.0,64.0,8.0,4.0,32.0,16.0,8.0,16.0,4.0,64.0,8.0,16.0,16.0,4.0,16.0,8.0,32.0,64.0,8.0,4.0,4.0,16.0,8.0,8.0,16.0,32.0,16.0,8.0,64.0,8.0,8.0,32.0,8.0,4.0,32.0,16.0,4.0,64.0,4.0,16.0,16.0,4.0,4.0,4.0,32.0,8.0,64.0,32.0,8.0,32.0
4.0,32.0,4.0,16.0,8.0,4.0,4.0,64.0,32.0,64.0,16.0,8.0,64.0,4.0,32.0,32.0,32.0,64.0,32.0,32.0,64.0,16.0,8.0,8.0,8.0,16.0,32.0,16.0,4.0,16.0,16.0,64.0,8.0,32.0,64.0,32.0,4.0,32.0,64.0,64.0,32.0,16.0,16.0,64.0,64.0,16.0,4.0,32.0,4.0,32.0
4.0,32.0,4.0,8.0,64.0,4.0,8.0,16.0,16.0,64.0,32.0,64.0,4.0,32.0,8.0,16.0,8.0,32.0,8.0,4.0,4.0,4.0,64.0,8.0,64.0,64.0,64.0,32.0,32.0,16.0,4.0,64.0,8.0,16.0,64.0,4.0,64.0,8.0,4.0,16.0,16.0,32.0,16.0,4.0,64.0,16.0,8.0,64.0,16.0,8.0
32.0,4.0,64.0,4.0,32.0,4.0,32.0,4.0,16.0,64.0,4.0,8.0,16.0,8.0,64.0,32.0,8.0,8.0,4.0,64.0,64.0,4.0,4.0,4.0,64.0,64.0,4.0,8.0,32.0,16.0,16.0,4.0,64.0,4.0,4.0,32.0,32.0,4.0,32.0,16.0,4.0,32.0,4.0,16.0,4.0,8.0,4.0,32.0,8.0,8.0
16.0,8.0,16.0,16.0,32.0,8.0,8.0,8.0,64.0,8.0,32.0,8.0,64.0,16.0,4.0,4.0,16.0,32.0,8.0,4.0,16.0,32.0,16.0,8.0,32.0,4.0,8.0,16.0,16.0,16.0,64.0,8.0,4.0,64.0,4.0,16.0,32.0,4.0,4.0,32.0,4.0,32.0,8.0,64.0,8.0,32.0,4.0,32.0,64.0,16.0
4.0,8.0,32.0,32.0,32.0,64.0,8.0,8.0,32.0,16.0,8.0,64.0,32.0,32.0,4.0,64.0,16.0,4.0,16.0,4.0,64.0,8.0,32.0,8.0,8.0,64.0,8.0,4.0,8.0,32.0,8.0,64.0,16.0,4.0,4.0,32.0,4.0,16.0,4.0,4.0,16.0,4.0,32.0,32.0,32.0,8.0,4.0,4.0,32.0,64.0
4.0,64.0,8.0,16.0,16.0,4.0,32.0,16.0,32.0,32.0,16.0,8.0,64.0,4.0,64.0,4.0,16.0,64.0,4.0,16.0,32.0,16.0,64.0,64.0,4.0,8.0,16.0,4.0,8.0,16.0,4.0,16.0,64.0,8.0,32.0,8.0,8.0,32.0,4.0,64.0,4.0,8.0,8.0,4.0,64.0,4.0,64.0,32.0,4.0,64.0
16.0,4.0,64.0,64.0,32.0,8.0,32.0,4.0,4.0,16.0,4.0,32.0,8.0,8.0,32.0,32.0,16.0,4.0,32.0,4.0,16.0,4.0,8.0,16.0,64.0,8.0,64.0,64.0,16.0,8.0,8.0,8.0,8.0,8.0,8.0,64.0,32.0,16.0,32.0,4.0,64.0,32.0,4.0,16.0,16.0,16.0,16.0,4.0,64.0,32.0
4.0,16.0,16.0,32.0,8.0,16.0,4.0,64.0,64.0,64.0,16.0,64.0,16.0,32.0,64.0,4.0,4.0,4.0,16.0,4.0,8.0,32.0,32.0,8.0,16.0,4.0,64.0,64.0,32.0,64.0,32.0,4.0,8.0,32.0,8.0,4.0,4.0,16.0,64.0,8.0,8.0,64.0,4.0,16.0,8.0,32.0,8.0,32.0,64.0,64.0
16.0,8.0,8.0,4.0,4.0,32.0,16.0,32.0,8.0,32.0,4.0,4.0,16.0,4.0,4.0,8.0,64.0,32.0,4.0,8.0,64.0,32.0,8.0,64.0,8.0,64.0,64.0,4.0,32.0,4.0,16.0,64.0,16.0,8.0,64.0,32.0,32.0,32.0,4.0,4.0,8.0,32.0,64.0,4.0,8.0,16.0,64.0,4.0,8.0,16.0
4.0,64.0,16.0,32.0,8.0,8.0,64.0,32.0,32.0,64.0,8.0,8.0,16.0,4.0,32.0,8.0,4.0,8.0,16.0,4.0,4.0,16.0,32.0,16.0,8.0,4.0,64.0,32.0,16.0,4.0,16.0,64.0,32.0,16.0,4.0,32.0,4.0,64.0,64.0,4.0,16.0,4.0,64.0,8.0,32.0,64.0,8.0,32.0,64.0,32.0
32.0,8.0,4.0,4.0,64.0,8.0,4.0,32.0,32.0,8.0,64.0,16.0,4.0,4.0,16.0,4.0,8.0,16.0,16.0,16.0,8.0,64.0,64.0,4.0,16.0,8.0,64.0,32.0,16.0,16.0,64.0,32.0,32.0,64.0,32.0,64.0,8.0,4.0,8.0,4.0,64.0,4.0,32.0,16.0,8.0,8.0,8.0,32.0,8.0,8.0
64.0,8.0,16.0,8.0,8.0,4.0,16.0,4.0,4.0,64.0,32.0,16.0,32.0,64.0,16.0,32.0,64.0,16.0,4.0,32.0,4.0,64.0,4.0,64.0,32.0,32.0,16.0,4.0,16.0,8.0,64.0,8.0,4.0,4.0,16.0,32.0,4.0,4.0,32.0,64.0,4.0,32.0,8.0,4.0,32.0,64.0,16.0,32.0,32.0,32.0
64.0,64.0,8.0,8.0,16.0,8.0,64.0,4.0,64.0,16.0,4.0,4.0,64.0,32.0,8.0,64.0,4.0,32.0,8.0,16.0,4.0,8.0,8.0,8.0,4.0,16.0,32.0,64.0,8.0,32.0,64.0,4.0,8.0,32.0,16.0,64.0,32.0,16.0,32.0,4.0,16.0,64.0,64.0,8.0,16.0,32.0,8.0,16.0,32.0,8.0
4.0,16.0,64.0,8.0,64.0,4.0,4.0,16.0,8.0,4.0,4.0,32.0,4.0,64.0,16.0,16.0,64.0,16.0,8.0,32.0,4.0,64.0,4.0,8.0,16.0,16.0,64.0,16.0,4.0,64.0,16.0,32.0,4.0,4.0,64.0,32.0,16.0,64.0,16.0,4.0,4.0,16.0,16.0,8.0,16.0,4.0,8.0,4.0,16.0,4.0
64.0,4.0,4.0,64.0,16.0,4.0,4.0,8.0,16.0,16.0,4.0,8.0,16.0,64.0,8.0,8.0,8.0,32.0,4.0,64.0,8.0,16.0,16.0,4.0,64.0,16.0,64.0,4.0,8.0,64.0,8.0,32.0,16.0,64.0,8.0,64.0,32.0,8.0,64.0,4.0,16.0,16.0,4.0,16.0,16.0,4.0,32.0,8.0,16.0,16.0
8.0,32.0,4.0,16.0,16.0,64.0,32.0,8.0,8.0,8.0,16.0,16.0,16.0,64.0,64.0,16.0,32.0,16.0,8.0,32.0,4.0,64.0,32.0,4.0,32.0,16.0,64.0,16.0,32.0,64.0,64.0,8.0,64.0,16.0,32.0,64.0,4.0,64.0,4.0,8.0,4.0,64.0,16.0,8.0,4.0,8.0,32.0,64.0,8.0,32.0
8.0,8.0,8.0,16.0,16.0,4.0,64.0,32.0,4.0,8.0,16.0,16.0,32.0,4.0,8.0,16.0,8.0,64.0,8.0,4.0,32.0,8.0,16.0,64.0,64.0,8.0,4.0,8.0,4.0,32.0,4.0,16.0,64.0,32.0,4.0,16.0,16.0,4.0,4.0,32.0,4.0,4.0,16.0,4.0,4.0,32.0,4.0,64.0,32.0,4.0
8.0,64.0,4.0,32.0,16.0,64.0,16.0,16.0,4.0,8.0,16.0,4.0,8.0,64.0,8.0,4.0,4.0,64.0,4.0,8.0,4.0,64.0,16.0,16.0,16.0,4.0,8.0,16.0,64.0,16.0,16.0,4.0,64.0,32.0,8.0,8.0,32.0,64.0,4.0,32.0,64.0,32.0,16.0,32.0,32.0,64.0,32.0,4.0,32.0,8.0
16.0,8.0,4.0,32.0,16.0,16.0,8.0,8.0,4.0,8.0,4.0,4.0,32.0,16.0,32.0,64.0,4.0,8.0,32.0,64.0,8.0,32.0,16.0,4.0,32.0,32.0,8.0,16.0,16.0,4.0,16.0,64.0,8.0,4.0,16.0,8.0,64.0,8.0,8.0,16.0,8.0,32.0,8.0,4.0,64.0,32.0,4.0,32.0,64.0,4.0
32.0,32.0,8.0,8.0,8.0,8.0,16.0,16.0,16.0,4.0,16.0,32.0,64.0,32.0,16.0,16.0,32.0,4.0,32.0,64.0,32.0,64.0,16.0,16.0,64.0,64.0,32.0,8.0,16.0,32.0,8.0,64.0,64.0,16.0,32.0,8.0,8.0,32.0,16.0,32.0,4.0,8.0,32.0,4.0,32.0,8.0,64.0,64.0,8.0,4.0
8.0,64.0,8.0,4.0,8.0,16.0,16.0,64.0,16.0,32.0,16.0,32.0,16.0,32.0,64.0,32.0,8.0,64.0,4.0,64.0,64.0,16.0,32.0,16.0,16.0,32.0,16.0,4.0,64.0,16.0,16.0,32.0,4.0,16.0,4.0,16.0,8.0,64.0,4.0,8.0,16.0,4.0,8.0,32.0,32.0,32.0,8.0,8.0,16.0,4.0
16.0,16.0,16.0,64.0,32.0,32.0,16.0,16.0,8.0,16.0,64.0,4.0,64.0,32.0,16.0,64.0,32.0,4.0,64.0,4.0,8.0,4.0,8.0,8.0,8.0,16.0,16.0,8.0,32.0,4.0,16.0,8.0,8.0,16.0,8.0,4.0,4.0,16.0,32.0,64.0,32.0,32.0,32.0,16.0,32.0,32.0,32.0,32.0,32.0,16.0
8.0,64.0,64.0,16.0,64.0,8.0,64.0,32.0,4.0,16.0,16.0,32.0,4.0,64.0,16.0,4.0,16.0,8.0,32.0,4.0,8.0,8.0,32.0,32.0,16.0,32.0,8.0,8.0,4.0,16.0,16.0,32.0,16.0,32.0,32.0,8.0,8.0,64.0,64.0,8.0,16.0,32.0,4.0,16.0,64.0,4.0,16.0,8.0,4.0,64.0
32.0,32.0,32.0,16.0,64.0,32.0,32.0,16.0,64.0,64.0,4.0,16.0,64.0,4.0,4.0,32.0,64.0,32.0,8.0,16.0,8.0,16.0,16.0,64.0,4.0,16.0,4.0,4.0,64.0,4.0,4.0,64.0,8.0,4.0,16.0,32.0,8.0,16.0,64.0,32.0,32.0,32.0,4.0,4.0,4.0,4.0,16.0,64.0,32.0,32.0
