Age,Is_Senior,Marital_Status,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Safe_Driver_Discount,Multi_Policy_Discount,Bundling_Discount,Total_Discounts,Source_of_Lead,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Credit_Score,Premium_Adjustment_Credit,Region,Premium_Adjustment_Region,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23
99.0,723.0,-50.0,50.0,31.0,0.0,0.0,50.0,1.0,50.0,0.0,2300.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,99.0,697.0,50.0,0.0,41.0,0.0,0.0,0.0,1.0,100.0,-200.0,2200.0,0.0,0.0,0.0,0.0,18.0,1.0,9.0,2.0,2.0,11.0,676.0,50.0,100.0,22.0,0.0,0.0,50.0
1.0,50.0,-200.0,2050.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,3.0,99.0,733.0,-50.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,1.0,0.0,0.0,50.0,24.0,0.0,6.0,1.0,1.0,99.0,710.0,-50.0,100.0,30.0,0.0,86.0,0.0,0.0,0.0,0.0,2286.0,0.0,0.0,0.0,0.0
21.0,1.0,6.0,1.0,2.0,5.0,728.0,-50.0,100.0,35.0,0.0,0.0,100.0,0.0,0.0,-200.0,2000.0,0.0,1.0,0.0,50.0,13.0,0.0,3.0,1.0,2.0,99.0,738.0,-50.0,50.0,30.0,0.0,0.0,50.0,0.0,0.0,0.0,2350.0,0.0,0.0,0.0,0.0,17.0,1.0,8.0,2.0,1.0,4.0,688.0,50.0
100.0,67.0,1.0,86.0,50.0,0.0,0.0,0.0,2236.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,1.0,3.0,3.0,740.0,-50.0,0.0,39.0,0.0,86.0,0.0,0.0,0.0,0.0,2236.0,0.0,0.0,1.0,50.0,27.0,0.0,5.0,2.0,2.0,99.0,706.0,-50.0,100.0,24.0,0.0,86.0,50.0,0.0,0.0,0.0
2436.0,0.0,0.0,0.0,0.0,26.0,0.0,4.0,2.0,1.0,99.0,690.0,50.0,100.0,52.0,0.0,0.0,50.0,0.0,0.0,0.0,2200.0,1.0,0.0,0.0,50.0,28.0,0.0,4.0,2.0,1.0,99.0,701.0,-50.0,100.0,21.0,0.0,0.0,50.0,0.0,0.0,0.0,2350.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0
2.0,2.0,6.0,648.0,50.0,100.0,43.0,0.0,86.0,0.0,0.0,0.0,0.0,2186.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,2.0,3.0,3.0,844.0,-50.0,0.0,18.0,0.0,0.0,50.0,0.0,0.0,0.0,2250.0,0.0,0.0,0.0,0.0,30.0,0.0,4.0,3.0,2.0,99.0,670.0,50.0,0.0,20.0,0.0
86.0,50.0,1.0,100.0,-200.0,2186.0,0.0,1.0,0.0,50.0,25.0,1.0,3.0,2.0,3.0,3.0,718.0,-50.0,100.0,42.0,0.0,0.0,0.0,1.0,50.0,0.0,2100.0,1.0,1.0,0.0,100.0,5.0,1.0,4.0,4.0,1.0,6.0,739.0,-50.0,50.0,51.0,0.0,86.0,0.0,0.0,0.0,0.0,2286.0,0.0,1.0
0.0,50.0,29.0,1.0,3.0,3.0,3.0,9.0,629.0,50.0,50.0,42.0,0.0,86.0,0.0,0.0,0.0,-200.0,2036.0,0.0,1.0,0.0,50.0,6.0,0.0,4.0,4.0,2.0,99.0,735.0,-50.0,100.0,38.0,0.0,86.0,100.0,0.0,0.0,0.0,2186.0,1.0,1.0,0.0,100.0,16.0,1.0,2.0,2.0,1.0,3.0
850.0,-50.0,0.0,35.0,0.0,86.0,50.0,1.0,100.0,0.0,2386.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,2.0,99.0,727.0,-50.0,50.0,18.0,0.0,0.0,50.0,1.0,100.0,0.0,2400.0,0.0,1.0,0.0,50.0,30.0,0.0,3.0,2.0,1.0,99.0,692.0,50.0,100.0,29.0,0.0,0.0,50.0,1.0
100.0,-200.0,2050.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,5.0,1.0,99.0,764.0,-50.0,0.0,33.0,0.0,86.0,100.0,0.0,0.0,0.0,2386.0,0.0,0.0,0.0,0.0,27.0,0.0,9.0,6.0,2.0,99.0,733.0,-50.0,100.0,55.0,1.0,86.0,50.0,0.0,0.0,0.0,2236.0,0.0,1.0,0.0,50.0,13.0
1.0,3.0,0.0,2.0,1.0,745.0,-50.0,50.0,45.0,0.0,86.0,50.0,0.0,0.0,-200.0,2186.0,1.0,0.0,0.0,50.0,5.0,0.0,6.0,1.0,3.0,99.0,650.0,50.0,100.0,18.0,0.0,0.0,50.0,1.0,50.0,-200.0,2100.0,0.0,0.0,0.0,0.0,20.0,0.0,3.0,2.0,1.0,99.0,721.0,-50.0,100.0
44.0,0.0,0.0,50.0,0.0,0.0,-200.0,1950.0,1.0,1.0,0.0,100.0,26.0,1.0,8.0,2.0,1.0,9.0,748.0,-50.0,100.0,34.0,0.0,86.0,100.0,0.0,0.0,-200.0,2086.0,0.0,0.0,1.0,50.0,25.0,0.0,3.0,3.0,1.0,99.0,761.0,-50.0,50.0,29.0,0.0,0.0,0.0,0.0,0.0,-200.0,2050.0
1.0,0.0,0.0,50.0,24.0,1.0,8.0,1.0,2.0,5.0,668.0,50.0,100.0,49.0,0.0,86.0,0.0,0.0,0.0,0.0,2286.0,1.0,1.0,0.0,100.0,27.0,1.0,2.0,2.0,1.0,9.0,674.0,50.0,100.0,55.0,1.0,0.0,50.0,0.0,0.0,-200.0,2150.0,0.0,0.0,0.0,0.0,30.0,0.0,8.0,4.0
3.0,99.0,670.0,50.0,100.0,53.0,0.0,0.0,0.0,1.0,100.0,0.0,2150.0,0.0,1.0,0.0,50.0,16.0,0.0,6.0,3.0,2.0,99.0,761.0,-50.0,0.0,27.0,0.0,0.0,100.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,16.0,1.0,4.0,2.0,2.0,3.0,769.0,-50.0,0.0,35.0,0.0,0.0
0.0,0.0,0.0,0.0,2050.0,0.0,1.0,0.0,50.0,7.0,1.0,5.0,1.0,3.0,1.0,750.0,-50.0,0.0,44.0,0.0,0.0,100.0,0.0,0.0,-200.0,2050.0,0.0,0.0,0.0,0.0,20.0,1.0,6.0,2.0,2.0,7.0,755.0,-50.0,50.0,54.0,0.0,0.0,50.0,1.0,50.0,0.0,2250.0,0.0,0.0,0.0
0.0,11.0,1.0,4.0,0.0,1.0,7.0,768.0,-50.0,50.0,32.0,0.0,0.0,50.0,1.0,50.0,-200.0,2100.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,5.0,681.0,50.0,0.0,37.0,0.0,86.0,50.0,0.0,0.0,-200.0,2036.0,0.0,1.0,0.0,50.0,15.0,1.0,5.0,1.0,1.0,3.0,744.0
-50.0,50.0,23.0,0.0,86.0,50.0,0.0,0.0,0.0,2286.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,1.0,3.0,2.0,781.0,-50.0,50.0,22.0,0.0,86.0,50.0,1.0,50.0,-200.0,2136.0,0.0,1.0,0.0,50.0,3.0,0.0,1.0,0.0,2.0,99.0,735.0,-50.0,100.0,52.0,0.0,0.0,50.0,0.0,0.0
0.0,2250.0,0.0,0.0,0.0,0.0,29.0,0.0,6.0,0.0,2.0,99.0,735.0,-50.0,100.0,60.0,1.0,86.0,0.0,0.0,0.0,0.0,2336.0,0.0,1.0,0.0,50.0,2.0,1.0,6.0,2.0,2.0,1.0,675.0,50.0,100.0,38.0,0.0,86.0,50.0,0.0,0.0,0.0,2336.0,0.0,0.0,0.0,0.0,14.0,1.0
6.0,2.0,3.0,13.0,705.0,-50.0,100.0,55.0,1.0,86.0,50.0,0.0,0.0,-200.0,2086.0,0.0,0.0,1.0,50.0,5.0,1.0,6.0,3.0,2.0,10.0,702.0,-50.0,100.0,45.0,0.0,86.0,50.0,3.0,150.0,-200.0,2136.0,1.0,1.0,0.0,100.0,24.0,0.0,2.0,4.0,3.0,99.0,738.0,-50.0,50.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,2250.0,0.0,1.0,0.0,50.0,4.0,1.0,2.0,2.0,1.0,8.0,639.0,50.0,100.0,45.0,0.0,0.0,50.0,0.0,0.0,0.0,2250.0,0.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0,2.0,99.0,719.0,-50.0,100.0,63.0,1.0,0.0,50.0,0.0,0.0,0.0,2300.0,0.0
0.0,1.0,50.0,7.0,0.0,6.0,3.0,2.0,99.0,658.0,50.0,100.0,39.0,0.0,0.0,50.0,1.0,50.0,0.0,2200.0,1.0,0.0,0.0,50.0,25.0,0.0,3.0,1.0,3.0,99.0,774.0,-50.0,50.0,63.0,1.0,0.0,50.0,2.0,400.0,0.0,2550.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,1.0,2.0
99.0,775.0,-50.0,0.0,18.0,0.0,86.0,50.0,1.0,50.0,0.0,2336.0,0.0,1.0,0.0,50.0,20.0,1.0,5.0,0.0,1.0,7.0,616.0,50.0,0.0,52.0,0.0,86.0,50.0,0.0,0.0,-200.0,2036.0,1.0,0.0,0.0,50.0,21.0,1.0,5.0,3.0,2.0,13.0,775.0,-50.0,50.0,41.0,0.0,0.0,50.0
0.0,0.0,0.0,2250.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,2.0,1.0,99.0,720.0,-50.0,100.0,35.0,0.0,86.0,50.0,1.0,100.0,0.0,2386.0,0.0,1.0,0.0,50.0,2.0,0.0,9.0,4.0,1.0,99.0,692.0,50.0,0.0,41.0,0.0,86.0,100.0,1.0,50.0,-200.0,2186.0,0.0,0.0,0.0,0.0
2.0,0.0,8.0,1.0,2.0,99.0,739.0,-50.0,50.0,18.0,0.0,0.0,50.0,1.0,50.0,0.0,2200.0,0.0,1.0,1.0,100.0,10.0,0.0,4.0,0.0,3.0,99.0,709.0,-50.0,100.0,36.0,0.0,86.0,50.0,0.0,0.0,0.0,2386.0,0.0,0.0,0.0,0.0,18.0,0.0,6.0,0.0,3.0,99.0,699.0,50.0
50.0,45.0,0.0,86.0,0.0,1.0,100.0,-200.0,2236.0,0.0,0.0,0.0,0.0,17.0,0.0,9.0,6.0,3.0,99.0,634.0,50.0,50.0,62.0,1.0,86.0,50.0,0.0,0.0,0.0,2236.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,2.0,2.0,3.0,725.0,-50.0,0.0,32.0,0.0,86.0,0.0,0.0,0.0,-200.0
2036.0,1.0,0.0,0.0,50.0,11.0,1.0,4.0,1.0,2.0,3.0,747.0,-50.0,100.0,27.0,0.0,86.0,100.0,0.0,0.0,-200.0,2086.0,0.0,0.0,0.0,0.0,17.0,1.0,6.0,1.0,1.0,5.0,719.0,-50.0,0.0,32.0,0.0,86.0,100.0,1.0,50.0,0.0,2286.0,1.0,1.0,1.0,150.0,29.0,1.0,6.0
2.0,2.0,3.0,651.0,50.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,30.0,0.0,9.0,4.0,2.0,99.0,655.0,50.0,100.0,44.0,0.0,0.0,50.0,0.0,0.0,0.0,2350.0,0.0,0.0,0.0,0.0,21.0,1.0,7.0,2.0,2.0,7.0,699.0,50.0,100.0,32.0,0.0
86.0,100.0,0.0,0.0,-200.0,2086.0,0.0,0.0,0.0,0.0,27.0,0.0,7.0,2.0,2.0,99.0,801.0,-50.0,0.0,47.0,0.0,0.0,50.0,0.0,0.0,0.0,2150.0,0.0,1.0,0.0,50.0,15.0,0.0,4.0,1.0,2.0,99.0,724.0,-50.0,50.0,41.0,0.0,86.0,50.0,0.0,0.0,0.0,2286.0,0.0,0.0
0.0,0.0,10.0,0.0,3.0,2.0,2.0,99.0,756.0,-50.0,50.0,54.0,0.0,86.0,0.0,1.0,50.0,0.0,2236.0,0.0,1.0,0.0,50.0,4.0,1.0,6.0,5.0,3.0,3.0,723.0,-50.0,50.0,29.0,0.0,86.0,100.0,0.0,0.0,0.0,2486.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,2.0,3.0,99.0
682.0,50.0,100.0,35.0,0.0,0.0,50.0,0.0,0.0,0.0,2250.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,99.0,663.0,50.0,0.0,34.0,0.0,86.0,0.0,0.0,0.0,0.0,2236.0,1.0,0.0,0.0,50.0,15.0,1.0,4.0,3.0,2.0,3.0,850.0,-50.0,100.0,18.0,0.0,0.0,100.0,1.0
50.0,0.0,2300.0,0.0,0.0,0.0,0.0,27.0,1.0,5.0,1.0,1.0,3.0,734.0,-50.0,50.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,1.0,0.0,50.0,24.0,0.0,3.0,0.0,2.0,99.0,687.0,50.0,50.0,43.0,0.0,0.0,50.0,0.0,0.0,-200.0,1900.0,1.0,0.0,0.0,50.0,5.0
1.0,9.0,1.0,2.0,7.0,706.0,-50.0,0.0,40.0,0.0,0.0,0.0,1.0,50.0,0.0,2200.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,2.0,2.0,99.0,708.0,-50.0,50.0,36.0,0.0,0.0,0.0,0.0,0.0,-200.0,1800.0,1.0,1.0,0.0,100.0,7.0,0.0,2.0,2.0,1.0,99.0,717.0,-50.0,0.0
18.0,0.0,86.0,100.0,0.0,0.0,0.0,2186.0,1.0,1.0,0.0,100.0,8.0,1.0,5.0,1.0,3.0,8.0,744.0,-50.0,0.0,33.0,0.0,86.0,0.0,2.0,100.0,0.0,2336.0,0.0,0.0,0.0,0.0,12.0,1.0,7.0,2.0,2.0,12.0,796.0,-50.0,50.0,34.0,0.0,0.0,0.0,1.0,50.0,0.0,2100.0
1.0,0.0,0.0,50.0,15.0,0.0,3.0,1.0,1.0,99.0,701.0,-50.0,0.0,27.0,0.0,0.0,100.0,0.0,0.0,-200.0,2150.0,1.0,0.0,0.0,50.0,3.0,0.0,3.0,3.0,2.0,99.0,638.0,50.0,100.0,37.0,0.0,86.0,100.0,0.0,0.0,0.0,2236.0,0.0,0.0,1.0,50.0,22.0,1.0,5.0,4.0
1.0,8.0,716.0,-50.0,0.0,46.0,0.0,86.0,0.0,1.0,200.0,0.0,2286.0,1.0,1.0,0.0,100.0,9.0,1.0,7.0,1.0,3.0,5.0,726.0,-50.0,0.0,68.0,1.0,86.0,50.0,1.0,100.0,0.0,2486.0,0.0,0.0,0.0,0.0,11.0,1.0,10.0,0.0,1.0,2.0,668.0,50.0,50.0,42.0,0.0,86.0
100.0,1.0,200.0,-200.0,2436.0,1.0,0.0,0.0,50.0,20.0,0.0,2.0,0.0,1.0,99.0,697.0,50.0,100.0,43.0,0.0,86.0,50.0,0.0,0.0,0.0,2286.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,1.0,2.0,99.0,721.0,-50.0,50.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0
0.0,8.0,1.0,6.0,2.0,2.0,4.0,740.0,-50.0,0.0,18.0,0.0,0.0,100.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,3.0,99.0,593.0,50.0,100.0,39.0,0.0,86.0,50.0,0.0,0.0,-200.0,2136.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,3.0,1.0,99.0,718.0
-50.0,100.0,40.0,0.0,0.0,100.0,0.0,0.0,-200.0,2050.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,1.0,2.0,4.0,744.0,-50.0,50.0,76.0,1.0,0.0,100.0,1.0,100.0,0.0,2400.0,1.0,0.0,0.0,50.0,1.0,1.0,9.0,4.0,1.0,2.0,673.0,50.0,50.0,37.0,0.0,86.0,50.0,0.0,0.0
0.0,2336.0,0.0,0.0,0.0,0.0,18.0,0.0,6.0,2.0,3.0,99.0,697.0,50.0,0.0,44.0,0.0,86.0,100.0,0.0,0.0,0.0,2336.0,1.0,0.0,0.0,50.0,13.0,1.0,6.0,3.0,2.0,8.0,745.0,-50.0,100.0,39.0,0.0,0.0,0.0,0.0,0.0,-200.0,1850.0,0.0,1.0,0.0,50.0,12.0,1.0
7.0,1.0,3.0,11.0,740.0,-50.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,-200.0,1800.0,1.0,1.0,0.0,100.0,5.0,1.0,6.0,2.0,1.0,8.0,727.0,-50.0,0.0,57.0,1.0,86.0,0.0,1.0,50.0,0.0,2236.0,0.0,1.0,0.0,50.0,7.0,1.0,5.0,0.0,2.0,4.0,746.0,-50.0,50.0,51.0
0.0,0.0,50.0,1.0,100.0,0.0,2300.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,3.0,99.0,705.0,-50.0,50.0,51.0,0.0,86.0,50.0,1.0,50.0,-200.0,2086.0,0.0,1.0,0.0,50.0,9.0,1.0,8.0,1.0,1.0,9.0,705.0,-50.0,50.0,26.0,0.0,86.0,100.0,0.0,0.0,-200.0,2186.0,0.0
0.0,0.0,0.0,4.0,1.0,3.0,1.0,2.0,5.0,730.0,-50.0,100.0,61.0,1.0,86.0,50.0,0.0,0.0,-200.0,2036.0,1.0,0.0,0.0,50.0,23.0,1.0,3.0,1.0,2.0,1.0,737.0,-50.0,50.0,18.0,0.0,86.0,50.0,2.0,200.0,0.0,2436.0,0.0,1.0,0.0,50.0,4.0,1.0,6.0,3.0,3.0
9.0,713.0,-50.0,50.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,2.0,1.0,10.0,763.0,-50.0,50.0,72.0,1.0,0.0,100.0,1.0,50.0,-200.0,2250.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,1.0,3.0,99.0,685.0,50.0,100.0,25.0,0.0,86.0,50.0
0.0,0.0,0.0,2186.0,1.0,1.0,0.0,100.0,27.0,1.0,10.0,2.0,2.0,9.0,749.0,-50.0,50.0,31.0,0.0,0.0,0.0,2.0,100.0,-200.0,2100.0,0.0,1.0,0.0,50.0,11.0,0.0,5.0,3.0,3.0,99.0,692.0,50.0,50.0,41.0,0.0,0.0,50.0,1.0,50.0,-200.0,2200.0,0.0,0.0,0.0,0.0
29.0,0.0,7.0,2.0,1.0,99.0,700.0,50.0,100.0,32.0,0.0,86.0,0.0,0.0,0.0,0.0,2286.0,0.0,0.0,0.0,0.0,29.0,1.0,6.0,1.0,3.0,13.0,804.0,-50.0,100.0,18.0,0.0,0.0,100.0,1.0,50.0,0.0,2400.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,99.0,681.0,50.0
50.0,41.0,0.0,86.0,50.0,2.0,100.0,0.0,2336.0,0.0,1.0,0.0,50.0,27.0,1.0,6.0,1.0,1.0,9.0,756.0,-50.0,50.0,24.0,0.0,0.0,50.0,0.0,0.0,-200.0,1850.0,1.0,1.0,0.0,100.0,26.0,1.0,8.0,2.0,2.0,10.0,727.0,-50.0,0.0,47.0,0.0,86.0,0.0,0.0,0.0,-200.0
2136.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,2.0,3.0,1.0,669.0,50.0,50.0,26.0,0.0,0.0,100.0,1.0,50.0,0.0,2150.0,1.0,1.0,0.0,100.0,8.0,0.0,5.0,1.0,1.0,99.0,718.0,-50.0,0.0,63.0,1.0,86.0,50.0,1.0,50.0,0.0,2336.0,0.0,0.0,0.0,0.0,26.0,0.0,5.0
3.0,1.0,99.0,759.0,-50.0,50.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,0.0,1.0,0.0,50.0,14.0,1.0,6.0,0.0,3.0,11.0,815.0,-50.0,100.0,35.0,0.0,0.0,50.0,0.0,0.0,0.0,2250.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,2.0,99.0,727.0,-50.0,100.0,52.0,0.0
86.0,50.0,1.0,50.0,-200.0,2186.0,0.0,1.0,0.0,50.0,20.0,0.0,5.0,4.0,2.0,99.0,699.0,50.0,50.0,21.0,0.0,86.0,50.0,1.0,50.0,0.0,2486.0,0.0,0.0,0.0,0.0,24.0,1.0,5.0,3.0,2.0,2.0,658.0,50.0,100.0,43.0,0.0,86.0,0.0,0.0,0.0,0.0,2386.0,0.0,0.0
0.0,0.0,29.0,1.0,6.0,1.0,2.0,13.0,675.0,50.0,100.0,59.0,1.0,0.0,100.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,28.0,0.0,3.0,4.0,1.0,99.0,806.0,-50.0,100.0,18.0,0.0,86.0,50.0,1.0,50.0,-200.0,2236.0,0.0,1.0,0.0,50.0,1.0,1.0,2.0,1.0,1.0,4.0
639.0,50.0,100.0,42.0,0.0,0.0,50.0,1.0,50.0,0.0,2200.0,1.0,0.0,0.0,50.0,10.0,0.0,5.0,1.0,3.0,99.0,707.0,-50.0,50.0,43.0,0.0,86.0,50.0,0.0,0.0,0.0,2286.0,0.0,0.0,0.0,0.0,19.0,1.0,9.0,4.0,3.0,13.0,767.0,-50.0,50.0,51.0,0.0,86.0,0.0,0.0
0.0,-200.0,1986.0,0.0,1.0,1.0,100.0,7.0,0.0,4.0,0.0,1.0,99.0,633.0,50.0,0.0,21.0,0.0,86.0,0.0,0.0,0.0,0.0,2336.0,1.0,0.0,0.0,50.0,13.0,0.0,6.0,3.0,1.0,99.0,675.0,50.0,100.0,20.0,0.0,86.0,50.0,0.0,0.0,0.0,2336.0,0.0,0.0,0.0,0.0,16.0
1.0,5.0,1.0,1.0,11.0,652.0,50.0,0.0,47.0,0.0,0.0,100.0,0.0,0.0,-200.0,2050.0,0.0,1.0,0.0,50.0,18.0,0.0,6.0,0.0,1.0,99.0,705.0,-50.0,100.0,44.0,0.0,0.0,100.0,1.0,50.0,-200.0,2000.0,1.0,0.0,0.0,50.0,23.0,1.0,6.0,2.0,2.0,10.0,761.0,-50.0,0.0
