Product_ID,Product_Name,Category,Sub_Category,Customer_Gender,Negative,Neutral,Positive,Very Positive,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41
218.51,380.18,102.67,136.07,35.67,371.56,72.41,766.37,378.69,1070.98,1470.51,798.23,79.94,7.86,108.02,466.44,612.25,312.94,322.23,624.12,799.51,78.7,852.21,675.63,638.33,913.71,88.77,91.49,156.5,301.03,458.38,508.58,123.69,113.48,55.39,952.94,781.87,992.46,405.55,795.75,138.86,293.37,1004.59,150.74,1385.68,22.02,121.81,142.26,107.54,81.71
171.37,328.1,404.28,981.53,165.2,346.18,78.02,470.16,292.52,707.45,1186.75,105.11,178.51,152.25,892.85,104.38,1132.28,790.23,1028.45,57.16,475.21,769.06,598.84,71.95,105.63,194.71,152.97,467.74,806.3,509.32,114.95,55.96,1097.65,58.16,87.07,1318.66,904.31,302.75,47.21,109.97,458.45,146.24,1435.92,554.78,171.32,1120.42,714.04,317.3,79.06,1221.28
164.8,629.18,252.66,802.56,15.15,105.79,536.26,127.81,178.47,1481.21,191.49,810.05,176.68,466.63,94.57,167.18,1249.5,1195.99,845.45,182.62,893.98,42.38,259.8,805.07,636.11,83.65,52.5,181.01,13.33,700.62,1078.24,47.66,551.62,848.45,26.4,171.59,269.16,539.88,532.88,119.26,132.09,645.34,1265.58,142.95,144.93,770.67,817.61,930.39,138.28,1128.96
262.13,149.21,958.04,150.13,1302.21,41.54,86.91,140.59,823.87,1154.13,1074.59,495.64,528.79,121.31,511.65,33.33,1030.34,430.36,933.58,692.27,751.84,333.96,147.88,187.98,539.99,111.45,883.57,17.32,166.4,465.32,112.71,1137.96,163.12,21.9,452.01,152.49,470.37,385.93,33.24,405.24,734.98,539.98,75.8,109.9,233.71,349.07,380.77,666.71,634.36,109.21
162.77,704.54,494.05,121.43,8.61,519.75,132.79,86.21,604.32,317.48,33.48,554.07,740.17,798.84,112.04,755.41,50.33,646.04,130.83,1273.14,30.62,917.08,814.77,315.77,130.25,881.46,123.61,1338.91,293.06,139.93,196.63,199.26,659.91,1186.07,1155.49,123.01,146.89,322.14,731.94,190.26,169.06,616.09,1143.07,177.35,497.37,140.76,101.62,123.28,153.15,711.24
132.36,342.15,9.23,412.13,65.24,1237.9,149.33,105.68,86.82,1290.09,897.95,1186.18,184.58,1242.25,76.41,729.87,595.64,347.54,1335.14,108.85,1432.9,1275.34,673.92,100.94,120.02,54.56,1283.99,753.09,91.43,168.32,196.43,148.77,18.43,208.33,681.05,1099.98,1014.07,156.64,181.91,660.14,111.67,260.41,734.04,197.45,95.85,139.32,24.68,547.39,170.32,306.51
422.36,62.93,149.63,194.59,149.35,892.36,84.74,251.59,1095.39,1163.71,426.33,800.33,160.18,131.79,596.42,1327.32,1355.37,75.91,564.46,172.73,607.5,566.93,836.23,653.84,227.72,106.76,88.68,196.27,151.78,70.66,119.16,190.75,810.34,121.48,27.88,952.26,866.82,167.76,730.77,152.0,899.45,122.86,136.58,969.15,521.91,185.66,565.92,800.97,1338.56,498.97
193.86,729.85,156.94,54.05,181.24,317.37,920.85,73.27,253.28,203.2,646.31,216.44,50.79,255.31,1341.71,92.13,102.35,29.73,1235.49,314.93,450.79,186.37,1489.04,154.7,504.04,129.55,99.33,798.07,853.35,531.79,181.61,854.62,40.34,1061.43,1192.18,110.39,140.4,325.49,103.57,1299.02,142.81,412.19,1011.08,619.58,1282.97,657.21,111.34,688.65,620.83,208.32
1263.89,330.1,1052.19,157.04,127.56,638.21,374.68,1347.85,28.27,542.61,187.86,155.97,910.92,751.05,32.68,32.72,188.62,215.67,980.05,310.81,13.69,150.85,75.16,695.32,139.31,341.01,71.43,919.31,54.46,100.61,598.52,1087.97,84.27,181.32,5.85,563.5,1432.44,1194.84,1497.23,142.81,63.11,259.93,647.4,439.06,1429.6,116.61,505.86,43.29,31.73,454.79
182.76,295.22,749.4,1193.31,721.69,195.0,371.94,443.93,40.37,205.68,1057.31,708.53,757.43,191.58,913.19,116.41,180.94,137.32,287.85,231.63,851.27,140.01,446.6,83.79,834.64,550.19,416.9,932.79,519.24,54.99,188.27,61.5,72.82,1178.08,924.62,592.68,133.53,90.61,571.84,173.11,124.62,467.73,693.73,1387.93,183.39,790.68,761.22,721.03,1245.13,120.48
234.84,13.24,103.75,27.4,12.9,853.53,125.71,130.22,23.98,1037.39,43.18,1164.48,106.09,94.52,1086.84,56.84,114.34,1427.36,79.36,12.05,104.08,207.14,95.24,158.63,1437.12,546.31,77.66,123.86,475.07,170.89,307.33,361.12,73.51,393.34,145.9,818.26,674.61,36.53,522.08,67.38,93.7,1365.08,629.73,613.44,46.84,835.84,156.64,359.71,1077.84,677.65
1051.31,112.06,51.68,139.59,227.47,441.2,129.75,736.95,192.71,469.21,478.66,423.35,685.48,83.22,73.32,1497.86,1174.65,621.1,954.03,62.17,185.42,758.89,958.87,1379.88,172.22,804.48,102.18,539.9,47.67,169.99,651.66,183.01,949.18,344.41,1407.56,662.82,623.03,509.23,772.91,74.82,133.87,51.88,535.62,828.48,168.91,162.92,349.88,89.53,697.13,340.97
102.63,666.27,611.43,184.63,513.25,810.21,808.31,1441.41,505.01,132.07,188.64,732.03,822.53,751.62,94.79,109.33,180.66,95.49,598.89,140.13,532.13,637.98,299.87,459.39,168.04,1012.11,484.47,29.34,433.52,53.97,10.27,145.99,12.02,581.59,126.48,1193.62,363.8,143.14,565.59,610.34,739.1,313.76,826.4,125.37,1064.73,341.26,19.93,829.26,1423.16,806.35
746.36,150.75,891.62,422.92,66.23,220.44,104.68,20.51,514.92,84.01,54.07,870.28,179.33,1188.38,361.66,157.43,195.37,644.16,150.42,658.71,1137.44,180.3,249.99,376.45,551.37,131.77,279.83,177.6,802.0,244.4,232.73,102.64,99.49,132.81,889.04,972.45,148.05,1468.94,146.24,848.33,156.27,284.7,191.3,774.67,846.29,121.26,1305.42,93.12,99.58,418.84
1484.57,1479.48,1043.73,863.84,487.78,950.34,365.39,683.84,114.67,763.0,738.83,406.49,988.87,159.14,404.05,523.61,115.75,132.92,452.64,575.33,898.74,173.05,732.54,99.14,617.84,156.82,117.2,184.84,547.81,527.75,66.41,764.43,155.69,46.54,130.9,80.55,303.45,139.05,871.88,151.85,888.07,883.91,799.38,362.57,162.82,659.57,305.07,167.3,103.39,165.56
23.27,835.73,171.86,824.23,281.15,945.95,325.74,531.17,61.15,272.94,951.25,542.51,42.62,34.88,602.2,145.47,586.67,961.95,48.03,56.0,114.95,242.77,324.7,57.86,7.93,230.74,1041.87,61.57,170.87,347.78,122.45,343.97,625.82,370.49,85.17,767.0,709.61,136.92,158.05,588.87,190.33,105.46,491.98,39.35,691.78,509.06,704.93,145.21,312.7,113.16
829.99,420.18,571.26,126.2,186.46,783.76,977.1,136.42,147.84,503.12,531.88,383.89,1436.95,140.95,83.14,430.57,577.53,220.44,696.1,65.95,140.18,434.9,677.05,768.48,149.85,236.65,53.09,34.24,290.47,995.33,1134.01,1338.78,619.82,237.4,57.25,188.23,193.07,313.02,706.12,185.78,28.24,150.13,707.9,140.39,177.37,1428.62,1050.85,119.15,1304.53,134.23
39.21,242.79,155.36,134.38,183.57,101.92,197.35,1260.16,519.35,1311.91,48.35,638.69,38.01,11.5,319.18,155.26,963.43,393.94,246.19,597.32,263.66,125.22,385.06,119.35,182.58,401.59,144.53,77.53,136.08,181.33,194.26,336.18,1340.7,1379.51,45.86,251.09,984.65,1380.75,250.33,21.21,1402.8,692.23,1068.03,557.14,54.84,112.37,470.7,422.95,108.92,709.36
33.68,39.8,758.0,48.76,71.94,530.03,1154.23,913.35,191.37,129.38,352.74,527.86,81.17,140.25,69.23,696.08,209.51,113.24,619.2,468.72,214.87,843.85,800.21,356.39,120.78,678.73,761.8,30.68,424.65,1147.46,147.02,1117.0,825.73,67.09,195.39,28.13,545.4,183.05,230.43,135.35,1148.89,337.14,141.8,33.01,31.4,583.5,262.81,981.63,671.32,704.63
648.73,62.99,107.61,403.03,604.11,146.34,276.51,1491.67,906.02,115.18,90.84,291.18,101.23,278.73,112.18,1334.09,728.67,134.88,143.23,1037.56,520.51,145.74,753.1,328.95,752.58,386.21,318.43,472.35,182.32,167.73,1014.71,472.14,486.06,220.32,906.97,206.66,180.24,850.27,1211.47,608.64,590.93,25.2,18.25,1043.04,14.42,390.05,753.34,552.21,95.76,48.22
59.18,108.19,1493.35,136.54,142.99,99.55,837.57,1152.37,961.43,406.1,159.55,766.1,175.98,141.96,1330.14,76.48,510.06,30.81,1084.74,804.6,95.68,418.36,1414.25,506.06,198.61,569.98,905.21,474.94,11.78,133.11,637.57,424.56,144.63,626.05,139.03,989.3,1133.52,579.91,61.69,774.29,937.89,753.69,198.14,80.25,199.73,132.23,168.65,1164.63,168.45,620.35
445.2,100.1,529.94,430.3,109.86,1113.5,1177.82,30.28,1137.15,161.68,424.25,122.12,13.94,376.28,698.27,1351.92,1133.21,167.77,98.29,55.82,678.31,155.81,147.87,72.9,620.68,978.56,115.36,118.38,118.09,65.19,1224.85,1253.37,166.12,153.92,100.18,681.36,757.03,160.62,772.49,971.39,460.09,359.32,762.53,180.16,129.58,148.26,670.65,194.12,109.21,37.11
731.51,148.04,136.7,181.55,1297.82,739.74,95.91,179.88,183.95,874.02,21.11,1301.64,20.98,153.67,117.74,872.46,289.46,713.67,876.31,1043.36,376.55,556.09,974.23,695.04,68.0,289.53,837.73,352.49,379.28,1083.37,417.89,60.29,442.43,28.66,46.05,1073.53,1113.81,538.07,88.6,1247.68,148.22,651.15,139.42,50.04,318.97,101.56,466.33,1006.57,124.46,478.79
964.64,1073.69,32.65,664.4,132.36,12.22,173.73,168.23,102.14,1379.64,799.62,82.7,256.49,69.15,13.62,127.68,948.65,604.77,32.64,22.22,493.87,816.49,993.68,1137.09,70.42,623.16,768.55,162.66,42.56,69.54,1152.71,893.81,115.28,55.01,31.44,9.36,141.25,547.0,126.27,1073.31,168.39,500.75,82.46,362.89,916.53,110.52,802.66,551.38,1194.94,87.21
30.22,44.34,56.35,780.06,206.46,51.19,125.4,568.28,1413.58,98.99,175.47,85.7,684.18,915.06,145.74,1355.34,564.97,78.59,934.8,1114.54,253.45,334.09,1137.9,316.98,1223.97,420.92,846.0,866.08,525.74,389.95,693.23,75.61,887.09,87.69,648.54,713.42,14.33,53.55,358.96,194.84,91.26,1162.24,620.5,63.11,420.87,191.97,157.66,109.71,134.53,346.23
801.91,517.51,35.57,126.31,583.96,135.33,219.44,62.08,108.25,88.82,108.35,10.35,1311.06,96.06,752.99,364.77,339.87,435.21,955.53,731.69,934.18,149.76,631.89,440.2,670.37,705.83,270.72,657.23,173.9,104.48,165.8,150.73,397.48,100.02,115.89,627.57,952.93,634.32,831.7,297.67,308.63,142.1,930.26,776.64,524.85,257.25,131.63,23.77,160.17,199.51
1206.96,881.37,63.79,1297.48,184.96,109.64,92.62,172.58,543.54,106.29,55.5,113.49,183.37,449.32,49.74,222.14,1416.88,265.75,57.66,478.62,305.41,79.4,447.29,238.64,493.6,952.69,142.78,130.59,386.64,1460.8,291.32,477.84,108.65,180.81,1171.75,756.14,1386.96,1470.73,328.86,542.56,146.09,26.99,947.6,185.29,654.8,15.32,1458.25,48.82,613.68,227.62
136.98,1271.01,79.65,163.63,874.01,325.95,31.19,21.14,125.81,797.59,227.89,24.74,45.91,610.54,99.95,306.97,435.95,66.97,21.58,155.89,1021.39,226.03,286.38,308.76,662.65,833.05,335.84,1345.22,492.03,1307.19,563.58,378.37,915.57,69.21,414.14,213.65,1103.82,1072.38,1084.41,255.04,706.59,1198.82,739.29,770.58,514.73,585.38,40.18,328.95,500.8,442.37
1318.93,143.29,1080.03,366.95,605.65,229.68,849.79,725.89,653.29,175.52,154.76,727.64,581.12,161.82,137.34,100.62,208.93,153.3,54.71,866.2,174.98,33.58,542.15,244.08,102.27,465.73,85.75,161.97,585.43,629.75,184.5,70.63,882.89,105.2,1011.54,1453.99,163.5,1434.03,55.21,625.02,182.04,824.6,308.66,23.8,173.71,515.09,922.57,485.95,767.64,939.68
704.49,152.36,87.37,365.64,36.93,167.55,1060.12,726.86,132.62,104.12,179.12,59.77,738.32,679.93,1231.96,289.99,1213.84,94.6,167.35,604.9,526.22,263.61,76.6,1356.93,590.5,963.5,860.85,320.43,151.34,1270.35,603.7,1015.19,124.33,185.03,63.4,1289.99,897.77,75.95,295.67,473.48,1183.26,675.2,299.2,73.35,308.31,1064.16,417.77,416.94,184.9,215.62
511.85,30.47,171.58,1489.22,55.02,179.09,787.19,830.1,763.28,50.47,756.91,1161.13,1093.85,1375.15,334.84,653.44,194.86,900.27,61.61,787.2,86.56,557.18,1299.16,129.09,966.5,780.87,15.48,393.5,1452.06,414.2,430.17,1077.9,155.69,190.94,96.59,96.49,544.74,164.58,49.04,150.02,192.18,205.79,237.6,487.78,61.42,121.75,378.29,496.78,696.73,195.63
686.35,84.84,491.94,320.55,958.43,726.43,1443.07,417.03,159.37,287.36,849.47,125.67,228.2,520.17,130.77,40.32,154.9,799.55,545.5,157.84,545.35,906.85,219.59,223.09,100.64,172.8,188.65,17.75,1305.27,186.49,568.03,487.11,1124.4,1194.82,166.52,1023.76,18.77,794.97,1236.91,1100.28,600.29,236.09,84.45,384.17,466.38,229.09,704.52,34.69,1368.89,428.14
752.11,760.13,185.04,152.56,412.23,1129.4,168.15,699.18,754.11,79.36,52.29,121.92,166.8,1499.27,185.36,90.99,39.58,763.67,501.52,84.26,128.57,184.41,949.03,1009.97,32.63,196.69,108.48,220.76,32.32,537.13,391.71,17.65,108.19,929.51,1053.83,570.66,391.59,156.57,476.58,100.03,65.66,53.36,88.32,75.58,395.13,904.05,1487.37,725.15,1415.71,47.83
72.27,70.99,107.93,171.42,1255.15,506.84,13.59,184.07,42.35,112.59,285.61,384.33,53.78,1191.5,68.83,1260.97,197.81,316.88,24.44,539.44,501.31,411.44,1127.04,127.24,656.33,217.47,591.46,107.45,441.96,317.71,506.52,105.08,65.39,138.77,555.94,135.47,109.57,41.59,125.31,1350.75,434.26,1122.04,227.26,694.24,147.46,1231.09,346.97,453.31,15.87,43.07
352.31,92.9,179.8,512.94,1114.61,811.42,1142.2,1035.15,1034.22,960.89,76.45,409.4,1002.07,63.53,628.69,850.34,117.97,463.16,75.57,830.18,128.6,1303.69,125.03,652.62,271.16,634.05,750.0,716.17,295.96,138.05,116.15,533.29,141.43,44.91,183.11,624.58,33.75,210.69,143.65,107.33,183.91,32.76,181.79,28.51,41.64,153.93,114.0,543.8,30.76,211.9
1472.94,1274.05,1370.63,140.38,14.96,128.48,365.73,660.31,1044.82,29.01,177.46,187.43,213.9,138.38,469.98,114.18,138.97,431.26,150.73,577.39,618.07,28.2,38.51,1476.78,23.81,446.67,146.18,77.98,595.97,128.73,563.04,399.24,207.18,763.62,876.06,1264.99,92.3,935.95,448.98,207.38,1260.01,1005.04,125.99,1241.0,125.04,94.29,111.0,776.16,769.3,473.45
1258.39,592.2,1487.24,156.11,76.81,25.98,786.31,776.05,304.29,668.26,107.78,173.0,1251.75,49.26,370.58,125.07,559.31,96.5,95.33,876.28,535.67,666.17,297.05,183.86,192.54,115.96,42.24,143.41,36.88,187.93,486.39,1118.1,67.1,60.35,626.05,41.16,126.6,687.85,192.81,870.84,459.49,114.81,105.86,630.2,71.19,188.89,148.64,60.84,83.42,149.65
569.6,56.34,465.07,682.48,837.62,957.02,38.13,31.8,978.38,56.19,969.68,448.81,35.42,1151.12,653.33,332.64,493.9,154.46,24.52,1016.35,195.45,51.77,111.62,773.1,717.91,289.56,553.36,161.23,62.62,130.76,497.59,1154.54,145.35,161.65,536.81,1294.23,373.58,418.96,561.49,1025.68,1393.14,130.87,767.23,199.97,138.53,171.02,191.69,62.86,514.93,247.22
1467.52,903.38,195.74,1312.02,145.19,545.76,353.63,79.71,81.98,1252.06,878.71,780.89,29.78,146.46,117.27,660.86,536.2,857.71,766.65,31.35,266.77,99.59,526.54,338.89,42.16,34.61,281.82,73.88,106.35,162.54,1038.81,606.74,44.12,77.9,188.29,20.01,968.01,599.92,392.97,198.25,628.32,1480.81,120.13,696.62,73.57,618.65,382.55,659.41,456.25,374.05
646.94,177.91,93.56,86.91,103.67,89.35,370.29,1163.59,128.03,1101.45,125.32,47.0,432.64,893.66,1087.61,97.54,78.53,331.4,136.43,61.68,96.63,705.1,819.29,166.66,18.01,1183.83,536.31,95.58,630.07,505.71,134.26,22.09,1144.03,139.48,161.99,592.25,367.04,544.68,233.41,890.01,270.49,149.61,929.54,735.48,1114.77,36.94,159.12,805.62,144.94,498.31
36.9,224.84,549.9,281.43,342.0,391.21,141.15,378.08,435.35,118.45,256.25,428.36,676.84,924.73,174.46,173.24,497.59,195.28,244.15,41.51,923.03,165.96,166.03,169.57,723.93,1470.06,681.22,1112.37,513.72,268.59,236.03,840.21,84.9,230.07,165.16,65.68,78.17,878.29,396.41,610.82,164.3,108.16,92.0,70.82,50.45,151.47,194.96,179.94,1293.17,247.0
92.39,130.28,500.89,1374.3,507.92,70.44,56.92,113.38,783.75,965.44,183.86,186.04,1470.58,1201.13,466.77,797.37,490.02,296.33,141.43,367.19,348.02,882.85,1205.24,658.0,927.15,167.39,737.66,700.91,276.42,135.49,378.97,1183.38,736.14,60.41,1120.27,752.71,438.54,29.04,8.59,414.51,434.01,129.35,261.86,775.07,493.81,343.1,168.63,29.77,1401.11,1160.39
86.61,178.28,174.37,182.98,67.75,109.45,236.33,943.78,97.28,488.0,143.07,66.33,69.39,1380.0,72.66,232.47,138.92,71.27,191.87,58.08,102.36,103.63,117.67,347.71,119.33,779.57,191.64,1219.71,193.49,943.56,370.33,181.61,567.3,522.22,107.15,162.56,81.6,355.85,131.03,1075.96,398.77,386.67,454.5,121.21,192.65,157.48,343.99,948.84,966.33,231.41
171.78,1027.53,123.34,94.9,1054.59,411.71,22.23,84.01,474.26,834.81,582.37,45.92,417.69,198.37,1411.35,52.87,655.75,61.22,240.21,1430.28,181.31,25.36,606.17,494.16,64.3,50.97,173.56,189.08,988.87,116.66,102.94,148.2,179.73,126.21,109.47,991.01,1416.06,125.67,647.37,1435.58,30.1,33.23,108.83,231.62,154.4,388.64,1320.42,359.75,1449.41,879.38
1165.13,92.49,90.62,901.42,1223.94,108.87,670.13,167.29,150.84,1252.21,274.1,527.98,641.7,537.71,22.23,99.09,452.37,166.56,816.33,155.06,146.55,684.36,1305.24,860.09,146.95,131.54,177.66,200.55,146.8,75.82,854.02,930.95,15.28,109.86,132.85,1270.29,925.34,511.77,164.55,174.68,1414.55,97.91,727.1,1269.34,291.99,278.45,513.66,30.27,20.21,570.49
183.78,1345.7,497.22,1357.09,196.43,1456.58,421.94,45.09,80.09,92.76,194.76,9.08,856.9,814.3,224.24,122.94,119.51,464.0,566.79,901.58,644.13,1461.4,776.28,646.04,5.29,545.13,156.86,169.71,84.71,200.78,439.93,481.79,545.36,578.72,99.29,166.41,44.28,920.58,921.43,10.54,5.12,109.65,1095.59,126.47,1343.41,97.1,771.92,594.84,925.46,881.04
38.6,234.3,921.31,538.91,413.06,137.74,533.5,994.08,728.61,878.86,247.73,1326.75,319.3,353.86,667.3,136.07,879.08,129.89,434.17,201.51,109.66,90.43,188.13,168.46,891.1,172.76,512.39,42.49,1298.08,121.94,108.0,1445.93,169.09,528.0,258.37,510.78,130.08,153.79,62.97,46.95,146.32,437.87,93.93,361.44,968.09,915.64,728.85,175.82,468.39,1456.32
791.68,721.16,127.75,650.07,78.11,57.62,22.64,87.68,452.91,302.84,125.25,1449.2,155.55,425.51,152.68,801.47,402.23,1451.29,594.42,130.78,1301.13,115.24,154.12,10.36,25.79,138.39,574.87,17.79,165.43,153.17,172.42,1348.26,1327.16,294.17,568.13,150.52,896.65,1471.58,560.51,723.01,500.85,146.86,709.75,77.3,307.62,1008.55,480.52,23.17,350.11,185.62
96.39,672.81,91.18,745.93,583.36,624.67,101.5,145.21,365.68,130.8,58.26,757.14,610.89,334.75,139.53,181.16,189.03,558.63,460.42,39.56,630.41,1181.58,157.81,77.44,67.06,1065.5,770.94,538.41,174.73,56.83,143.48,427.46,1310.5,1455.8,134.86,23.37,795.41,300.66,544.98,6.92,418.12,1353.16,464.67,97.65,118.64,93.3,1361.31,975.17,132.77,1033.98
318.65,165.14,934.87,79.07,177.88,91.76,562.98,151.63,752.07,39.68,10.58,174.13,425.8,282.66,796.84,228.19,1422.43,1149.07,178.77,660.93,21.41,137.96,97.45,691.48,68.88,44.41,90.46,57.98,736.34,761.46,1391.66,1276.26,38.95,915.1,885.06,818.63,417.1,249.4,447.77,227.03,1464.01,188.03,172.38,120.39,504.25,137.89,119.42,496.22,60.17,62.55
160.45,593.77,1157.82,1215.52,71.22,188.04,566.07,218.92,216.28,67.6,288.51,201.78,182.06,367.81,74.2,89.45,488.69,64.5,935.37,598.96,731.98,34.63,134.02,73.91,792.37,43.28,259.73,123.28,911.6,361.65,462.06,141.3,778.41,133.83,194.05,234.71,1360.8,134.7,377.46,184.6,554.05,48.8,75.6,86.59,132.87,903.33,682.57,41.26,651.32,531.99
423.49,764.82,116.25,930.37,23.43,67.54,165.3,630.23,459.1,14.8,654.44,1363.21,559.31,164.85,172.9,949.02,38.07,136.82,360.4,20.03,42.74,241.93,191.34,131.8,146.36,181.48,35.66,117.91,661.59,171.17,90.33,8.23,1458.24,121.94,163.71,583.9,187.29,549.75,610.42,866.26,332.76,737.54,83.56,929.67,738.47,1268.92,185.76,299.22,765.03,102.63
441.25,140.22,813.37,683.52,376.44,583.96,115.78,1031.03,67.57,693.8,384.99,189.96,144.64,64.06,545.3,47.67,134.5,130.18,344.27,240.12,21.59,660.12,43.76,522.46,156.11,144.01,133.57,97.23,237.04,597.53,730.37,900.98,61.11,1401.86,125.98,352.98,164.11,188.94,426.27,361.77,190.72,1110.85,573.07,243.47,978.81,62.67,796.67,275.03,705.49,137.35
