Country,first_seq,last_seq,variant,2020-06-21,2020-08-31,2020-09-04,2020-09-13,2020-09-22,2020-09-23,2020-09-25,2020-09-26,2020-10-01,2020-10-02,2020-10-15,2020-10-18,2020-10-21,2020-10-24,2020-10-25,2020-10-27,2020-10-30,2020-11-01,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30
259.0,272.0,43914.0,332.0,45920.0,143.0,1386.0,1104.0,25292.0,1.0,27.0,86.0,45151.0,44868.0,3.0,1035.0,1.0,4.0,4.0,1.0,1.0,20.0,10.0,35.0,20394.0,13.0,13360.0,27.0,18.0,179.0,875.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,13.0,28.0,15.0,15.0,28.0,3073.0,49.0,10.0,55.0,69.0,26.0
44.0,809.0,3070.0,3072.0,3086.0,3070.0,7643.0,35.0,79.0,4.0,123.0,3049.0,3941.0,10.0,1.0,11.0,1.0,3.0,3.0,10.0,744.0,1.0,4.0,41.0,1.0,31.0,23.0,21.0,2.0,19.0,19.0,27.0,30.0,20.0,1.0,25.0,29.0,30.0,23.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
6.0,5.0,5.0,5.0,6.0,57.0,35.0,58.0,5.0,17.0,18.0,5.0,5.0,7.0,9.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,14.0,1631.0,2.0,810.0,809.0,811.0,809.0,796.0,590.0,169.0,5.0,580.0,1.0,9.0,2.0,207.0,17.0,6.0,8.0,243.0,2.0,2.0,1.0,14.0,78.0,2.0
11.0,64.0,10.0,21.0,7.0,17.0,35.0,42.0,1.0,14.0,44.0,26.0,3.0,3.0,1.0,10.0,11.0,292.0,143.0,28.0,3.0,51.0,17167.0,50449.0,65.0,135.0,22186.0,33339.0,101411.0,2380.0,17407.0,3464.0,693.0,14840.0,13193.0,45462.0,21.0,33305.0,58.0,2167.0,4.0,330.0,32165.0,8.0,40.0,1149.0,8.0,722.0,1731.0,715.0
2.0,44355.0,21911.0,4.0,13158.0,24.0,177.0,412.0,1.0,2.0,210.0,1368.0,43070.0,7386.0,27.0,31.0,19.0,152.0,134.0,45.0,11.0,2.0,2.0,1.0,22.0,45.0,1.0,32.0,10.0,10.0,33.0,33.0,2.0,1.0,2.0,3.0,2.0,2.0,32.0,8.0,21.0,1.0,5288.0,5469.0,397.0,41.0,4282.0,211.0,7717.0,44.0
171.0,10.0,273.0,6349.0,362.0,2.0,37.0,7.0,4338.0,4482.0,3387.0,1776.0,1.0,6.0,969.0,1.0,1.0,1.0,4.0,7.0,942.0,6.0,116.0,6438.0,30.0,1.0,2.0,1.0,155.0,2.0,3.0,2.0,3.0,4.0,4.0,7.0,6.0,8.0,44.0,110.0,9.0,20.0,1.0,1.0,19.0,23.0,2.0,21.0,18.0,2.0
41.0,90.0,7.0,42.0,9.0,402.0,585.0,291.0,1198.0,4335.0,33.0,8.0,3321.0,759.0,51.0,86.0,5176.0,777.0,4158.0,1.0,3.0,3471.0,1.0,660.0,136.0,1.0,14.0,97.0,8.0,1.0,1220.0,31.0,77.0,94.0,2.0,6.0,6.0,6.0,6.0,11.0,11.0,2.0,2.0,32.0,91.0,101.0,7.0,175.0,30.0,84.0
41.0,53.0,58.0,56.0,1.0,81.0,1.0,1.0,10.0,59.0,6.0,2.0,19.0,3.0,10.0,72.0,15.0,9.0,19.0,43.0,20.0,8.0,16.0,2.0,1.0,1.0,37.0,19.0,33.0,6.0,7.0,2.0,2.0,138.0,12.0,5.0,914.0,16.0,165.0,259.0,13.0,17.0,173.0,164.0,378.0,109.0,5.0,142.0,3.0,160.0
5.0,1.0,2.0,60.0,35.0,538.0,651.0,16.0,38.0,40.0,5.0,1.0,1.0,450.0,4651.0,20.0,218.0,39.0,617.0,436.0,57.0,4198.0,4266.0,4238.0,4212.0,10055.0,4.0,78.0,35.0,44.0,129.0,16.0,47.0,5.0,1.0,7.0,54.0,3111.0,5883.0,2.0,352.0,38.0,7.0,2.0,4.0,2.0,7.0,7.0,1.0,6.0
9.0,9.0,83.0,73.0,10.0,10.0,10.0,10.0,13.0,1.0,1.0,163.0,27.0,589.0,4949.0,22.0,1576.0,40.0,75.0,96.0,101.0,33.0,14168.0,4317.0,4382.0,4584.0,4477.0,30.0,5.0,6239.0,8121.0,45.0,172.0,1594.0,77.0,112.0,217.0,5.0,11.0,4.0,20.0,257.0,1.0,32.0,1.0,29.0,10.0,1.0,26.0,1.0
2.0,78.0,89.0,76.0,73.0,6.0,23.0,56.0,33.0,91.0,25.0,45.0,45.0,4.0,4.0,8.0,1957.0,2834.0,56360.0,260.0,69261.0,6396.0,1596.0,1670.0,544.0,5290.0,63.0,27336.0,34157.0,2953.0,5454.0,3268.0,121.0,1922.0,870.0,1434.0,63347.0,170802.0,152.0,63566.0,64423.0,1.0,2.0,187.0,37.0,130.0,613.0,66.0,12.0,28.0
70904.0,8.0,7.0,1216.0,10.0,5592.0,99990.0,9.0,20.0,2686.0,231.0,493.0,1409.0,132.0,129.0,211.0,154.0,1.0,1.0,79.0,173.0,79.0,76.0,131.0,96.0,10.0,1.0,56.0,3.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,20.0,28.0,98.0,194.0,208.0,354.0,30.0,245.0,1.0,12.0,37.0,1.0
104.0,57.0,59.0,5.0,124.0,126.0,6.0,4.0,117.0,1.0,7.0,4.0,11.0,2.0,287.0,286.0,412.0,1259.0,984.0,260.0,255.0,263.0,819.0,1753.0,130.0,301.0,298.0,75.0,21.0,10.0,15.0,438.0,439.0,4.0,2.0,149.0,192.0,1015.0,1.0,3.0,15.0,11.0,5.0,368.0,23.0,10.0,53.0,1.0,17.0,24.0
179.0,17.0,1.0,13.0,27.0,1.0,1.0,3.0,94.0,1.0,28.0,3.0,5.0,2.0,35.0,7.0,13.0,42.0,10.0,93.0,10.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,21.0,3.0,2.0,2.0,33.0,49.0,51.0,44.0,47.0,44.0,1.0,1.0,2.0,3.0,14.0,14.0,160.0,236.0,3367.0,412.0
22.0,52.0,11.0,119.0,244.0,3216.0,3290.0,3168.0,3210.0,5973.0,61.0,37.0,38.0,39.0,68.0,5.0,4.0,9.0,1.0,2185.0,2707.0,9.0,1.0,180.0,13.0,49.0,6.0,27.0,31.0,29.0,32.0,29.0,33.0,59.0,69.0,80.0,8.0,8.0,7.0,3.0,7.0,4.0,1.0,49.0,32.0,443.0,27.0,184.0,402.0,31.0
27.0,4.0,4.0,7.0,3.0,22.0,29.0,8.0,6.0,1.0,1.0,3.0,3.0,4.0,5.0,6.0,515.0,2.0,468.0,511.0,2.0,737.0,310.0,407.0,32.0,668.0,954.0,16359.0,2.0,395.0,12.0,6976.0,6702.0,7999.0,7452.0,6786.0,1114.0,1324.0,123.0,250.0,28.0,20.0,1.0,1.0,2.0,8.0,137.0,29.0,19.0,50.0
3.0,11.0,7530.0,12.0,155.0,8914.0,4.0,283.0,5.0,112.0,5.0,88.0,3.0,4.0,1592.0,261.0,33019.0,6445.0,32661.0,6919.0,8829.0,5179.0,101657.0,2322.0,6052.0,233.0,306.0,1.0,4214.0,246.0,1744.0,38236.0,100.0,32631.0,40180.0,345.0,6168.0,6161.0,738.0,44.0,25.0,49632.0,62399.0,1095.0,8.0,168.0,158.0,16.0,136.0,7.0
2.0,66.0,2327.0,4238.0,24.0,28.0,1364.0,2502.0,1071.0,302.0,1.0,8.0,1.0,48.0,126.0,61.0,61.0,118.0,106.0,5.0,4.0,80.0,39.0,3.0,3.0,1.0,2.0,15.0,28.0,3.0,1.0,27.0,19.0,12.0,6.0,67.0,72.0,16.0,65.0,68.0,79.0,398.0,25.0,179.0,149.0,173.0,163.0,5.0,5.0,181.0
21.0,5.0,2.0,28.0,98.0,100.0,100.0,102.0,450.0,38.0,6.0,1.0,15.0,5.0,1.0,3.0,272.0,1.0,333.0,1.0,1.0,10.0,9.0,1.0,2.0,7.0,4.0,3.0,1.0,103523.0,106790.0,1770.0,97919.0,3560.0,2081.0,3212.0,9391.0,19337.0,7.0,1036.0,5453.0,2332.0,26.0,45.0,1966.0,4668.0,6624.0,224036.0,106413.0,244.0
1.0,10.0,104056.0,1333.0,1211.0,2280.0,97143.0,195.0,162.0,771.0,103.0,856.0,273.0,38.0,103.0,59.0,2108.0,108332.0,9081.0,16.0,45.0,2513.0,940.0,699.0,684.0,5.0,11.0,1203.0,335.0,1.0,481.0,725.0,685.0,21.0,7.0,444.0,375.0,5.0,24.0,85.0,30.0,23.0,85.0,39.0,3.0,174.0,3.0,11.0,440.0,2.0
50.0,45.0,1.0,449.0,3.0,1.0,2.0,1.0,1263.0,523.0,429.0,128.0,1.0,24.0,36.0,5748.0,66.0,5632.0,4.0,48.0,9248.0,27.0,6.0,5668.0,6589.0,6271.0,59.0,58.0,940.0,842.0,3.0,5.0,20.0,2.0,15.0,2019.0,2053.0,1.0,46.0,1.0,758.0,4.0,5.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0
3.0,3.0,52.0,1.0,5.0,40.0,423.0,16.0,3.0,6.0,4.0,134.0,18.0,21.0,18.0,57.0,7.0,2.0,34.0,36.0,1.0,1.0,1.0,302.0,1.0,1.0,266.0,3.0,3.0,15.0,4.0,37.0,97.0,4.0,48.0,26.0,53.0,34.0,58.0,56.0,8.0,10.0,8.0,5.0,6.0,2.0,2.0,33.0,32.0,32.0
33.0,32.0,32.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,3.0,3.0,2.0,11.0,4.0,11.0,16.0,18.0,47.0,2.0,5.0,12.0,6.0,46.0,46.0,56.0,56.0,56.0,56.0,1.0,1.0,1.0,1.0,86.0,73.0,8.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,6.0,2.0,30.0,201.0
201.0,14.0,9.0,32.0,2.0,29.0,28.0,28.0,29.0,66.0,5.0,4623.0,613.0,30.0,1.0,13.0,162.0,2863.0,708.0,34.0,42.0,1.0,37.0,4393.0,581.0,629.0,622.0,20.0,5.0,3.0,18.0,5.0,1.0,17.0,1.0,104.0,1.0,3559.0,1786.0,1900.0,8.0,2.0,5.0,2.0,1.0,3842.0,657.0,6665.0,48.0,1601.0
174.0,433.0,116.0,3593.0,58916.0,3295.0,10.0,79.0,269.0,6776.0,3846.0,34964.0,16200.0,4293.0,25866.0,345.0,6334.0,5201.0,1.0,6.0,16.0,1.0,227.0,4.0,229.0,1.0,2.0,15.0,1.0,1.0,4.0,93.0,1.0,1.0,4.0,1.0,2.0,22.0,106.0,23.0,55.0,456.0,125.0,7289.0,11.0,178.0,1.0,1189.0,93.0,62.0
5.0,106.0,78.0,4542.0,83.0,4065.0,2.0,7.0,1.0,22.0,25.0,1.0,1205.0,1.0,2.0,1.0,1.0,5.0,3.0,122.0,71.0,3.0,1.0,137.0,122.0,128.0,111.0,132.0,7.0,2.0,5.0,3.0,6.0,12.0,16.0,1.0,1.0,3.0,3.0,5.0,95.0,88.0,84.0,70.0,81.0,108.0,1.0,1.0,13.0,11.0
5.0,1.0,2.0,14009.0,614.0,2118.0,268.0,67.0,1061.0,13.0,3.0,14.0,306.0,16431.0,16144.0,14255.0,13879.0,38256.0,714.0,79.0,85.0,146.0,50.0,281.0,85.0,12.0,75.0,33.0,278.0,58.0,210.0,18315.0,2.0,7.0,19008.0,1511.0,1.0,969.0,3.0,134.0,4.0,116.0,2.0,36.0,2.0,82.0,8377.0,8472.0,8231.0,8271.0
24361.0,175.0,878.0,297.0,24.0,68.0,7979.0,252.0,256.0,305.0,285.0,67.0,8.0,10.0,5812.0,33.0,15370.0,141.0,182.0,707.0,6.0,19.0,83.0,1.0,9.0,30.0,26.0,312.0,65.0,15.0,1.0,2.0,14.0,2.0,7.0,23.0,2.0,1.0,2.0,25442.0,28450.0,26153.0,2679.0,1718.0,9001.0,3250.0,144.0,2453.0,1018.0,4840.0
64.0,12.0,97.0,592.0,672.0,636.0,55140.0,26438.0,335.0,19443.0,424.0,2379.0,22910.0,3889.0,25013.0,2.0,104.0,129.0,5.0,67.0,185.0,1005.0,19.0,57.0,304.0,9.0,14.0,13.0,2.0,240.0,277.0,8.0,165.0,6.0,4.0,3.0,1.0,207.0,212.0,207.0,210.0,227.0,16.0,276.0,1.0,22.0,1.0,25.0,25.0,43.0
13.0,5.0,9.0,8009.0,47948.0,102.0,83.0,916.0,778.0,114.0,117881.0,244.0,1244.0,370.0,186.0,18.0,1.0,16.0,7.0,47912.0,1.0,1.0,7.0,47836.0,47924.0,48164.0,3.0,1.0,2.0,19.0,101.0,120.0,1.0,18.0,6.0,5.0,253.0,68222.0,20.0,68557.0,811.0,76.0,15.0,1.0,4.0,6.0,3.0,22.0,4.0,3.0
154.0,172.0,18.0,11.0,1.0,143.0,161.0,162.0,505.0,22.0,2.0,24.0,11.0,14.0,5.0,5.0,5.0,184.0,3.0,342.0,8.0,4.0,4.0,1.0,1.0,1.0,276.0,3.0,1.0,182.0,180.0,183.0,183.0,182.0,4.0,1.0,4.0,44.0,88.0,932.0,933.0,2781.0,66.0,144.0,1129.0,4.0,6.0,247.0,935.0,1102.0
191.0,6.0,7.0,217.0,218.0,3.0,34.0,795.0,826.0,1.0,1042.0,47.0,1.0,2.0,14.0,7.0,82.0,3.0,1.0,1.0,2.0,55.0,1.0,764.0,27.0,2.0,3.0,29.0,26.0,26.0,27.0,3.0,636.0,1.0,783.0,52.0,2.0,3.0,1.0,2.0,6.0,2.0,9.0,235.0,29.0,28.0,37.0,34.0,37.0,125.0
108.0,147.0,8.0,8.0,75.0,36.0,4.0,1.0,1.0,2.0,2.0,5.0,5.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1138.0,1143.0,2.0,26.0,999.0,20.0,3277.0,1.0,2284.0,3200.0,3224.0,3218.0,3256.0,2.0,12.0,7.0,9.0,10.0,10.0,13.0,3.0,6.0,2.0,26.0,1.0,1.0,73.0,73.0,4.0
1.0,3.0,4.0,799.0,881.0,1.0,804.0,801.0,505.0,776.0,4.0,4.0,2.0,10.0,6.0,1.0,8.0,12.0,48.0,67.0,5.0,3.0,16.0,14.0,15.0,14.0,12.0,15.0,1.0,56.0,54.0,54.0,63.0,6.0,16.0,6.0,1.0,1.0,6.0,10.0,6.0,6.0,10.0,4.0,4.0,4.0,3.0,2.0,1.0,11.0
12.0,11.0,12.0,11.0,12.0,1.0,1.0,1.0,29.0,49.0,21.0,48.0,22.0,32.0,140.0,4.0,3.0,1.0,1.0,15.0,14.0,36.0,100.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3010.0,2999.0,3090.0,44.0,9484.0,17891.0,47.0,15.0,165.0,19.0,39.0,253.0,9301.0,9490.0,9264.0,9458.0,10.0,240.0
15.0,3.0,186.0,3.0,7.0,7.0,5.0,7461.0,65.0,9124.0,3.0,20.0,5.0,24.0,21.0,18.0,33.0,1.0,2124.0,1598.0,109.0,1440.0,955.0,1295.0,11094.0,848.0,79.0,5012.0,7012.0,522.0,13.0,5027.0,4903.0,6894.0,3.0,2182.0,913.0,916.0,1056.0,1049.0,1.0,59.0,32.0,3.0,49.0,4004.0,5453.0,318.0,10.0,230.0
19.0,151.0,2.0,68.0,12.0,15.0,9.0,154.0,14.0,212.0,29.0,28.0,182.0,1.0,232.0,2.0,3.0,206.0,202.0,26.0,25.0,1.0,4.0,5.0,335.0,338.0,254.0,335.0,246.0,13.0,106.0,221.0,1.0,3.0,4.0,3.0,166.0,118.0,51.0,53.0,61.0,223.0,27.0,57.0,1.0,1267.0,245.0,212.0,268.0,196.0
287.0,4414.0,33.0,36.0,284.0,3.0,4.0,2883.0,2429.0,28.0,1370.0,4.0,64.0,3.0,1.0,1.0,2.0,475.0,17.0,16.0,643.0,2.0,1.0,420.0,614.0,9.0,7.0,7.0,3.0,6.0,2.0,33.0,34.0,32.0,32.0,31.0,34.0,1.0,1.0,2.0,1.0,1.0,2.0,146.0,115.0,161.0,127.0,180.0,56.0,11.0
13.0,47.0,3.0,3.0,32.0,32.0,34.0,1.0,5.0,48.0,4.0,1.0,56.0,3.0,4.0,5.0,6.0,1.0,3.0,8.0,5.0,229.0,7.0,7.0,8.0,270.0,342.0,5.0,1.0,268.0,4.0,187.0,4.0,22.0,60.0,1.0,9.0,3.0,1.0,278.0,34.0,1950.0,5043.0,4556.0,60.0,2890.0,203.0,2845.0,30623.0,2032.0
3262.0,105.0,25.0,491.0,7370.0,5459.0,29.0,1.0,1.0,1.0,1798.0,8.0,14854.0,14137.0,4935.0,2711.0,4.0,215.0,105.0,66.0,3.0,7.0,397.0,19.0,215.0,415.0,11.0,8.0,3.0,3.0,1.0,1.0,37.0,23.0,25.0,28.0,24.0,48.0,1.0,1.0,1.0,11.0,11.0,1.0,4.0,3.0,5.0,3.0,4.0,3.0
73.0,2.0,1.0,1.0,1.0,2.0,2.0,70.0,67.0,22.0,3.0,15.0,1.0,1.0,8.0,55.0,58.0,62.0,57.0,55.0,228.0,1.0,1.0,164.0,167.0,5.0,5.0,6.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,7.0,20.0,92.0,93.0,92.0,93.0,93.0,231.0,1.0,4.0,7.0,1.0,10.0
108.0,1.0,1.0,120.0,52.0,42.0,56.0,1.0,6.0,1.0,373.0,353.0,399.0,377.0,382.0,82.0,5.0,130.0,2.0,6.0,4.0,4.0,1.0,2.0,314.0,295.0,309.0,23.0,3.0,1.0,51.0,51.0,20.0,49.0,47.0,23.0,49.0,51.0,67.0,65.0,1.0,143.0,239.0,1.0,1.0,2.0,2.0,52.0,40.0,48.0
2.0,3.0,12.0,15.0,99.0,6.0,1.0,1.0,1.0,29553.0,222.0,59040.0,39.0,1447.0,30864.0,692.0,2600.0,4768.0,12258.0,453.0,677.0,26.0,1061.0,1152.0,8.0,29897.0,1683.0,29515.0,30900.0,49.0,610.0,689.0,706.0,1.0,41.0,581.0,57.0,1.0,5.0,24683.0,21308.0,18.0,230.0,28.0,75.0,437.0,7603.0,2.0,1.0,12.0
719.0,12.0,1.0,466.0,142.0,119.0,3.0,13.0,8.0,1.0,17.0,1.0,1.0,149.0,9.0,37.0,75.0,4.0,6.0,3275.0,4.0,4.0,144.0,180.0,141.0,163.0,27.0,39.0,29.0,1.0,1.0,7.0,8.0,4.0,2486.0,39.0,1.0,3051.0,10.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,8.0,8.0,8.0
6.0,6.0,6.0,915.0,4.0,262.0,552.0,2044.0,10.0,1.0,14.0,443.0,11.0,265.0,826.0,743.0,1.0,14.0,435.0,1553.0,93.0,4.0,3.0,6.0,3.0,1765.0,1.0,36.0,10.0,1.0,1.0,2.0,105.0,48.0,14.0,20.0,4.0,4.0,354.0,309.0,304.0,310.0,315.0,299.0,2.0,8.0,1.0,1.0,1.0,1.0
77.0,35.0,6.0,2.0,2.0,140.0,158.0,288.0,37.0,855.0,3926.0,111.0,242.0,14117.0,182.0,233.0,195.0,855.0,26893.0,423.0,666.0,13842.0,14417.0,14202.0,14048.0,628.0,4.0,24.0,411.0,9839.0,117.0,56.0,32.0,12.0,1.0,3.0,10637.0,176.0,62.0,2966.0,225.0,1.0,1.0,86.0,4.0,1.0,49.0,265.0,8.0,139.0
148.0,145.0,118.0,104.0,3.0,86.0,12.0,12.0,75.0,7.0,6.0,12.0,6.0,23.0,2.0,1.0,2.0,3.0,15.0,92.0,357.0,1205.0,10.0,85.0,2.0,463.0,509.0,446.0,450.0,1.0,48.0,81.0,83.0,537.0,626.0,1.0,1.0,78.0,2.0,11.0,1.0,3.0,6.0,34.0,1.0,1.0,1.0,28.0,28.0,1.0
65.0,5.0,47.0,1.0,1.0,2.0,2.0,2.0,59.0,76.0,73.0,1.0,29.0,27.0,48.0,2.0,27.0,31.0,6.0,9.0,2.0,2.0,1.0,1.0,1.0,1305.0,1.0,2.0,1.0,4.0,1.0,236.0,2.0,266.0,171.0,495.0,2.0,11.0,106.0,105.0,104.0,110.0,100.0,92.0,1.0,9.0,6.0,8.0,95.0,85.0
108.0,1.0,1.0,1.0,1.0,2028.0,3904.0,2015.0,2184.0,110.0,2238.0,57.0,8.0,255.0,5866.0,145.0,34.0,1957.0,3921.0,24.0,191.0,3.0,80.0,1931.0,2721.0,16.0,198.0,199.0,152.0,70.0,22.0,11.0,6.0,1.0,131.0,7.0,2996.0,6714.0,5.0,1961.0,118.0,17.0,33.0,2817.0,3.0,2754.0,5987.0,5767.0,3289.0,1.0
46.0,8.0,27.0,2.0,3210.0,3454.0,3.0,2.0,5.0,260.0,380.0,2967.0,842.0,16.0,2002.0,52.0,33.0,393.0,301.0,14632.0,28474.0,113.0,138.0,166.0,1182.0,60.0,35.0,15539.0,14731.0,15576.0,105.0,14416.0,1.0,7347.0,12809.0,91.0,133.0,6.0,47.0,101.0,1.0,10.0,580.0,3.0,40.0,2.0,26.0,574.0,108.0,37.0
8.0,1.0,471.0,262.0,3.0,6.0,4924.0,270.0,80.0,1398.0,1813.0,390.0,325.0,388.0,38.0,5027.0,5410.0,4735.0,5135.0,17622.0,9.0,152.0,71.0,23.0,441.0,118.0,195.0,40.0,204.0,2.0,31.0,9.0,80.0,9.0,10313.0,2.0,14.0,116.0,12023.0,68.0,356.0,23.0,70.0,19.0,16.0,60.0,13.0,13.0,30.0,12.0
1615.0,55.0,7.0,240.0,130.0,270.0,873.0,216.0,489.0,1.0,6.0,627.0,194.0,529.0,1.0,2.0,21.0,3.0,6.0,5.0,130.0,680.0,1139.0,88.0,10.0,36.0,14.0,653.0,28.0,44.0,25.0,15.0,1694.0,1723.0,1732.0,1749.0,6193.0,1712.0,98.0,517.0,15.0,25.0,45.0,7.0,16.0,33.0,80.0,17.0,8.0,7.0
3824.0,84.0,4287.0,2.0,1.0,2.0,308.0,1.0,1.0,1.0,4.0,15.0,100.0,381.0,17.0,55.0,132.0,619.0,400.0,3.0,699.0,46.0,433.0,62.0,5987.0,611.0,22.0,411.0,2.0,29.0,26.0,5491.0,12.0,3520.0,85.0,1.0,1.0,1.0,8.0,1.0,1.0,24.0,8.0,1.0,1.0,5.0,21.0,141.0,7.0,3.0
442.0,44.0,60.0,234.0,96.0,51.0,13.0,73.0,17.0,52.0,56.0,1.0,105.0,1.0,5.0,131.0,71.0,1.0,2.0,10.0,10.0,38.0,37.0,35.0,34.0,35.0,21.0,4.0,7.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,55.0,22.0,6.0,9.0,183.0,7.0,15.0,31.0,25.0,2.0,19.0,1.0
