Unnamed: 0,apiname,title,herotype,alttype,resource,stats,rangetype,date,patch,changes,role,client_positions,external_positions,adaptivetype,skill_i,skill_q,skill_w,skill_e,skill_r,skills,fullname,,6,Cute jungler,"Darkin, Valmar, Kai","Darkrider, DarkSupport",GP,J4,Kagetora,LB,MF,Rainbow Scyther,Renata,"Rhaast, Darkin, Shadow Assassin",TF,"Zaun Amorphous Combatant, Z.A.C.",Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13
893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0
10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0
92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0
777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0
79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0
75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0
48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0
201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0
240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0
147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0
115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0
420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0
20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0
110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0
42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0
127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0
14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0
84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0
126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0
555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0
234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0
60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0
57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0
50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0
1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0
43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0
526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0
498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0
3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0
82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0
44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0
432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0
85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0
13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0
350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0
887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0
518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0
4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0
51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0
7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0
35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0
142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0
427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0
61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0
45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0
131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0,222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0
117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0,133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0
72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0,8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0
12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0,81.0,9.0,114.0,105.0,3.0,41.0,86.0,150.0,79.0,104.0,887.0,120.0,74.0,910.0,420.0,39.0,427.0,40.0,59.0,24.0,126.0,202.0
222.0,897.0,145.0,429.0,43.0,30.0,38.0,55.0,10.0,141.0,85.0,121.0,203.0,240.0,240.1,96.0,7.0,64.0,89.0,876.0,127.0,236.0,117.0,99.0,54.0,90.0,57.0,11.0,150.2,800.0,902.0,21.0,82.0,25.0,950.0,267.0,75.0,111.0,518.0,76.0,895.0,56.0,20.0,2.0,61.0,516.0,80.0,78.0,555.0,246.0
133.0,497.0,33.0,421.0,526.0,888.0,58.0,107.0,92.0,68.0,13.0,360.0,113.0,235.0,147.0,875.0,35.0,98.0,102.0,27.0,14.0,15.0,72.0,901.0,37.0,16.0,50.0,517.0,134.0,223.0,163.0,91.0,44.0,17.0,412.0,18.0,48.0,23.0,4.0,29.0,77.0,6.0,110.0,67.0,45.0,161.0,711.0,254.0,234.0,112.0
8.0,106.0,19.0,62.0,498.0,101.0,5.0,157.0,777.0,83.0,350.0,154.0,238.0,221.0,115.0,26.0,142.0,143.0,266.0,103.0,84.0,166.0,12.0,799.0,32.0,34.0,1.0,523.0,22.0,136.0,893.0,268.0,432.0,200.0,53.0,63.0,201.0,233.0,51.0,164.0,69.0,31.0,42.0,122.0,131.0,36.0,119.0,245.0,60.0,28.0
