index,3D glasses,3D glasses,bandage,beak,birthday shades,birthday shades,birthday shades,birthday shades,bottom-rimmed glasses,bottom-rimmed glasses,bottom-rimmed glasses,bottom-rimmed glasses,bottom-rimmed glasses,bottom-rimmed glasses,bottom-rimmed glasses,browline glasses,browline glasses,browline glasses,browline glasses,bubblegum,bubblegum,bubblegum,bubblegum,bubblegum,bunny nose,bunny nose,bunny nose,butterfly shades,butterfly shades,butterfly shades,candy-skull mask,candy-skull mask,candy-skull mask,cat nose,cat nose,cat nose,cucumber pack,curly mustache,cyber shades,cyber shades,cyber shades,cyber shades,cyber shades,cyber shades,DAL eye mask,DAL sunglasses,doctor's mask,dog nose,dog nose
5739.0,11228.0,11229.0,11230.0,11231.0,5857.0,4513.0,11008.0,11009.0,4649.0,11160.0,4282.0,4676.0,4454.0,11484.0,11485.0,11486.0,11487.0,11488.0,3550.0,4237.0,11188.0,11189.0,11190.0,11191.0,5182.0,4678.0,11166.0,11167.0,11168.0,9887.0,11776.0,11777.0,11778.0,11779.0,11780.0,4464.0,11002.0,11003.0,11004.0,11005.0,11006.0,4682.0,4667.0,11161.0,11162.0,11163.0,11164.0,11165.0,4462.0
11000.0,11001.0,5261.0,9654.0,5833.0,4239.0,11072.0,11073.0,11074.0,11075.0,4609.0,11087.0,11088.0,11089.0,11090.0,11091.0,11092.0,2298.0,11013.0,11014.0,11015.0,11016.0,11017.0,11018.0,11019.0,4647.0,4459.0,11214.0,4646.0,11223.0,11224.0,11225.0,6040.0,4452.0,4671.0,6039.0,4456.0,11209.0,11210.0,11211.0,11212.0,11213.0,4683.0,11226.0,11227.0,4235.0,11184.0,11185.0,11186.0,11187.0
4241.0,11196.0,11197.0,11198.0,11199.0,11200.0,11201.0,11202.0,4607.0,11220.0,11221.0,11222.0,4679.0,4337.0,4453.0,11479.0,11480.0,11481.0,11482.0,11483.0,4458.0,11489.0,11490.0,11491.0,11492.0,4236.0,11066.0,11067.0,11068.0,4501.0,11007.0,4240.0,11192.0,11193.0,11194.0,11195.0,4685.0,11505.0,4652.0,4684.0,4461.0,11215.0,11216.0,4460.0,11079.0,11080.0,4242.0,11203.0,11204.0,11205.0
11206.0,11207.0,11208.0,4669.0,11093.0,490.0,490.0,140.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1040.0,1040.0,1040.0,1040.0,140.0,140.0,140.0,140.0,140.0,560.0,560.0,560.0,1040.0,1040.0,1040.0,560.0,560.0,560.0,490.0,700.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,140.0,560.0,560.0,560.0,1100.0,1100.0,1100.0,1100.0
560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,140.0,560.0,490.0,770.0,770.0,770.0,770.0,770.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,980.0,560.0,560.0,560.0,560.0,560.0,560.0,1120.0,1040.0,1040.0,1040.0,1040.0,1040.0,2000.0,1760.0,1760.0,1760.0,1760.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,880.0
880.0,880.0,880.0,880.0,880.0,910.0,910.0,910.0,910.0,910.0,910.0,1100.0,1100.0,1100.0,1560.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,1300.0,1300.0,1320.0,1320.0,1320.0,1320.0,770.0,490.0,560.0,560.0,1560.0,1560.0,1560.0
1560.0,1560.0,1560.0,1040.0,1040.0,1040.0,630.0,630.0,630.0,630.0,630.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,880.0,880.0,880.0,880.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1300.0,1300.0,1300.0,1300.0,1300.0,880.0,880.0,880.0,880.0,770.0,770.0,880.0,880.0,880.0,880.0,880.0,1300.0,1300.0,490.0,1040.0
1100.0,1100.0,1100.0,1040.0,1040.0,1040.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,1560.0,1560.0,122.0,122.0,35.0,122.0,620.0,620.0,620.0,620.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,260.0,260.0,260.0,260.0,35.0,35.0,35.0,35.0,35.0,140.0,140.0,140.0,260.0,260.0,260.0,800.0,800.0,800.0,140.0,140.0
140.0,122.0,175.0,325.0,325.0,325.0,325.0,325.0,325.0,1010.0,1010.0,35.0,140.0,140.0,140.0,275.0,275.0,275.0,275.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,35.0,140.0,122.0,192.0,192.0,192.0,192.0,192.0,122.0,275.0,275.0,275.0,275.0,275.0,275.0,245.0,140.0,140.0,140.0,140.0,140.0
140.0,280.0,260.0,260.0,260.0,260.0,260.0,500.0,440.0,440.0,440.0,440.0,500.0,500.0,500.0,500.0,500.0,500.0,220.0,220.0,220.0,220.0,220.0,220.0,100.0,227.0,227.0,227.0,227.0,227.0,227.0,275.0,275.0,275.0,390.0,2000.0,122.0,275.0,275.0,275.0,275.0,275.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,140.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,325.0,325.0,330.0,330.0,330.0,330.0,192.0,122.0,140.0,140.0,390.0,390.0,390.0,390.0,390.0,390.0,260.0,260.0,260.0,157.0,157.0,157.0,157.0,157.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,220.0,220.0,220.0,220.0,245.0,10.0,245.0,245.0,245.0,245.0
245.0,245.0,325.0,325.0,325.0,325.0,325.0,220.0,220.0,220.0,220.0,192.0,192.0,220.0,220.0,220.0,220.0,220.0,325.0,325.0,122.0,260.0,275.0,275.0,275.0,260.0,260.0,260.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,390.0,390.0,400.0,4463.0,11020.0,4677.0,3549.0,4510.0,11217.0,11218.0,11219.0,4597.0,11081.0,11082.0,11083.0
11084.0,11085.0,11086.0,4238.0,11069.0,11070.0,11071.0,5738.0,11027.0,11028.0,11029.0,11030.0,4600.0,11023.0,11024.0,4608.0,11503.0,11504.0,5666.0,11169.0,11170.0,4483.0,11021.0,11022.0,4491.0,4672.0,4552.0,11498.0,11499.0,11500.0,11501.0,11502.0,12128.0,12129.0,4451.0,5244.0,11025.0,11026.0,4263.0,11076.0,11077.0,11078.0,5773.0,11010.0,11011.0,11012.0,4425.0,11154.0,11155.0,11156.0
11157.0,11158.0,4457.0,4512.0,4496.0,5739.0,11228.0,11229.0,11230.0,11231.0,5857.0,4513.0,11008.0,11009.0,4649.0,11160.0,4282.0,4676.0,4454.0,11484.0,11485.0,11486.0,11487.0,11488.0,3550.0,4237.0,11188.0,11189.0,11190.0,11191.0,5182.0,4678.0,11166.0,11167.0,11168.0,9887.0,11776.0,11777.0,11778.0,11779.0,11780.0,4464.0,11002.0,11003.0,11004.0,11005.0,11006.0,4682.0,4667.0,11161.0
11162.0,11163.0,11164.0,11165.0,4462.0,11000.0,11001.0,5261.0,9654.0,5833.0,4239.0,11072.0,11073.0,11074.0,11075.0,4609.0,11087.0,11088.0,11089.0,11090.0,11091.0,11092.0,2298.0,11013.0,11014.0,11015.0,11016.0,11017.0,11018.0,11019.0,4647.0,4459.0,11214.0,4646.0,11223.0,11224.0,11225.0,6040.0,4452.0,4671.0,6039.0,4456.0,11209.0,11210.0,11211.0,11212.0,11213.0,4683.0,11226.0,11227.0
4235.0,11184.0,11185.0,11186.0,11187.0,4241.0,11196.0,11197.0,11198.0,11199.0,11200.0,11201.0,11202.0,4607.0,11220.0,11221.0,11222.0,4679.0,4337.0,4453.0,11479.0,11480.0,11481.0,11482.0,11483.0,4458.0,11489.0,11490.0,11491.0,11492.0,4236.0,11066.0,11067.0,11068.0,4501.0,11007.0,4240.0,11192.0,11193.0,11194.0,11195.0,4685.0,11505.0,4652.0,4684.0,4461.0,11215.0,11216.0,4460.0,11079.0
11080.0,4242.0,11203.0,11204.0,11205.0,11206.0,11207.0,11208.0,4669.0,11093.0,490.0,490.0,140.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1040.0,1040.0,1040.0,1040.0,140.0,140.0,140.0,140.0,140.0,560.0,560.0,560.0,1040.0,1040.0,1040.0,560.0,560.0,560.0,490.0,700.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,140.0,560.0,560.0
560.0,1100.0,1100.0,1100.0,1100.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,140.0,560.0,490.0,770.0,770.0,770.0,770.0,770.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,980.0,560.0,560.0,560.0,560.0,560.0,560.0,1120.0,1040.0,1040.0,1040.0,1040.0,1040.0,2000.0,1760.0,1760.0,1760.0,1760.0,2000.0,2000.0
2000.0,2000.0,2000.0,2000.0,880.0,880.0,880.0,880.0,880.0,880.0,910.0,910.0,910.0,910.0,910.0,910.0,1100.0,1100.0,1100.0,1560.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,1300.0,1300.0,1320.0,1320.0,1320.0,1320.0,770.0,490.0
560.0,560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1040.0,1040.0,1040.0,630.0,630.0,630.0,630.0,630.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,880.0,880.0,880.0,880.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1300.0,1300.0,1300.0,1300.0,1300.0,880.0,880.0,880.0,880.0,770.0,770.0,880.0,880.0,880.0,880.0
880.0,1300.0,1300.0,490.0,1040.0,1100.0,1100.0,1100.0,1040.0,1040.0,1040.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,1560.0,1560.0,122.0,122.0,35.0,122.0,620.0,620.0,620.0,620.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,260.0,260.0,260.0,260.0,35.0,35.0,35.0,35.0,35.0,140.0,140.0,140.0,260.0,260.0,260.0
800.0,800.0,800.0,140.0,140.0,140.0,122.0,175.0,325.0,325.0,325.0,325.0,325.0,325.0,1010.0,1010.0,35.0,140.0,140.0,140.0,275.0,275.0,275.0,275.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,35.0,140.0,122.0,192.0,192.0,192.0,192.0,192.0,122.0,275.0,275.0,275.0,275.0,275.0,275.0,245.0
140.0,140.0,140.0,140.0,140.0,140.0,280.0,260.0,260.0,260.0,260.0,260.0,500.0,440.0,440.0,440.0,440.0,500.0,500.0,500.0,500.0,500.0,500.0,220.0,220.0,220.0,220.0,220.0,220.0,100.0,227.0,227.0,227.0,227.0,227.0,227.0,275.0,275.0,275.0,390.0,2000.0,122.0,275.0,275.0,275.0,275.0,275.0,220.0,220.0,220.0
220.0,220.0,220.0,220.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,325.0,325.0,330.0,330.0,330.0,330.0,192.0,122.0,140.0,140.0,390.0,390.0,390.0,390.0,390.0,390.0,260.0,260.0,260.0,157.0,157.0,157.0,157.0,157.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,220.0,220.0,220.0,220.0,245.0
10.0,245.0,245.0,245.0,245.0,245.0,245.0,325.0,325.0,325.0,325.0,325.0,220.0,220.0,220.0,220.0,192.0,192.0,220.0,220.0,220.0,220.0,220.0,325.0,325.0,122.0,260.0,275.0,275.0,275.0,260.0,260.0,260.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,390.0,390.0,400.0,4463.0,11020.0,4677.0,3549.0,4510.0,11217.0,11218.0
11219.0,4597.0,11081.0,11082.0,11083.0,11084.0,11085.0,11086.0,4238.0,11069.0,11070.0,11071.0,5738.0,11027.0,11028.0,11029.0,11030.0,4600.0,11023.0,11024.0,4608.0,11503.0,11504.0,5666.0,11169.0,11170.0,4483.0,11021.0,11022.0,4491.0,4672.0,4552.0,11498.0,11499.0,11500.0,11501.0,11502.0,12128.0,12129.0,4451.0,5244.0,11025.0,11026.0,4263.0,11076.0,11077.0,11078.0,5773.0,11010.0,11011.0
11012.0,4425.0,11154.0,11155.0,11156.0,11157.0,11158.0,4457.0,4512.0,4496.0,5739.0,11228.0,11229.0,11230.0,11231.0,5857.0,4513.0,11008.0,11009.0,4649.0,11160.0,4282.0,4676.0,4454.0,11484.0,11485.0,11486.0,11487.0,11488.0,3550.0,4237.0,11188.0,11189.0,11190.0,11191.0,5182.0,4678.0,11166.0,11167.0,11168.0,9887.0,11776.0,11777.0,11778.0,11779.0,11780.0,4464.0,11002.0,11003.0,11004.0
11005.0,11006.0,4682.0,4667.0,11161.0,11162.0,11163.0,11164.0,11165.0,4462.0,11000.0,11001.0,5261.0,9654.0,5833.0,4239.0,11072.0,11073.0,11074.0,11075.0,4609.0,11087.0,11088.0,11089.0,11090.0,11091.0,11092.0,2298.0,11013.0,11014.0,11015.0,11016.0,11017.0,11018.0,11019.0,4647.0,4459.0,11214.0,4646.0,11223.0,11224.0,11225.0,6040.0,4452.0,4671.0,6039.0,4456.0,11209.0,11210.0,11211.0
11212.0,11213.0,4683.0,11226.0,11227.0,4235.0,11184.0,11185.0,11186.0,11187.0,4241.0,11196.0,11197.0,11198.0,11199.0,11200.0,11201.0,11202.0,4607.0,11220.0,11221.0,11222.0,4679.0,4337.0,4453.0,11479.0,11480.0,11481.0,11482.0,11483.0,4458.0,11489.0,11490.0,11491.0,11492.0,4236.0,11066.0,11067.0,11068.0,4501.0,11007.0,4240.0,11192.0,11193.0,11194.0,11195.0,4685.0,11505.0,4652.0,4684.0
4461.0,11215.0,11216.0,4460.0,11079.0,11080.0,4242.0,11203.0,11204.0,11205.0,11206.0,11207.0,11208.0,4669.0,11093.0,490.0,490.0,140.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1040.0,1040.0,1040.0,1040.0,140.0,140.0,140.0,140.0,140.0,560.0,560.0,560.0,1040.0,1040.0,1040.0,560.0,560.0,560.0,490.0,700.0,1300.0,1300.0,1300.0,1300.0
1300.0,1300.0,140.0,560.0,560.0,560.0,1100.0,1100.0,1100.0,1100.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,140.0,560.0,490.0,770.0,770.0,770.0,770.0,770.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,980.0,560.0,560.0,560.0,560.0,560.0,560.0,1120.0,1040.0,1040.0,1040.0,1040.0,1040.0,2000.0,1760.0
1760.0,1760.0,1760.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,880.0,880.0,880.0,880.0,880.0,880.0,910.0,910.0,910.0,910.0,910.0,910.0,1100.0,1100.0,1100.0,1560.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,1300.0,1300.0,1320.0
1320.0,1320.0,1320.0,770.0,490.0,560.0,560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1040.0,1040.0,1040.0,630.0,630.0,630.0,630.0,630.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,880.0,880.0,880.0,880.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1300.0,1300.0,1300.0,1300.0,1300.0,880.0,880.0,880.0,880.0,770.0
770.0,880.0,880.0,880.0,880.0,880.0,1300.0,1300.0,490.0,1040.0,1100.0,1100.0,1100.0,1040.0,1040.0,1040.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,1560.0,1560.0,122.0,122.0,35.0,122.0,620.0,620.0,620.0,620.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,260.0,260.0,260.0,260.0,35.0,35.0,35.0,35.0,35.0,140.0
140.0,140.0,260.0,260.0,260.0,800.0,800.0,800.0,140.0,140.0,140.0,122.0,175.0,325.0,325.0,325.0,325.0,325.0,325.0,1010.0,1010.0,35.0,140.0,140.0,140.0,275.0,275.0,275.0,275.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,35.0,140.0,122.0,192.0,192.0,192.0,192.0,192.0,122.0,275.0,275.0
275.0,275.0,275.0,275.0,245.0,140.0,140.0,140.0,140.0,140.0,140.0,280.0,260.0,260.0,260.0,260.0,260.0,500.0,440.0,440.0,440.0,440.0,500.0,500.0,500.0,500.0,500.0,500.0,220.0,220.0,220.0,220.0,220.0,220.0,100.0,227.0,227.0,227.0,227.0,227.0,227.0,275.0,275.0,275.0,390.0,2000.0,122.0,275.0,275.0,275.0
275.0,275.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,325.0,325.0,330.0,330.0,330.0,330.0,192.0,122.0,140.0,140.0,390.0,390.0,390.0,390.0,390.0,390.0,260.0,260.0,260.0,157.0,157.0,157.0,157.0,157.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0
220.0,220.0,220.0,220.0,245.0,10.0,245.0,245.0,245.0,245.0,245.0,245.0,325.0,325.0,325.0,325.0,325.0,220.0,220.0,220.0,220.0,192.0,192.0,220.0,220.0,220.0,220.0,220.0,325.0,325.0,122.0,260.0,275.0,275.0,275.0,260.0,260.0,260.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,390.0,390.0,400.0,4463.0,11020.0
4677.0,3549.0,4510.0,11217.0,11218.0,11219.0,4597.0,11081.0,11082.0,11083.0,11084.0,11085.0,11086.0,4238.0,11069.0,11070.0,11071.0,5738.0,11027.0,11028.0,11029.0,11030.0,4600.0,11023.0,11024.0,4608.0,11503.0,11504.0,5666.0,11169.0,11170.0,4483.0,11021.0,11022.0,4491.0,4672.0,4552.0,11498.0,11499.0,11500.0,11501.0,11502.0,12128.0,12129.0,4451.0,5244.0,11025.0,11026.0,4263.0,11076.0
11077.0,11078.0,5773.0,11010.0,11011.0,11012.0,4425.0,11154.0,11155.0,11156.0,11157.0,11158.0,4457.0,4512.0,4496.0,5739.0,11228.0,11229.0,11230.0,11231.0,5857.0,4513.0,11008.0,11009.0,4649.0,11160.0,4282.0,4676.0,4454.0,11484.0,11485.0,11486.0,11487.0,11488.0,3550.0,4237.0,11188.0,11189.0,11190.0,11191.0,5182.0,4678.0,11166.0,11167.0,11168.0,9887.0,11776.0,11777.0,11778.0,11779.0
11780.0,4464.0,11002.0,11003.0,11004.0,11005.0,11006.0,4682.0,4667.0,11161.0,11162.0,11163.0,11164.0,11165.0,4462.0,11000.0,11001.0,5261.0,9654.0,5833.0,4239.0,11072.0,11073.0,11074.0,11075.0,4609.0,11087.0,11088.0,11089.0,11090.0,11091.0,11092.0,2298.0,11013.0,11014.0,11015.0,11016.0,11017.0,11018.0,11019.0,4647.0,4459.0,11214.0,4646.0,11223.0,11224.0,11225.0,6040.0,4452.0,4671.0
6039.0,4456.0,11209.0,11210.0,11211.0,11212.0,11213.0,4683.0,11226.0,11227.0,4235.0,11184.0,11185.0,11186.0,11187.0,4241.0,11196.0,11197.0,11198.0,11199.0,11200.0,11201.0,11202.0,4607.0,11220.0,11221.0,11222.0,4679.0,4337.0,4453.0,11479.0,11480.0,11481.0,11482.0,11483.0,4458.0,11489.0,11490.0,11491.0,11492.0,4236.0,11066.0,11067.0,11068.0,4501.0,11007.0,4240.0,11192.0,11193.0,11194.0
11195.0,4685.0,11505.0,4652.0,4684.0,4461.0,11215.0,11216.0,4460.0,11079.0,11080.0,4242.0,11203.0,11204.0,11205.0,11206.0,11207.0,11208.0,4669.0,11093.0,490.0,490.0,140.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1040.0,1040.0,1040.0,1040.0,140.0,140.0,140.0,140.0,140.0,560.0,560.0,560.0,1040.0,1040.0,1040.0,560.0,560.0,560.0,490.0
700.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,140.0,560.0,560.0,560.0,1100.0,1100.0,1100.0,1100.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,140.0,560.0,490.0,770.0,770.0,770.0,770.0,770.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,980.0,560.0,560.0,560.0,560.0,560.0,560.0,1120.0,1040.0,1040.0
1040.0,1040.0,1040.0,2000.0,1760.0,1760.0,1760.0,1760.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,880.0,880.0,880.0,880.0,880.0,880.0,910.0,910.0,910.0,910.0,910.0,910.0,1100.0,1100.0,1100.0,1560.0,490.0,1100.0,1100.0,1100.0,1100.0,1100.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0
560.0,560.0,1300.0,1300.0,1320.0,1320.0,1320.0,1320.0,770.0,490.0,560.0,560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1040.0,1040.0,1040.0,630.0,630.0,630.0,630.0,630.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,880.0,880.0,880.0,880.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1300.0,1300.0,1300.0,1300.0,1300.0
880.0,880.0,880.0,880.0,770.0,770.0,880.0,880.0,880.0,880.0,880.0,1300.0,1300.0,490.0,1040.0,1100.0,1100.0,1100.0,1040.0,1040.0,1040.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,1560.0,1560.0,122.0,122.0,35.0,122.0,620.0,620.0,620.0,620.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,260.0,260.0,260.0,260.0,35.0
35.0,35.0,35.0,35.0,140.0,140.0,140.0,260.0,260.0,260.0,800.0,800.0,800.0,140.0,140.0,140.0,122.0,175.0,325.0,325.0,325.0,325.0,325.0,325.0,1010.0,1010.0,35.0,140.0,140.0,140.0,275.0,275.0,275.0,275.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,35.0,140.0,122.0,192.0,192.0,192.0
192.0,192.0,122.0,275.0,275.0,275.0,275.0,275.0,275.0,245.0,140.0,140.0,140.0,140.0,140.0,140.0,280.0,260.0,260.0,260.0,260.0,260.0,500.0,440.0,440.0,440.0,440.0,500.0,500.0,500.0,500.0,500.0,500.0,220.0,220.0,220.0,220.0,220.0,220.0,100.0,227.0,227.0,227.0,227.0,227.0,227.0,275.0,275.0,275.0,390.0
