id_nesreca,klas_nesreca,upravna_enota,cas_nesreca,naselje_ali_izven,kategorija_cesta,oznaka_cesta_ali_naselje,tekst_cesta_ali_naselje,oznaka_odsek_ali_ulica,tekst_odsek_ali_ulica,stacionazna_ali_hisna_st,opis_prizorisce,vzrok_nesreca,tip_nesreca,vreme_nesreca,stanje_promet,stanje_vozisce,stanje_povrsina_vozisce,x,y,x_wgs84,y_wgs84
037056,B,5514,"1995-01-03 14:15:00",D,M,00001,"KORENSKO SEDLO - BREGANA",00368,HRUŠICA-JAVORNIK,0000,R,PD,ÈT,J,N,SU,A,427179,144293,14.0474952770366,46.4387193779868
037090,B,5554,"1995-01-04 11:30:00",D,N,54120,"ROGAŠKA SLATINA",00039,"ZDRAVILIŠKI TRG",NULL,C,PV,BT,O,N,SU,A,549797,121741,15.6408717166583,46.2379884261711
037095,B,5546,"1995-01-01 23:45:00",D,N,46013,"DOLENJA VAS-RIBNICA",00009,"ŠOLSKA ULICA",NULL,C,PV,TV,S,R,MO,A,NULL,NULL,NULL,NULL
037096,L,5517,"1995-01-03 13:30:00",N,R,00310,BERTOKI-GRAČIŠČE,01061,BERTOKI-GRAČIŠČE,NULL,C,HI,PR,J,R,SU,A,410546,42859,13.8501266361444,45.5242354591728
037105,B,5560,"1995-01-03 06:55:00",N,M,00010,"ŠENTILJ - DEKANI",00300,BREZOVICA-VRHNIKA,NULL,C,HI,PR,J,N,PN,A,450636,96163,14.3578048426099,46.007845323636
037113,B,5501,"1995-01-01 19:15:00",N,L,92116,"PLAČE-VIPAVSKI KRIŽ",00000,"NI ODSEKOV",NULL,C,HI,ÈT,O,R,SU,A,413089,81967,13.8756431457371,45.8763869254852
037131,H,5501,"1995-01-03 13:05:00",N,M,010-5,"RAZDRTO - NOVA GORICA",00344,RAZDRTO-MANČE,NULL,C,SV,ÈT,J,N,SU,A,420331,73418,13.9703376654385,45.8003566940795
037175,B,5517,"1995-01-02 20:15:00",D,N,17042,KOPER,00131,"CESTA NA MARKOVEC",NULL,C,PV,TV,J,N,SU,A,399745,44706,13.7115139016329,45.5393758182733
037176,B,5517,"1995-01-01 02:30:00",N,M,00002,"ŠKOFIJE - SEČOVLJE",00236,DEKANI-BERTOKI,NULL,C,HI,NT,D,R,MO,A,405152,46404,13.7804024339924,45.5554113538553
037184,B,5524,"1995-01-04 18:40:00",D,R,00376,LJUBLJANICA-VIČ(LJ),01369,LJUBLJANICA-LJ.VIC,0042,C,SV,ÈT,O,N,SU,A,459173,99788,14.4677195270903,46.0410262323957
037186,B,5559,"1995-01-04 10:15:00",D,N,59040,VELENJE,00094,"JERIHOVA CESTA",NULL,R,PV,NT,J,R,SU,A,508936,135977,15.1113203865394,46.367813189903
037195,L,5517,"1995-01-04 21:45:00",D,N,17042,KOPER,00114,"VOJKOVO NABREŽJE",NULL,R,PD,BT,J,N,SU,A,401280,45315,13.7310409902062,45.5450744295424
037206,B,5510,"1995-01-04 19:55:00",D,N,10007,HRASTNIK-HRASTNIK,00012,"NOVI LOG",NULL,C,SV,OP,J,N,SU,A,506672,110903,15.0815602481294,46.1422430631326
037267,B,5550,"1995-01-04 14:45:00",D,M,00010,"ŠENTILJ - DEKANI",00275,SL.BISTRICA,0052,C,VR,NT,O,N,SU,A,543941,138049,15.5664570241234,46.3851061715442
037279,B,5537,"1995-01-04 19:40:00",D,M,010-5,"RAZDRTO - NOVA GORICA",00365,"NOVA GORICA",0022,C,HI,NT,J,N,SU,A,395129,89594,13.6426725439839,45.9424829875262
037287,L,5505,"1995-01-03 17:45:00",N,R,00327,PEROVO-ADLEŠIČI,01178,ČRMOŠNJICE-ČRNOMELJ,NULL,C,HI,PR,O,R,SU,A,508998,57723,15.1107121326107,45.6637190576809
037288,B,5546,"1995-01-03 09:20:00",D,N,46066,RIBNICA-RIBNICA,00010,LEPOVČE,NULL,P,PV,OP,J,N,SU,A,479691,66578,14.7342387943499,45.7431413346721
037299,B,5550,"1995-01-01 19:40:00",D,V,50055,MALAHORNA,00000,"NI ULIC",NULL,P,PV,OP,O,R,SU,O,533302,136142,15.4280094485005,46.3685508901176
037309,H,5518,"1995-01-01 17:20:00",N,R,00322,ŽIROVNICA-TRZIN,01136,KRANJ-SP.BRNIK,NULL,C,NP,PP,O,G,MO,A,455026,121715,14.4120465039861,46.2380388949759
037310,B,5550,"1995-01-01 23:00:00",N,L,97099,"OSTALE LOKALNE",00000,"NI ODSEKOV",NULL,C,HI,ÈT,N,E,PN,A,NULL,NULL,NULL,NULL
037357,S,5514,"1995-01-02 19:55:00",D,M,00001,"KORENSKO SEDLO - BREGANA",00368,HRUŠICA-JAVORNIK,0000,R,HI,PP,J,N,SU,A,427179,144293,14.0474952770366,46.4387193779868
037362,B,5524,"1995-01-05 11:45:00",D,R,0371A,"LJ. TOMAČEVSKA-KAJUHOVA",01435,"KAJUHOVA CESTA",0055,R,PD,ÈT,O,N,SU,A,464633,102154,14.5380833266137,46.0626203732049
037372,B,5524,"1995-01-05 18:45:00",N,M,00010,"ŠENTILJ - DEKANI",00295,TRZIN-ČRNUČE,NULL,R,PD,TO,O,N,SU,A,465081,106869,14.5435238494455,46.1050652445797
037375,L,5518,"1995-01-04 22:00:00",N,R,00322,ŽIROVNICA-TRZIN,01134,TRŽIČ-KOKRICA,NULL,C,SV,PR,J,N,SU,A,449907,129742,14.3448163196094,46.3098936780602
037385,B,5524,"1995-01-01 14:50:00",D,V,28177,"VELIKE LAŠČE",00000,"NI ULIC",NULL,P,PV,TV,J,R,SU,A,472176,76679,14.6370743312936,45.8337619907797
037387,B,5524,"1995-01-01 04:30:00",D,N,25001,LJUBLJANA,25067,"KERSNIKOVA ULICA",NULL,C,PV,TV,D,N,SP,A,462003,101426,14.5041501104147,46.0559280196599
037388,B,5568,"1995-01-02 12:00:00",D,V,68010,LOBNICA,00000,"NI ULIC",NULL,P,PV,OP,J,G,SL,A,540728,152432,15.5259305712894,46.5147019723991
037391,B,5523,"1995-01-02 21:40:00",D,M,010-9,"ČRNUČE - ZIDANI MOST",01182,RIBČE-LITIJA,0033,C,SV,OP,J,N,SU,A,486175,105129,14.816425237152,46.0901737801573
037394,B,5524,"1995-01-01 00:30:00",D,M,00010,"ŠENTILJ - DEKANI",00298,"LJ(DEL.DOM-TRG MDB)",0032,C,HI,NT,D,G,MO,A,461507,101042,14.4977715868094,46.052445127001
037397,B,5502,"1995-01-05 15:30:00",D,N,02014,BREŽICE,00066,"OB STADIONU",NULL,C,VR,NT,S,N,SN,A,NULL,NULL,NULL,NULL
037401,B,5524,"1995-01-01 00:45:00",D,N,25001,LJUBLJANA,25218,"KONGRESNI TRG",NULL,C,PV,TV,O,G,SU,A,462072,100796,14.5050924372402,46.0502636739381
037409,H,5524,"1995-01-05 21:15:00",D,R,00330,LJUBLJANA-JURKLOŠTER,01188,"LJ(ZA GRADOM)-ZADVOR",0062,R,PD,BT,O,R,SU,A,465441,100469,14.5486500275031,46.04750179671
037416,L,5524,"1995-01-01 00:45:00",D,M,00001,"KORENSKO SEDLO - BREGANA",00371,LJ(OBVOZNICA-DEL.DOM),0090,R,HI,NT,D,G,SP,A,461051,102749,14.4917381381484,46.0677771840969
037418,H,5541,"1995-01-01 06:10:00",D,N,41040,PRESTRANEK,00004,"ULICA 25. MAJA",NULL,C,SV,ÈT,D,R,MO,A,436913,65464,14.1846731573544,45.7305174181153
037421,B,5524,"1995-01-01 08:00:00",D,N,25001,LJUBLJANA,25205,"ZALOŠKA CESTA",NULL,C,PV,OP,D,R,MO,A,463527,101081,14.5238716064221,46.0529077373255
037430,B,5524,"1995-01-01 14:45:00",D,N,25001,LJUBLJANA,24133,"TOMAČEVSKA CESTA",NULL,C,HI,BT,O,R,SP,A,463624,102936,14.5249819710075,46.0696027091103
037435,B,5508,"1995-01-03 14:40:00",D,N,08014,"GORNJA RADGONA",00008,"KERENČIČEVA ULICA",NULL,P,PV,OS,J,R,SU,A,576000,171311,15.9886229947593,46.6814874718519
037443,B,5510,"1995-01-05 13:00:00",D,N,10007,HRASTNIK-HRASTNIK,00011,"NOVI DOM",NULL,C,HI,TV,S,N,PN,A,506821,110688,15.0834859405269,46.140307241182
037444,B,5536,"1995-01-02 10:20:00",D,N,36080,"MURSKA SOBOTA",00013,"GREGORČIČEVA ULICA",NULL,C,PD,BT,J,N,SU,A,589844,168899,16.1690881526569,46.6580858882074
037446,B,5524,"1995-01-01 07:40:00",D,R,0371A,"LJ. TOMAČEVSKA-KAJUHOVA",01435,"KAJUHOVA CESTA",0060,R,VR,NT,D,R,MO,A,464633,102154,14.5380833266137,46.0626203732049
037451,B,5504,"1995-01-01 02:10:00",D,V,04022,FARA-CERKNICA,00000,"NI ULIC",NULL,P,PV,BT,D,R,MO,M,NULL,NULL,NULL,NULL
037452,B,5514,"1995-01-05 12:00:00",N,M,001-2,"RATEČE - PODKOREN",00233,RATEČE-PODKOREN,NULL,P,PV,BT,J,R,SU,A,402347,150812,13.7230371151466,46.4942076986858
037453,L,5502,"1995-01-02 20:00:00",D,V,02041,GLOBOKO-BREŽICE,00000,"NI ULIC",NULL,C,HI,PR,M,R,PN,A,548965,90615,15.6269027641064,45.9580114104599
037455,B,5524,"1995-01-01 19:20:00",N,M,010-9,"ČRNUČE - ZIDANI MOST",01180,ČRNUČE-ŠENTJAKOB,NULL,C,SV,OP,O,R,MO,A,466842,105485,14.5663994074406,46.0927018625384
037457,B,5522,"1995-01-03 20:25:00",D,V,22013,GABERJE-LENDAVA,00000,"NI ULIC",NULL,C,HI,ÈT,J,R,SU,A,607708,157873,16.3998827891246,46.5562961426013
037460,B,5546,"1995-01-05 13:00:00",D,M,00006,"ŠKOFLJICA - BROD NA KOLPI",00263,ŽLEBIČ-KOČEVJE,0030,C,HI,TO,S,N,SL,A,480617,63616,14.7462595983449,45.716516560157
037461,L,5524,"1995-01-02 00:50:00",D,N,25001,LJUBLJANA,28135,"OPEKARSKA CESTA",NULL,C,HI,TO,O,R,SP,A,462340,99767,14.5086375621154,46.0410205223163
037464,B,5524,"1995-01-02 02:05:00",D,N,25001,LJUBLJANA,25205,"ZALOŠKA CESTA",NULL,R,PD,BT,O,R,MO,A,NULL,NULL,NULL,NULL
037468,B,5538,"1995-01-05 15:00:00",D,V,38228,"POTOK-NOVO MESTO",00000,"NI ULIC",NULL,C,HI,BT,O,R,PN,A,508575,70938,15.1055073670461,45.782632790748
037469,B,5524,"1995-01-02 12:30:00",D,R,00376,LJUBLJANICA-VIČ(LJ),01369,LJUBLJANICA-LJ.VIC,0041,C,PR,ÈT,J,R,SU,A,455170,101510,14.4158396777916,46.0562665715747
037471,B,5558,"1995-01-01 13:15:00",N,M,001-1,"LJUBELJ - PODTABOR",00232,LJUBELJ-BISTRICA,NULL,P,PV,TV,O,G,MO,A,444229,141718,14.2696689845172,46.4171869149854
037476,B,5512,"1995-01-03 12:01:00",N,M,010-4,"POSTOJNA-PIVKA-MEJA RH",00341,PREM-IL.BISTRICA,NULL,C,PR,OP,J,N,SU,A,439633,48506,14.2217336750971,45.5781853691841
037477,B,5524,"1995-01-02 02:00:00",D,N,25001,LJUBLJANA,28012,"BRDNIKOVA ULICA",NULL,C,HI,PR,O,R,MO,A,458386,100801,14.4574626515652,46.0500924938267
037481,H,5530,"1995-01-02 00:35:00",D,N,30026,LOGATEC,00050,"TRŽAŠKA CESTA",NULL,C,HI,TO,O,N,MO,A,NULL,NULL,NULL,NULL
037482,L,5524,"1995-01-02 16:00:00",D,N,25001,LJUBLJANA,27306,"TACENSKA CESTA",NULL,C,HI,ÈT,J,N,SP,A,NULL,NULL,NULL,NULL
037487,B,5524,"1995-01-02 23:40:00",D,N,25001,LJUBLJANA,24134,"TOPNIŠKA ULICA",NULL,R,HI,ÈT,M,R,SP,A,462947,102603,14.5162570394545,46.0665699533254
037488,B,5543,"1995-01-05 10:50:00",D,M,00003,"MEJA A-VIČ-ORMOŽ-MEJA RH",00242,RADLJE,0045,C,PV,BT,S,G,SP,A,517899,163329,15.2288409071489,46.6137191025803
037490,B,5524,"1995-01-02 21:10:00",D,N,25001,LJUBLJANA,28349,"ULICA ANDREJA KUMARJA",NULL,C,HI,ÈT,O,R,MO,A,NULL,NULL,NULL,NULL
037497,B,5538,"1995-01-04 01:10:00",D,N,38201,"NOVO MESTO",00029,"KOŠTIALOVA ULICA",NULL,R,HI,TO,V,R,PP,A,NULL,NULL,NULL,NULL
037499,P,5536,"1995-01-03 16:25:00",D,N,36004,BELTINCI,00016,"RAVENSKA CESTA",NULL,C,OS,OP,J,N,SU,A,595134,162255,16.2368310841364,46.5975994566367
037505,S,5536,"1995-01-04 17:10:00",N,L,94212,"JULA MAROF-MURSKA SOBOTA",00000,"NI ODSEKOV",NULL,Ž,PD,BT,O,R,SU,A,601039,156919,16.312723291176,46.5487467436378
037510,B,5517,"1995-01-05 12:25:00",D,N,17042,KOPER,00126,"ULICA VENA PILONA",NULL,C,PD,BT,J,N,SU,A,399719,44845,13.7111524899327,45.5406225107018
037512,B,5564,"1995-01-05 07:00:00",D,M,00003,"MEJA A-VIČ-ORMOŽ-MEJA RH",00246,MARIBOR(TEZNO)-HAJDINA,0030,C,HI,ÈT,O,N,SN,A,556584,149313,15.7321730344658,46.4855066139618
037513,B,5542,"1995-01-05 19:45:00",N,M,003-3,"SLOV. BISTRICA - HAJDINA",01290,SL.BISTRICA-HAJDINA,NULL,C,HI,TO,S,N,SN,A,555423,140727,15.7160394218337,46.4083613035233
037514,L,5542,"1995-01-05 11:30:00",N,M,003-3,"SLOV. BISTRICA - HAJDINA",01290,SL.BISTRICA-HAJDINA,NULL,C,PD,BT,S,N,SN,A,561859,141157,15.7997983902581,46.4116748735166
037516,B,5521,"1995-01-05 07:30:00",N,M,010-1,"POČEHOVA - LENDAVA",00314,POČEHOVA-LENART,NULL,C,HI,PR,S,N,SL,A,558726,158747,15.7612547715863,46.5701924380957
037517,B,5565,"1995-01-05 10:10:00",N,M,00010,"ŠENTILJ - DEKANI",00268,ŠENTILJ-PESNICA,NULL,C,HI,OP,S,N,SL,A,551318,167276,15.6655621861053,46.6475216570769
037518,B,5503,"1995-01-06 15:00:00",D,M,010-8,"DRAVOGRAD-DOBOVEC-MEJA RH",01274,"CE(VZHODNA M.)-ŠENTJUR",0026,C,PD,BT,O,N,MO,A,522162,121245,15.2825336437083,46.2349729407296
037541,B,5548,"1995-01-06 15:30:00",N,R,00306,ŠEMPETER-MANČE,01050,ŠTANJEL-MANČE,NULL,C,PV,TO,J,R,SU,A,411668,74388,13.8587366967102,45.8080243770943
037542,B,5564,"1995-01-04 17:10:00",N,R,00348,MARIBOR-PTUJ,01292,MARIBOR-VURBERG-PTUJ,NULL,C,SV,BT,O,R,SU,A,556161,151773,15.7269588022545,46.5076720814738
037544,B,5550,"1995-01-03 22:10:00",D,N,50124,"ZGORNJE POLJČANE",00009,"ROGAŠKA CESTA",NULL,C,SV,ÈT,J,R,SU,A,545040,128743,15.5798585686419,46.3013123741046
037547,B,5550,"1995-01-06 14:30:00",D,V,50103,"ŠMARTNO NA POHORJU",00000,"NI ULIC",NULL,P,PV,BT,O,N,SL,A,541706,144772,15.5379955286652,46.4457300581751
037554,H,5564,"1995-01-06 18:35:00",N,M,010-1,"POČEHOVA - LENDAVA",00314,POČEHOVA-LENART,NULL,C,PR,BT,O,N,MO,A,557149,158923,15.7407058116447,46.57191076344
037556,B,5550,"1995-01-07 09:30:00",N,L,97006,"SLOVENSKA BISTRICA ŠTUHEC",00000,"NI ODSEKOV",NULL,C,HI,BT,J,N,SL,M,535760,144111,15.4605582782684,46.4401211654063
037558,B,5550,"1995-01-07 09:15:00",D,N,50122,"ZGORNJA POLSKAVA",00022,"ULICA POHORSKEGA BATALJON",NULL,K,SV,ÈT,O,R,PN,A,548124,143226,15.6213659250908,46.4313982593412
037567,B,5564,"1995-01-07 19:20:00",N,R,00361,"HOČE-POHORSKA VZPENJAČA",01332,"HOČE-POHORSKA VZPENJACA",NULL,C,PD,BT,J,N,SN,A,546471,149300,15.600458636199,46.4861569883704
037568,B,5564,"1995-01-07 17:40:00",N,A,00A10,"ŠENTILJ - DEKANI",00034,"ZAČASNI PRIKLJ.V HOČAH",NULL,C,PV,NT,J,N,SU,A,550630,149144,15.6546097240834,46.4844563739618
037581,B,5550,"1995-01-07 19:55:00",D,N,50086,"SLOVENSKA BISTRICA",00007,"KOLODVORSKA CESTA",NULL,C,PV,TV,O,R,SU,A,NULL,NULL,NULL,NULL
037582,B,5554,"1995-01-04 15:15:00",N,M,010-8,"DRAVOGRAD-DOBOVEC-MEJA RH",01277,ROGATEC-ROK,NULL,C,HI,ÈT,J,N,SU,A,556692,119995,15.7300588083593,46.2217444825734
037584,B,5524,"1995-01-03 06:10:00",D,N,25001,LJUBLJANA,24219,"AVŠIČEVA CESTA",NULL,C,HI,ÈT,M,N,PN,A,460688,106477,14.4867350978664,46.1012973557819
037585,B,5524,"1995-01-01 10:30:00",D,M,00001,"KORENSKO SEDLO - BREGANA",00371,LJ(OBVOZNICA-DEL.DOM),0130,C,OS,NT,O,N,MO,A,461560,101813,14.4983936621246,46.0593849342226
037586,B,5564,"1995-01-08 16:45:00",D,N,64033,MARIBOR,00258,"LJUBLJANSKA ULICA",NULL,R,PD,BT,O,N,SU,A,549592,155582,15.6417724074519,46.5424505097792
037589,B,5562,"1995-01-01 14:40:00",N,M,00010,"ŠENTILJ - DEKANI",00286,"CELJE-ARJA VAS",NULL,C,SV,BT,O,N,MO,A,516037,122264,15.2031541900237,46.2443097006377
037590,B,5524,"1995-01-03 15:45:00",D,R,00371,LJUBLJANA-MEKINJE,01356,LJ(ŠMARTIN.)-ŠENTJAKOB,0236,C,VR,ÈT,J,N,SU,A,467006,103798,14.5686385402745,46.0775316285919
037592,L,5562,"1995-01-02 18:35:00",N,M,00010,"ŠENTILJ - DEKANI",00367,ŽALEC-ŠEMPETER,NULL,C,HI,ÈT,J,G,SU,A,512866,123518,15.1620669271885,46.2556577978219
037598,B,5524,"1995-01-03 16:05:00",D,M,00001,"KORENSKO SEDLO - BREGANA",00371,LJ(OBVOZNICA-DEL.DOM),0072,R,PD,BT,J,G,SU,A,461239,102425,14.4941948186544,46.064872896206
037601,B,5562,"1995-01-03 07:50:00",N,R,00368,"LATKOVA VAS-TRBOVLJE",01351,"LATKOVA VAS-TRBOVLJE",NULL,C,PD,ÈT,J,R,SP,A,507618,122674,15.0939853900532,46.2481404115911
037602,B,5524,"1995-01-03 16:50:00",D,N,25001,LJUBLJANA,24045,JEŽICA,NULL,C,PV,TO,J,N,SU,A,462535,105614,14.5106922851614,46.0936376338383
037607,B,5502,"1995-01-03 14:45:00",D,N,02014,BREŽICE,00019,"POD OBZIDJEM CESTA",NULL,C,PD,BT,J,N,MO,A,546471,84705,15.5941619055319,45.9050099030493
037608,B,5524,"1995-01-03 19:30:00",D,L,99995,BREZOVICA-RAZORI,00000,"NI ODSEKOV",0027,C,HI,ÈT,J,R,SU,A,NULL,NULL,NULL,NULL
037611,B,5524,"1995-01-03 19:30:00",D,R,00371,LJUBLJANA-MEKINJE,01356,LJ(ŠMARTIN.)-ŠENTJAKOB,0154,P,HI,ÈT,J,N,SU,A,465224,102977,14.545661089492,46.070055677003
037615,L,5524,"1995-01-04 06:10:00",D,M,00001,"KORENSKO SEDLO - BREGANA",00213,ŠENTVID-LJ(OBVOZNICA),0226,C,PD,ÈT,O,N,SU,A,460093,104346,14.479220077987,46.082089800021
037617,B,5543,"1995-01-03 15:50:00",N,R,00370,RADLJE-BREZNO,01355,RIBNICA-BREZNO,NULL,C,HI,TO,J,N,PN,A,523552,156221,15.3022878738969,46.5496003018724
037619,B,5524,"1995-01-04 13:00:00",D,N,25001,LJUBLJANA,25162,"ŠMARTINSKA CESTA",NULL,C,PV,OP,O,N,SU,A,NULL,NULL,NULL,NULL
037621,B,5518,"1995-01-08 19:25:00",N,A,000A1,"PREDOR KARAVANKE-BREGANA",00003,LIPCE-VRBA,NULL,C,HI,NT,J,N,SU,A,433087,140773,14.1248781652668,46.4076684161039
037624,B,5524,"1995-01-04 15:15:00",D,N,25001,LJUBLJANA,28170,"RIHARJEVA ULICA",NULL,R,PD,ÈT,J,N,SU,A,461492,100021,14.4976610320053,46.0432581768417
037627,L,5542,"1995-01-03 14:08:00",N,M,00003,"MEJA A-VIČ-ORMOŽ-MEJA RH",00250,SPUHLJA-ORMOŽ,NULL,C,PD,BT,J,N,SU,A,577354,141855,16.0014342357405,46.4163667542936
037628,B,5536,"1995-01-05 09:30:00",D,V,36031,GANČANI,00000,"NI ULIC",NULL,C,HI,OS,S,R,SN,A,596051,165874,16.2495452872054,46.6300204335934
037629,B,5524,"1995-01-04 15:02:00",D,N,25001,LJUBLJANA,27080,"MEDVEDOVA CESTA",NULL,R,PD,ÈT,J,R,SU,A,NULL,NULL,NULL,NULL
037630,B,5536,"1995-01-05 13:15:00",D,V,36093,PETANJCI,00000,"NI ULIC",NULL,C,HI,BT,S,N,SN,A,582420,167820,16.0719097995231,46.6493302955641
037631,B,5536,"1995-01-05 09:30:00",D,M,010-1,"POČEHOVA - LENDAVA",00320,BRATONCI-BELTINCI,0002,C,SV,TO,S,N,PP,A,594357,163848,16.2270157193319,46.6120369674999
037633,B,5517,"1995-01-07 12:30:00",D,N,17042,KOPER,00008,"CANKARJEVA ULICA",NULL,C,VR,ÈT,J,R,SU,A,401632,45650,13.7354800192644,45.5481381041473
037637,B,5524,"1995-01-04 19:20:00",D,N,25001,LJUBLJANA,25230,"SLOVENSKA CESTA",NULL,Z,PV,OP,O,N,SU,A,461991,101097,14.5040215335407,46.0529672823661
037638,B,5503,"1995-01-05 15:10:00",D,N,03011,CELJE,00028,"DEČKOVA CESTA",NULL,C,HI,NT,S,G,SN,A,520379,121925,15.2594451818272,46.2411457680143
037640,B,5524,"1995-01-04 20:15:00",D,M,00010,"ŠENTILJ - DEKANI",00297,LJ(VILHARJEVA-DEL.DOM),0043,C,PV,OS,O,N,SU,A,462008,101685,14.5041938703633,46.0582585624249
037643,B,5510,"1995-01-07 14:00:00",N,R,00336,ŽELODNIK-ŠENTJUR,01221,TRBOVLJE-HRASTNIK,NULL,R,PD,BT,O,N,MO,A,504572,112425,15.0543918816848,46.1559531772127
037644,H,5524,"1995-01-04 19:00:00",D,N,25001,LJUBLJANA,25051,"HRENOVA ULICA",NULL,C,OS,BT,J,N,SU,A,462319,100245,14.5083281003888,46.0453200076107
037648,P,5524,"1995-01-05 08:00:00",D,M,00001,"KORENSKO SEDLO - BREGANA",00215,KARL.MOST-ŠKOFLJICA,0372,C,HI,ÈT,O,N,PN,A,466695,94204,14.5652951985874,45.9911966147895
037650,B,5524,"1995-01-05 07:30:00",D,N,25001,LJUBLJANA,24097,"PODMILŠČAKOVA ULICA",NULL,R,PD,ÈT,J,N,SU,A,NULL,NULL,NULL,NULL
037652,B,5510,"1995-01-07 09:10:00",D,N,10007,HRASTNIK-HRASTNIK,00011,"NOVI DOM",NULL,C,SV,BT,J,N,PP,A,506954,110758,15.0852083681936,46.1409357853256
037653,B,5524,"1995-01-05 09:40:00",D,N,25001,LJUBLJANA,25137,"PUHARJEVA ULICA",NULL,R,PV,BT,J,N,SU,A,461900,101217,14.5028359080822,46.0540418321068
037656,P,5524,"1995-01-05 13:50:00",D,N,25001,LJUBLJANA,25205,"ZALOŠKA CESTA",NULL,R,PD,BT,O,N,SU,A,NULL,NULL,NULL,NULL
037659,L,5524,"1995-01-05 14:10:00",D,N,25001,LJUBLJANA,27089,"OBIRSKA ULICA",NULL,R,PD,ÈT,O,N,SU,A,460948,103298,14.4903613185719,46.0727106707408
037660,B,5538,"1995-01-08 04:25:00",D,V,38250,"RUMANJA VAS",00000,"NI ULIC",NULL,C,SV,BT,M,R,PP,A,505662,70548,15.068041157039,45.7791520531528
